,transDate,close,high,low,open,volume,event
0,27-10-2009,16.07,16.565,15.517,15.517,14130980.0,
1,28-10-2009,16.235,16.507,16.07,16.459,6561020.0,
2,29-10-2009,15.624,16.07,15.459,15.789,3970860.0,
3,30-10-2009,15.624,15.847,15.517,15.789,3723990.0,
4,02-11-2009,15.177,15.342,14.847,15.235,5989710.0,
5,03-11-2009,14.682,15.235,14.623,15.012,3297810.0,
6,04-11-2009,14.682,15.012,14.575,14.963,2791880.0,
7,05-11-2009,15.128,15.235,14.74,14.963,2980370.0,
8,06-11-2009,14.963,15.459,14.963,15.459,3057730.0,
9,09-11-2009,14.623,14.905,14.517,14.682,3593740.0,
10,10-11-2009,14.352,14.789,14.293,14.682,2749910.0,
11,11-11-2009,14.682,14.682,14.293,14.4,2148090.0,
12,12-11-2009,14.682,14.847,14.623,14.682,1890050.0,
13,13-11-2009,14.682,14.682,14.517,14.575,1842920.0,
14,16-11-2009,14.352,14.682,14.352,14.517,1965290.0,
15,17-11-2009,14.021,14.352,14.021,14.352,2059480.0,
16,18-11-2009,13.847,13.905,13.74,13.847,2541330.0,
17,19-11-2009,14.07,14.187,13.847,13.847,1896910.0,
18,20-11-2009,13.847,14.07,13.847,14.021,1462170.0,
19,23-11-2009,13.458,13.798,13.458,13.74,1601490.0,
20,24-11-2009,12.963,13.458,12.963,13.293,2915180.0,
21,25-11-2009,12.351,12.74,12.351,12.74,4320240.0,
22,26-11-2009,11.749,12.138,11.749,11.914,4072270.0,
23,27-11-2009,12.303,12.303,11.196,11.196,2414700.0,
24,30-11-2009,12.905,12.905,12.905,12.905,960250.0,
25,01-12-2009,13.517,13.517,13.517,13.517,509260.0,
26,02-12-2009,13.458,14.128,13.021,13.021,9790490.0,
27,03-12-2009,13.798,13.847,13.293,13.575,4989260.0,
28,04-12-2009,13.798,13.963,13.682,13.963,1836220.0,
29,07-12-2009,13.633,13.798,13.575,13.798,1524840.0,
30,08-12-2009,13.186,13.517,13.128,13.41,2401440.0,
31,09-12-2009,12.691,12.856,12.575,12.74,3143570.0,
32,10-12-2009,12.633,12.905,12.516,12.905,2183660.0,
33,11-12-2009,12.244,12.691,12.244,12.633,2898380.0,
34,14-12-2009,12.856,12.856,12.633,12.856,4458950.0,
35,15-12-2009,13.186,13.351,12.905,13.186,2988620.0,
36,16-12-2009,12.691,13.186,12.633,13.186,2577780.0,
37,17-12-2009,13.021,13.08,12.41,12.633,2894350.0,
38,18-12-2009,13.186,13.458,13.08,13.08,3820150.0,
39,21-12-2009,13.517,13.517,13.186,13.351,3973490.0,
40,22-12-2009,13.293,13.517,13.186,13.458,3874370.0,
41,23-12-2009,13.245,13.41,13.128,13.293,3508950.0,
42,24-12-2009,13.351,13.41,13.128,13.186,4181060.0,
43,25-12-2009,13.682,13.74,13.41,13.633,3364470.0,
44,28-12-2009,13.458,13.633,13.351,13.351,2973170.0,
45,29-12-2009,13.245,13.458,13.245,13.293,2220070.0,
46,30-12-2009,13.245,13.458,13.186,13.293,1656460.0,
47,31-12-2009,13.293,13.458,13.245,13.41,6441730.0,
48,04-01-2010,13.963,13.963,13.293,13.293,3521350.0,
49,05-01-2010,14.458,14.623,14.352,14.575,4561690.0,
50,06-01-2010,14.128,14.4,14.07,14.4,2756100.0,
51,07-01-2010,13.847,14.187,13.847,14.128,2586670.0,
52,08-01-2010,13.74,14.352,13.74,14.235,3831940.0,
53,11-01-2010,13.682,13.847,13.575,13.74,1292100.0,
54,12-01-2010,13.08,13.74,13.08,13.575,1951010.0,
55,13-01-2010,13.245,13.351,12.963,13.08,2102770.0,
56,14-01-2010,13.186,13.351,13.128,13.293,1124370.0,
57,15-01-2010,13.186,13.293,13.08,13.186,1396510.0,
58,18-01-2010,12.905,13.186,12.905,13.186,1991690.0,
59,19-01-2010,13.08,13.245,12.905,13.08,1376290.0,
60,20-01-2010,13.021,13.245,12.963,13.245,1566410.0,
61,21-01-2010,12.856,13.08,12.856,12.856,1350830.0,
62,22-01-2010,12.74,12.905,12.633,12.633,1177140.0,
63,25-01-2010,12.74,12.798,12.691,12.74,1593240.0,
64,26-01-2010,13.293,13.293,12.905,12.905,1772240.0,
65,27-01-2010,13.128,13.186,12.856,12.905,1513870.0,
66,28-01-2010,12.798,13.128,12.691,13.128,1362970.0,
67,29-01-2010,12.74,12.856,12.691,12.74,1339920.0,
68,01-02-2010,12.74,12.856,12.74,12.74,1085620.0,
69,02-02-2010,12.798,12.856,12.74,12.798,1423240.0,
70,03-02-2010,12.798,12.905,12.74,12.74,851530.0,
71,04-02-2010,12.856,12.963,12.798,12.798,614680.0,
72,05-02-2010,12.74,12.856,12.74,12.74,649670.0,
73,08-02-2010,12.963,13.021,12.691,12.691,992150.0,
74,09-02-2010,12.798,12.963,12.798,12.856,490930.0,
75,10-02-2010,12.798,12.963,12.74,12.74,380180.0,
76,11-02-2010,13.021,13.021,13.021,13.021,345620.0,
77,12-02-2010,13.128,13.186,13.021,13.186,481470.0,
78,22-02-2010,13.128,13.245,13.021,13.186,479220.0,
79,23-02-2010,12.905,13.021,12.856,12.963,353620.0,
80,24-02-2010,12.856,12.856,12.74,12.856,557970.0,
81,25-02-2010,12.798,13.021,12.74,12.856,414870.0,
82,26-02-2010,12.798,12.856,12.74,12.798,518750.0,
83,01-03-2010,12.963,13.128,12.963,13.021,1007300.0,
84,02-03-2010,12.856,13.021,12.798,13.021,455230.0,
85,03-03-2010,12.963,12.963,12.856,12.856,721890.0,
86,04-03-2010,12.905,13.021,12.856,13.021,990740.0,
87,05-03-2010,12.798,12.905,12.798,12.856,1202700.0,
88,08-03-2010,12.798,12.905,12.798,12.856,1633040.0,
89,09-03-2010,12.798,12.856,12.74,12.798,1539830.0,
90,10-03-2010,12.74,12.856,12.74,12.856,1149220.0,
91,11-03-2010,12.691,12.856,12.691,12.74,1318860.0,
92,12-03-2010,12.74,12.798,12.691,12.74,1235280.0,
93,15-03-2010,12.856,12.905,12.798,12.856,1646830.0,
94,16-03-2010,12.856,12.905,12.74,12.798,2133840.0,
95,17-03-2010,12.856,12.905,12.798,12.798,1758360.0,
96,18-03-2010,12.74,12.856,12.74,12.798,702920.0,
