,transDate,close,high,low,open,volume,event
0,22-04-2002,10.006,10.006,10.006,10.006,19500,
1,23-04-2002,10.14,10.14,10.14,10.14,16900,
2,24-04-2002,10.279,10.279,10.279,10.279,36800,
3,25-04-2002,10.258,10.258,10.258,10.258,23400,
4,26-04-2002,10.258,10.258,10.258,10.258,16500,
5,02-05-2002,10.14,10.14,10.14,10.14,11900,
6,03-05-2002,10.258,10.258,10.258,10.258,11500,
7,06-05-2002,10.258,10.258,10.258,10.258,13900,
8,07-05-2002,10.128,10.128,10.128,10.128,3400,
9,08-05-2002,10.006,10.006,10.006,10.006,11500,
10,09-05-2002,10.006,10.006,10.006,10.006,5200,
11,10-05-2002,10.14,10.14,10.14,10.14,7200,
12,13-05-2002,10.006,10.006,10.006,10.006,2800,
13,14-05-2002,10.006,10.006,10.006,10.006,2700,
14,15-05-2002,10.006,10.006,10.006,10.006,13600,
15,16-05-2002,9.957,9.957,9.957,9.957,5600,
16,17-05-2002,10.06,10.06,10.06,10.06,1300,
17,20-05-2002,9.957,9.957,9.957,9.957,7000,
18,21-05-2002,9.957,9.957,9.957,9.957,5000,
19,22-05-2002,10.06,10.06,10.06,10.06,300,
20,23-05-2002,10.006,10.006,10.006,10.006,1100,
21,24-05-2002,9.925,9.925,9.925,9.925,4100,
22,27-05-2002,9.823,9.823,9.823,9.823,2400,
23,28-05-2002,9.722,9.722,9.722,9.722,6000,
24,29-05-2002,9.587,9.587,9.587,9.587,6000,
25,30-05-2002,9.587,9.587,9.587,9.587,12100,
26,31-05-2002,9.722,9.722,9.722,9.722,10900,
27,03-06-2002,9.722,9.722,9.722,9.722,11000,
28,04-06-2002,9.722,9.722,9.722,9.722,2700,
29,05-06-2002,9.722,9.722,9.722,9.722,1000,
30,06-06-2002,9.689,9.689,9.689,9.689,2100,
31,07-06-2002,9.587,9.587,9.587,9.587,3100,
32,10-06-2002,9.722,9.722,9.722,9.722,3200,
33,11-06-2002,9.619,9.619,9.619,9.619,2800,
34,12-06-2002,9.722,9.722,9.722,9.722,1500,
35,13-06-2002,9.722,9.722,9.722,9.722,400,
36,14-06-2002,9.774,9.774,9.774,9.774,3300,
37,17-06-2002,9.64,9.64,9.64,9.64,2000,
38,18-06-2002,9.64,9.64,9.64,9.64,900,
39,19-06-2002,9.506,9.506,9.506,9.506,5000,
40,20-06-2002,9.619,9.619,9.619,9.619,2600,
41,21-06-2002,9.753,9.753,9.753,9.753,7800,
42,24-06-2002,9.892,9.892,9.892,9.892,11000,
43,25-06-2002,9.892,9.892,9.892,9.892,8500,
44,26-06-2002,9.753,9.753,9.753,9.753,1700,
45,27-06-2002,9.64,9.64,9.64,9.64,2200,
46,28-06-2002,9.774,9.774,9.774,9.774,600,
47,01-07-2002,9.673,9.673,9.673,9.673,1600,
48,02-07-2002,9.673,9.673,9.673,9.673,2100,
49,03-07-2002,9.673,9.673,9.673,9.673,3000,
50,04-07-2002,9.753,9.753,9.753,9.753,2800,
51,05-07-2002,9.753,9.753,9.753,9.753,5500,
52,08-07-2002,9.753,9.753,9.753,9.753,8700,
53,09-07-2002,9.839,9.839,9.839,9.839,4300,
54,10-07-2002,9.706,9.706,9.706,9.706,600,
55,11-07-2002,9.722,9.722,9.722,9.722,1400,
56,12-07-2002,9.806,9.806,9.806,9.806,4000,
57,15-07-2002,9.823,9.823,9.823,9.823,600,
58,16-07-2002,9.823,9.823,9.823,9.823,600,
59,17-07-2002,9.741,9.741,9.741,9.741,700,
60,18-07-2002,9.79,9.79,9.79,9.79,3200,
61,19-07-2002,16.444,16.444,16.444,16.444,1500,
62,22-07-2002,9.957,9.957,9.957,9.957,2000,
63,23-07-2002,10.092,10.092,10.092,10.092,15300,
64,24-07-2002,9.957,9.957,9.957,9.957,11000,
65,25-07-2002,9.839,9.839,9.839,9.839,6000,
66,26-07-2002,9.892,9.892,9.892,9.892,8900,
67,29-07-2002,9.753,9.753,9.753,9.753,1200,DIVIDEND
68,30-07-2002,9.79,9.79,9.79,9.79,1600,
69,31-07-2002,9.839,9.839,9.839,9.839,1300,
70,01-08-2002,9.839,9.839,9.839,9.839,400,
71,02-08-2002,9.753,9.753,9.753,9.753,1200,
72,05-08-2002,9.689,9.689,9.689,9.689,5000,
73,06-08-2002,9.722,9.722,9.722,9.722,2100,
74,07-08-2002,9.706,9.706,9.706,9.706,2100,
75,08-08-2002,9.673,9.673,9.673,9.673,4800,
76,09-08-2002,9.673,9.673,9.673,9.673,3900,
77,12-08-2002,9.673,9.673,9.673,9.673,3100,
78,13-08-2002,9.673,9.673,9.673,9.673,7000,
79,14-08-2002,9.673,9.673,9.673,9.673,1100,
80,15-08-2002,9.722,9.722,9.722,9.722,1300,
81,16-08-2002,9.722,9.722,9.722,9.722,1700,
82,19-08-2002,9.753,9.753,9.753,9.753,1600,
83,20-08-2002,9.673,9.673,9.673,9.673,1400,
84,21-08-2002,9.673,9.673,9.673,9.673,5800,
85,22-08-2002,9.673,9.673,9.673,9.673,8800,
86,23-08-2002,9.673,9.673,9.673,9.673,2900,
87,26-08-2002,9.64,9.64,9.64,9.64,3700,
88,27-08-2002,9.64,9.64,9.64,9.64,7900,
89,28-08-2002,9.673,9.673,9.673,9.673,900,
90,29-08-2002,9.673,9.673,9.673,9.673,1700,
91,30-08-2002,9.64,9.64,9.64,9.64,8700,
92,03-09-2002,9.64,9.64,9.64,9.64,1600,
93,04-09-2002,9.587,9.587,9.587,9.587,8700,
94,05-09-2002,9.587,9.587,9.587,9.587,3700,
95,06-09-2002,9.587,9.587,9.587,9.587,5400,
96,09-09-2002,9.587,9.587,9.587,9.587,1000,
97,10-09-2002,9.571,9.571,9.571,9.571,4600,
98,11-09-2002,9.554,9.554,9.554,9.554,1900,
99,12-09-2002,9.554,9.554,9.554,9.554,3300,
100,13-09-2002,9.554,9.554,9.554,9.554,1300,
101,16-09-2002,9.538,9.538,9.538,9.538,6700,
102,17-09-2002,9.387,9.387,9.387,9.387,9500,
103,18-09-2002,9.254,9.254,9.254,9.254,5000,
104,19-09-2002,9.254,9.254,9.254,9.254,5000,
105,20-09-2002,9.217,9.217,9.217,9.217,7600,
106,23-09-2002,9.217,9.217,9.217,9.217,9200,
107,24-09-2002,9.184,9.184,9.184,9.184,700,
108,25-09-2002,9.201,9.201,9.201,9.201,4800,
109,26-09-2002,9.254,9.254,9.254,9.254,2500,
110,27-09-2002,9.254,9.254,9.254,9.254,3500,
111,30-09-2002,9.254,9.254,9.254,9.254,5500,
112,01-10-2002,9.335,9.335,9.335,9.335,2400,
113,02-10-2002,9.287,9.287,9.287,9.287,2100,
114,03-10-2002,9.287,9.287,9.287,9.287,1500,
115,04-10-2002,9.287,9.287,9.287,9.287,4800,
116,07-10-2002,9.287,9.287,9.287,9.287,1200,
117,08-10-2002,9.217,9.217,9.217,9.217,2500,
118,09-10-2002,9.254,9.254,9.254,9.254,2300,
119,10-10-2002,9.254,9.254,9.254,9.254,6900,
120,11-10-2002,9.254,9.254,9.254,9.254,1800,
121,14-10-2002,9.254,9.254,9.254,9.254,2500,
122,15-10-2002,9.254,9.254,9.254,9.254,14500,
123,16-10-2002,9.233,9.233,9.233,9.233,4900,
124,17-10-2002,9.233,9.233,9.233,9.233,5500,
125,18-10-2002,9.168,9.168,9.168,9.168,200,
126,21-10-2002,9.168,9.168,9.168,9.168,7600,
127,22-10-2002,9.168,9.168,9.168,9.168,6900,
128,23-10-2002,9.168,9.168,9.168,9.168,6200,
129,24-10-2002,9.168,9.168,9.168,9.168,2900,
130,25-10-2002,9.168,9.168,9.168,9.168,0,
131,28-10-2002,9.168,9.168,9.168,9.168,2500,
132,29-10-2002,9.102,9.102,9.102,9.102,1500,
133,30-10-2002,9.083,9.083,9.083,9.083,700,
134,31-10-2002,9.083,9.083,9.083,9.083,1000,
135,01-11-2002,9.083,9.083,9.083,9.083,500,
136,04-11-2002,9.05,9.05,9.05,9.05,2300,
137,05-11-2002,8.883,8.883,8.883,8.883,4000,
138,06-11-2002,11.87,11.87,11.87,11.87,1200,
139,07-11-2002,8.883,8.883,8.883,8.883,3000,
140,08-11-2002,11.87,11.87,11.87,11.87,800,
141,11-11-2002,8.932,8.932,8.932,8.932,1300,
142,12-11-2002,8.932,8.932,8.932,8.932,1800,
143,13-11-2002,8.932,8.932,8.932,8.932,4000,
144,14-11-2002,8.949,8.949,8.949,8.949,10500,
145,15-11-2002,9.017,9.017,9.017,9.017,2600,
146,18-11-2002,9.017,9.017,9.017,9.017,4900,
147,19-11-2002,9.017,9.017,9.017,9.017,100,
148,20-11-2002,9.07,9.07,9.07,9.07,1500,
