,transDate,close,high,low,open,volume,event
0,19-05-2009,3.975,3.975,3.975,3.975,40,
1,20-05-2009,4.171,4.171,4.171,4.171,20,
2,21-05-2009,4.381,4.381,4.381,4.381,10,
3,22-05-2009,4.588,4.588,4.588,4.588,500,
4,25-05-2009,4.81,4.81,4.81,4.81,10,
5,26-05-2009,5.043,5.043,5.043,5.043,10,
6,27-05-2009,5.29,5.29,5.29,5.29,16040,
7,28-05-2009,5.546,5.546,5.546,5.546,21900,
8,29-05-2009,5.817,5.817,5.817,5.817,25850,
9,01-06-2009,6.098,6.098,6.098,6.098,61090,
10,02-06-2009,6.381,6.381,6.381,6.381,16350,
11,03-06-2009,6.688,6.688,6.688,6.688,41500,
12,04-06-2009,6.993,6.993,6.993,6.993,161220,
13,05-06-2009,7.301,7.301,7.301,7.301,500,
14,08-06-2009,7.61,7.61,7.61,7.61,55600,
15,09-06-2009,7.977,7.977,7.977,7.977,166030,
16,10-06-2009,8.346,8.346,8.346,8.346,333800,
17,11-06-2009,8.715,8.715,8.589,8.715,909580,
18,12-06-2009,9.142,9.142,9.142,9.142,15670,
19,15-06-2009,9.57,9.57,9.45,9.57,858330,
20,16-06-2009,9.142,9.57,9.142,9.327,192300,
21,17-06-2009,8.715,8.715,8.715,8.715,87640,
22,18-06-2009,8.346,9.083,8.282,9.083,870410,
23,19-06-2009,8.162,8.467,7.977,8.467,387420,
24,22-06-2009,7.793,7.854,7.793,7.793,331730,
25,23-06-2009,7.425,7.425,7.425,7.425,193580,
26,24-06-2009,7.793,7.793,7.729,7.793,694930,
27,25-06-2009,7.425,8.038,7.425,8.038,337330,
28,26-06-2009,7.361,7.61,7.117,7.117,330390,
29,29-06-2009,7.729,7.729,7.425,7.486,297910,
30,30-06-2009,7.361,7.729,7.361,7.729,250170,
31,01-07-2009,6.993,6.993,6.993,6.993,261330,
32,02-07-2009,6.933,7.117,6.688,6.873,347590,
33,03-07-2009,6.749,6.873,6.625,6.688,329670,
34,06-07-2009,7.056,7.056,6.873,6.873,218360,
35,07-07-2009,7.056,7.177,6.873,6.993,153750,
36,08-07-2009,7.361,7.361,7.056,7.056,407630,
37,09-07-2009,7.729,7.729,7.486,7.61,399850,
38,10-07-2009,7.361,7.729,7.361,7.729,301710,
39,13-07-2009,6.993,7.361,6.993,7.361,166480,
40,14-07-2009,6.808,6.993,6.749,6.993,206630,
41,15-07-2009,7.117,7.117,6.808,6.873,155010,
42,16-07-2009,7.361,7.425,7.241,7.425,226180,
43,17-07-2009,7.056,7.301,7.056,7.177,109340,
44,20-07-2009,6.749,6.873,6.749,6.873,126180,
45,21-07-2009,6.688,6.933,6.625,6.749,105350,
46,22-07-2009,6.688,6.749,6.566,6.749,113980,
47,23-07-2009,6.993,6.993,6.504,6.566,125780,
48,24-07-2009,7.301,7.301,7.301,7.301,9480,
49,27-07-2009,7.61,7.61,7.61,7.61,74270,
50,28-07-2009,7.854,7.977,7.854,7.977,1179810,
51,29-07-2009,7.977,8.162,7.854,8.097,357910,
52,30-07-2009,7.729,7.914,7.67,7.729,153170,
53,31-07-2009,8.097,8.097,7.854,7.914,211700,
54,03-08-2009,8.097,8.346,7.854,8.097,218920,
55,04-08-2009,8.346,8.405,8.222,8.346,279050,
56,05-08-2009,8.282,8.405,8.162,8.222,250320,
57,06-08-2009,8.097,8.405,8.097,8.282,266100,
58,07-08-2009,7.977,8.162,7.977,7.977,155730,
59,10-08-2009,8.222,8.346,7.977,7.977,181020,
60,11-08-2009,8.162,8.282,8.097,8.162,91000,
61,12-08-2009,8.038,8.346,8.038,8.282,164290,
62,13-08-2009,8.162,8.282,8.162,8.282,175780,
63,14-08-2009,8.162,8.222,8.162,8.162,168930,
64,17-08-2009,7.914,8.162,7.914,8.162,98740,
65,18-08-2009,7.854,7.914,7.729,7.793,183000,
66,19-08-2009,7.977,8.038,7.854,7.977,153710,
67,20-08-2009,8.038,8.097,7.977,8.097,106110,
68,21-08-2009,8.405,8.405,8.282,8.346,812500,
69,24-08-2009,8.529,8.651,8.346,8.405,212470,
70,25-08-2009,8.346,8.529,8.282,8.405,166120,
71,26-08-2009,8.222,8.405,8.222,8.346,137800,
72,27-08-2009,8.162,8.222,8.097,8.222,222860,
73,28-08-2009,8.222,8.282,8.162,8.282,213540,
74,31-08-2009,8.589,8.589,8.405,8.467,588590,
75,01-09-2009,9.018,9.018,8.589,9.018,553420,
76,03-09-2009,9.202,9.45,9.018,9.083,761530,
77,04-09-2009,8.774,9.266,8.774,9.142,396680,
78,07-09-2009,8.529,8.715,8.346,8.589,377780,
79,08-09-2009,8.898,8.898,8.589,8.651,459940,
80,09-09-2009,8.835,9.018,8.715,9.018,245280,
81,10-09-2009,9.142,9.142,8.835,8.835,506290,
82,11-09-2009,9.386,9.386,9.202,9.327,530400,
83,14-09-2009,9.57,9.57,9.327,9.386,344610,
84,15-09-2009,9.879,9.879,9.57,9.819,556000,
85,16-09-2009,9.696,10.123,9.696,10.063,394850,
86,17-09-2009,9.511,9.755,9.327,9.696,504140,
87,18-09-2009,9.57,9.57,9.386,9.386,955470,
88,21-09-2009,9.634,9.755,9.634,9.634,354390,
89,22-09-2009,10.003,10.063,9.57,9.634,698600,
90,23-09-2009,10.123,10.491,10.063,10.491,790500,
91,24-09-2009,9.939,10.123,9.819,9.939,336630,
92,25-09-2009,10.063,10.063,9.755,9.819,369320,
93,28-09-2009,10.491,10.552,10.186,10.552,747990,
94,29-09-2009,10.186,10.491,10.123,10.491,512080,
95,30-09-2009,9.819,10.186,9.819,10.186,429950,
96,01-10-2009,9.45,9.819,9.45,9.755,498290,
97,02-10-2009,9.202,9.386,9.018,9.202,673900,
98,05-10-2009,9.142,9.386,8.959,9.327,267890,
99,06-10-2009,9.083,9.266,9.083,9.266,248900,
100,07-10-2009,9.511,9.511,9.083,9.083,294630,
101,08-10-2009,9.939,9.939,9.511,9.634,482390,
102,09-10-2009,10.431,10.431,10.307,10.431,838230,
103,12-10-2009,10.92,10.92,10.614,10.8,747410,
104,13-10-2009,10.675,11.044,10.675,10.675,535450,
105,14-10-2009,11.168,11.168,10.675,10.675,590870,
106,15-10-2009,11.596,11.72,11.412,11.72,1035510,
