,transDate,close,high,low,open,volume,event
0,17-10-2006,39.191,39.191,39.191,39.191,132580,
1,18-10-2006,37.232,37.232,37.232,37.232,76330,
2,19-10-2006,37.624,37.624,37.232,37.232,140620,
3,20-10-2006,38.094,38.094,37.624,37.624,60500,
4,23-10-2006,37.624,38.094,37.624,38.094,60620,
5,24-10-2006,36.84,37.232,36.84,37.154,25990,
6,25-10-2006,36.056,36.84,36.056,36.84,28900,
7,26-10-2006,35.273,35.273,35.273,35.273,87390,
8,27-10-2006,35.273,35.586,35.273,35.586,11370,
9,30-10-2006,34.88,35.273,34.489,35.273,41920,
10,31-10-2006,34.88,35.273,34.489,35.273,16800,
11,01-11-2006,34.802,34.88,34.802,34.88,19540,
12,02-11-2006,34.489,34.724,34.489,34.724,32970,
13,03-11-2006,33.862,34.097,33.705,34.097,23800,
14,06-11-2006,33.705,33.705,33.705,33.705,37690,
15,07-11-2006,34.331,34.331,34.097,34.097,40400,
16,08-11-2006,34.175,34.411,34.175,34.411,16740,
17,09-11-2006,34.175,34.175,33.783,33.783,23300,
18,10-11-2006,33.94,33.94,33.705,33.705,18760,
19,13-11-2006,33.626,33.705,33.626,33.705,19200,
20,14-11-2006,33.705,33.705,32.92,32.92,68080,
21,15-11-2006,34.489,35.35,34.489,35.35,79280,
22,16-11-2006,34.489,34.489,34.097,34.489,17400,
23,17-11-2006,34.489,34.489,34.489,34.489,8600,
24,20-11-2006,33.705,34.489,33.705,34.489,20000,
25,21-11-2006,32.529,32.607,32.529,32.607,51090,
26,22-11-2006,32.764,32.764,32.137,32.137,18350,
27,23-11-2006,34.254,34.254,32.529,32.529,37430,
28,24-11-2006,35.273,35.743,35.273,35.743,47600,
29,27-11-2006,33.705,34.489,33.705,34.489,17340,
30,28-11-2006,33.705,33.783,33.705,33.783,27410,
31,29-11-2006,32.92,33.705,32.92,33.705,21170,
32,30-11-2006,32.92,32.92,32.529,32.529,18050,
33,01-12-2006,33.313,33.626,32.92,33.626,11400,
34,04-12-2006,32.92,33.313,31.745,33.313,52810,
35,05-12-2006,32.529,32.92,32.529,32.529,19280,
36,06-12-2006,32.137,32.92,32.137,32.92,25980,
37,07-12-2006,32.92,32.92,32.137,32.137,51020,
38,08-12-2006,34.489,34.489,34.489,34.489,7600,
39,11-12-2006,33.705,34.88,33.705,34.88,36360,
40,12-12-2006,33.705,33.705,32.92,32.92,57300,
41,13-12-2006,32.607,33.705,32.607,33.705,45690,
42,14-12-2006,32.686,32.686,32.686,32.686,39030,
43,15-12-2006,33.313,33.313,32.92,32.92,46090,
44,18-12-2006,33.469,34.097,33.469,33.313,41100,
45,19-12-2006,33.313,33.469,33.313,33.469,13370,
46,20-12-2006,32.92,32.92,32.215,33.313,17320,
47,21-12-2006,31.275,32.686,31.275,32.92,28370,
48,22-12-2006,32.686,32.686,30.178,31.275,33820,
49,25-12-2006,33.705,33.705,32.686,32.686,25270,
50,26-12-2006,33.549,33.705,33.549,33.705,27120,
51,27-12-2006,32.92,33.549,32.92,32.92,14020,
52,28-12-2006,32.137,32.137,31.432,32.137,17990,
53,29-12-2006,33.705,33.705,31.667,33.705,24600,
54,02-01-2007,32.686,33.705,32.686,32.686,8700,
55,03-01-2007,32.92,32.92,31.745,32.92,18400,
56,04-01-2007,32.764,32.92,32.607,32.92,34850,
57,05-01-2007,32.92,32.92,32.137,32.92,36150,
58,08-01-2007,32.215,32.92,32.215,32.92,28950,
59,09-01-2007,32.137,32.215,32.137,32.137,30090,
60,10-01-2007,32.293,32.529,32.293,32.529,26540,
61,11-01-2007,32.137,32.137,31.745,31.745,42430,
62,12-01-2007,30.569,32.137,30.569,32.137,76320,
63,15-01-2007,30.569,31.824,30.569,31.824,69570,
64,16-01-2007,31.354,31.354,30.569,30.569,29760,
65,17-01-2007,29.864,30.569,29.864,30.569,46150,
66,18-01-2007,30.569,30.569,30.256,30.569,19250,
67,19-01-2007,30.178,30.569,30.178,30.178,31580,
68,22-01-2007,29.393,30.178,29.002,30.178,28350,
69,23-01-2007,29.786,29.786,29.786,29.786,119380,
70,24-01-2007,31.118,31.118,30.569,30.569,139610,
71,25-01-2007,32.137,32.607,32.137,32.607,97940,
72,26-01-2007,31.667,31.667,30.569,30.569,75540,
