,transDate,close,high,low,open,volume,event
0,12-12-2005,5.798,5.798,5.798,5.798,13020,
1,13-12-2005,6.045,6.045,5.896,5.896,47140,
2,14-12-2005,5.896,6.045,5.896,6.045,29540,
3,15-12-2005,5.798,5.896,5.798,5.896,34670,
4,16-12-2005,5.798,5.798,5.798,5.798,6030,
5,19-12-2005,5.701,5.798,5.701,5.798,15990,
6,20-12-2005,5.605,5.701,5.605,5.701,9640,
7,21-12-2005,5.455,5.503,5.455,5.503,16710,
8,22-12-2005,5.405,5.405,5.405,5.405,25980,
9,23-12-2005,5.436,5.436,5.436,5.436,16030,DIVIDEND
10,26-12-2005,5.436,5.436,5.436,5.436,14190,
11,27-12-2005,5.384,5.436,5.384,5.436,16670,
12,28-12-2005,5.287,5.335,5.287,5.335,26700,
13,29-12-2005,5.384,5.384,5.287,5.287,28130,
14,30-12-2005,5.384,5.586,5.384,5.384,23040,
15,03-01-2006,5.287,5.384,5.287,5.287,1000,
16,04-01-2006,5.287,5.287,5.287,5.287,16220,
17,05-01-2006,5.335,5.335,5.287,5.287,10600,
18,06-01-2006,5.335,5.335,5.335,5.335,7220,
19,09-01-2006,5.335,5.384,5.335,5.335,2010,
20,10-01-2006,5.335,5.335,5.335,5.335,3450,
21,11-01-2006,5.287,5.335,5.287,5.335,6850,
22,12-01-2006,5.234,5.234,5.234,5.234,9220,
23,13-01-2006,5.287,5.287,5.234,5.234,15130,
24,17-01-2006,5.287,5.287,5.287,5.287,8030,
25,18-01-2006,5.335,5.335,5.335,5.335,7000,
26,19-01-2006,5.287,5.335,5.287,5.335,5320,
27,20-01-2006,5.335,5.335,5.335,5.335,9300,
28,23-01-2006,5.287,5.335,5.287,5.287,7530,
29,24-01-2006,5.287,5.287,5.287,5.287,2100,
30,25-01-2006,5.384,5.384,5.287,5.287,2110,
31,26-01-2006,5.384,5.384,5.384,5.384,3010,
32,27-01-2006,5.384,5.384,5.384,5.384,9640,
33,06-02-2006,5.335,5.384,5.335,5.384,4610,
34,07-02-2006,5.384,5.384,5.384,5.384,10950,
35,08-02-2006,5.384,5.384,5.384,5.384,10030,
36,09-02-2006,5.384,5.384,5.384,5.384,6300,
37,10-02-2006,5.384,5.384,5.384,5.384,2850,
38,13-02-2006,5.384,5.384,5.384,5.384,12250,
39,14-02-2006,5.335,5.384,5.335,5.384,8460,
40,15-02-2006,5.384,5.384,5.335,5.335,19200,
41,16-02-2006,5.384,5.384,5.384,5.384,13270,
42,17-02-2006,5.436,5.436,5.436,5.436,13130,
43,20-02-2006,5.634,5.634,5.484,5.484,13090,
44,21-02-2006,5.634,5.634,5.634,5.634,13830,
45,22-02-2006,5.436,5.634,5.436,5.634,5770,
46,23-02-2006,5.436,5.436,5.436,5.436,5550,
47,24-02-2006,5.533,5.533,5.533,5.533,17780,
48,27-02-2006,5.533,5.533,5.533,5.533,22660,
49,28-02-2006,5.533,5.586,5.533,5.533,22640,
50,01-03-2006,5.784,5.784,5.586,5.586,20840,
51,02-03-2006,5.983,5.983,5.883,5.883,49500,
52,03-03-2006,5.682,6.082,5.682,5.983,24270,
53,06-03-2006,5.932,5.932,5.883,5.883,33150,
54,07-03-2006,6.082,6.082,5.983,5.983,61950,
55,08-03-2006,5.983,6.033,5.983,6.033,23670,
56,09-03-2006,6.134,6.134,5.983,5.983,19910,
57,10-03-2006,6.383,6.383,6.23,6.23,31590,
58,13-03-2006,6.563,6.563,6.563,6.563,30000,DIVIDEND
59,14-03-2006,6.668,6.668,6.668,6.668,16850,
60,15-03-2006,6.919,6.969,6.919,6.919,44570,
61,16-03-2006,7.118,7.118,6.969,6.969,34170,
62,17-03-2006,7.474,7.474,7.373,7.373,22750,
63,20-03-2006,7.827,7.827,7.827,7.827,56110,
64,21-03-2006,8.178,8.178,8.178,8.178,65790,
65,22-03-2006,8.077,8.183,8.077,8.183,44050,
66,23-03-2006,7.877,7.877,7.877,7.877,29940,
67,24-03-2006,7.776,7.776,7.728,7.776,10680,
68,27-03-2006,8.077,8.077,7.877,7.877,17720,
69,28-03-2006,8.178,8.28,8.178,8.178,14900,
70,29-03-2006,8.13,8.383,8.13,8.178,15460,
71,30-03-2006,8.178,8.28,8.178,8.178,22470,
72,31-03-2006,8.284,8.284,8.284,8.284,25930,
73,03-04-2006,8.687,8.687,8.687,8.687,37340,
74,04-04-2006,8.687,8.988,8.687,8.687,23950,
75,05-04-2006,8.687,8.687,8.687,8.687,16060,
76,06-04-2006,8.887,8.887,8.887,8.887,19770,
77,07-04-2006,8.887,8.887,8.887,8.887,12260,
78,10-04-2006,8.887,9.036,8.887,8.887,23970,
79,11-04-2006,8.687,8.786,8.687,8.786,14380,
80,12-04-2006,8.786,8.786,8.687,8.687,12010,
81,13-04-2006,8.887,8.887,8.786,8.786,14930,
82,14-04-2006,9.036,9.036,8.988,8.988,9500,
83,17-04-2006,9.089,9.089,9.089,9.089,14660,
84,18-04-2006,9.493,9.493,9.089,9.089,24710,
85,19-04-2006,9.493,9.493,9.493,9.493,8850,
86,20-04-2006,9.493,9.493,9.493,9.493,13000,
87,21-04-2006,9.846,9.846,9.493,9.493,20630,
88,24-04-2006,10.197,10.301,10.197,10.197,19650,
89,25-04-2006,10.301,10.301,10.301,10.301,19420,
90,26-04-2006,10.197,10.301,10.197,10.301,8100,
91,27-04-2006,9.693,9.899,9.693,9.899,3680,
92,28-04-2006,9.795,9.795,9.238,9.693,25560,
93,03-05-2006,9.947,10.201,9.947,9.947,1920,
94,04-05-2006,9.795,9.947,9.795,9.947,11140,
95,05-05-2006,9.795,9.795,9.593,9.795,8800,
96,08-05-2006,9.343,9.343,9.343,9.343,7970,
97,09-05-2006,8.887,8.887,8.887,8.887,3060,
98,10-05-2006,8.485,8.485,8.485,8.485,21030,
99,11-05-2006,8.887,8.887,8.485,8.485,23940,
100,12-05-2006,9.29,9.29,9.29,9.29,19310,
101,15-05-2006,9.746,9.746,9.746,9.746,41030,
102,16-05-2006,9.343,9.746,9.343,9.746,37220,
103,17-05-2006,9.795,9.795,9.795,9.795,28030,
104,18-05-2006,9.693,9.799,9.693,9.799,12120,
105,19-05-2006,9.693,9.693,9.693,9.693,26530,
106,22-05-2006,9.936,9.936,9.817,9.936,13950,
