,transDate,close,high,low,open,volume,event
0,01-11-2011,5.444,5.721,5.444,5.721,2719290.0,
1,02-11-2011,5.207,5.444,5.207,5.366,1255220.0,
2,03-11-2011,5.169,5.207,4.97,5.13,1193910.0,
3,04-11-2011,5.089,5.207,5.089,5.207,483860.0,
4,07-11-2011,4.851,5.089,4.851,5.089,1158750.0,
5,08-11-2011,4.734,4.814,4.656,4.775,1105490.0,
6,09-11-2011,4.577,4.734,4.577,4.694,740500.0,
7,10-11-2011,4.656,4.775,4.499,4.499,1258020.0,
8,11-11-2011,4.734,4.814,4.694,4.734,1024320.0,
9,14-11-2011,4.694,4.734,4.656,4.694,681580.0,
10,15-11-2011,4.656,4.734,4.656,4.694,333650.0,
11,16-11-2011,4.694,4.734,4.615,4.656,963200.0,
12,17-11-2011,4.694,4.694,4.615,4.694,833240.0,
13,18-11-2011,4.734,4.734,4.577,4.656,1468870.0,
14,21-11-2011,4.893,4.893,4.656,4.656,1247370.0,
15,22-11-2011,5.05,5.13,4.893,4.893,1100380.0,
16,23-11-2011,5.009,5.13,4.97,5.089,580420.0,
17,24-11-2011,4.893,5.009,4.893,5.009,545770.0,
18,25-11-2011,4.851,4.893,4.775,4.851,587810.0,
19,28-11-2011,4.97,5.05,4.851,4.893,1119140.0,
20,29-11-2011,5.05,5.089,4.97,4.97,1368920.0,
21,30-11-2011,4.931,5.089,4.931,5.089,1192350.0,
22,01-12-2011,5.009,5.05,4.97,4.97,903960.0,
23,02-12-2011,5.009,5.05,4.97,5.009,505490.0,
24,05-12-2011,5.13,5.169,5.009,5.009,915680.0,
25,06-12-2011,5.05,5.13,5.05,5.13,709500.0,
26,07-12-2011,5.094,5.181,5.006,5.138,1243680.0,DIVIDEND
27,08-12-2011,5.05,5.138,5.05,5.138,381970.0,
28,09-12-2011,4.963,5.05,4.919,5.05,861100.0,
29,12-12-2011,5.006,5.05,4.919,4.919,640030.0,
30,13-12-2011,4.963,5.05,4.963,4.963,648920.0,
31,14-12-2011,4.919,4.963,4.832,4.963,1185060.0,
32,15-12-2011,4.919,4.963,4.787,4.963,582760.0,
33,16-12-2011,4.919,5.006,4.876,4.919,510930.0,
34,19-12-2011,4.919,4.963,4.876,4.876,468810.0,
35,20-12-2011,4.919,4.919,4.876,4.876,560760.0,
36,21-12-2011,4.963,4.963,4.919,4.919,588730.0,
37,22-12-2011,4.876,4.963,4.832,4.963,587640.0,
38,23-12-2011,4.832,4.919,4.832,4.876,597370.0,
39,26-12-2011,4.787,4.876,4.657,4.832,1035190.0,
40,27-12-2011,4.572,4.746,4.572,4.746,1727600.0,
41,28-12-2011,4.614,4.657,4.529,4.572,1741660.0,
42,29-12-2011,4.703,4.703,4.614,4.657,1019180.0,
43,30-12-2011,4.703,4.787,4.703,4.703,510030.0,
44,03-01-2012,4.746,4.746,4.657,4.703,462000.0,
45,04-01-2012,4.746,4.746,4.614,4.703,368740.0,
46,05-01-2012,4.657,4.746,4.614,4.746,478490.0,
47,06-01-2012,4.657,4.703,4.614,4.657,331370.0,
48,09-01-2012,4.703,4.746,4.614,4.703,464800.0,
49,10-01-2012,4.787,4.787,4.657,4.657,897700.0,
50,11-01-2012,4.832,4.832,4.787,4.832,653750.0,
51,12-01-2012,4.919,4.919,4.787,4.832,475010.0,
52,13-01-2012,5.006,5.006,4.919,4.919,425170.0,
53,16-01-2012,5.138,5.181,5.006,5.006,553980.0,
54,17-01-2012,5.006,5.181,5.006,5.181,645660.0,
55,18-01-2012,5.006,5.138,4.963,5.006,343520.0,
56,19-01-2012,5.181,5.181,5.05,5.094,268670.0,
57,20-01-2012,5.138,5.223,5.094,5.181,275900.0,
58,30-01-2012,5.223,5.223,5.094,5.181,457150.0,
59,31-01-2012,5.269,5.399,5.181,5.223,822330.0,
60,01-02-2012,5.223,5.269,5.138,5.269,586840.0,
61,02-02-2012,5.486,5.486,5.312,5.312,1360930.0,
62,03-02-2012,5.572,5.746,5.53,5.616,4077030.0,
63,06-02-2012,5.442,5.659,5.442,5.659,1157510.0,
64,07-02-2012,5.486,5.572,5.399,5.572,963570.0,
65,08-02-2012,5.701,5.701,5.486,5.53,2496360.0,
66,09-02-2012,5.834,5.966,5.701,5.701,4113510.0,
67,10-02-2012,5.746,5.92,5.701,5.834,3139790.0,
68,13-02-2012,5.597,5.781,5.597,5.781,949610.0,
69,14-02-2012,5.781,5.781,5.554,5.597,1310730.0,
70,15-02-2012,5.644,5.781,5.554,5.781,1089850.0,
71,16-02-2012,5.691,5.691,5.554,5.597,1264950.0,
72,17-02-2012,5.781,5.781,5.691,5.691,1215500.0,
73,20-02-2012,6.008,6.053,5.827,5.871,2941850.0,
74,21-02-2012,5.871,6.1,5.871,6.1,2805190.0,
75,22-02-2012,6.053,6.1,5.827,5.827,3635880.0,
76,23-02-2012,6.327,6.327,6.008,6.1,5790660.0,
77,24-02-2012,6.463,6.601,6.373,6.417,7576700.0,
78,27-02-2012,6.691,6.737,6.417,6.555,5071310.0,
79,28-02-2012,6.506,6.83,6.366,6.83,4770100.0,DIVIDEND
80,29-02-2012,6.646,6.646,6.366,6.366,6070940.0,
81,01-03-2012,6.923,6.97,6.597,6.691,11644670.0,
82,02-03-2012,7.25,7.25,7.017,7.063,14086080.0,
