,transDate,close,high,low,open,volume,event
0,18-08-2009,11.926,11.926,11.926,11.926,19600,
1,19-08-2009,12.505,12.505,12.505,12.505,31300,
2,20-08-2009,13.112,13.112,12.974,13.112,699200,
3,21-08-2009,13.745,13.745,13.745,13.745,231000,
4,24-08-2009,13.801,14.217,13.745,14.217,469480,
5,25-08-2009,13.525,13.94,13.525,13.94,186820,
6,26-08-2009,13.112,13.525,12.974,12.974,126590,
7,27-08-2009,13.112,13.249,12.974,13.249,124780,
8,28-08-2009,13.249,13.249,13.112,13.249,140420,
9,31-08-2009,13.333,13.58,13.278,13.58,125910,
10,01-09-2009,13.249,13.525,13.112,13.249,124440,
11,03-09-2009,12.586,13.249,12.586,13.137,649880,
12,04-09-2009,12.558,13.057,12.558,12.613,105070,
13,07-09-2009,12.006,12.006,11.954,11.954,236120,
14,08-09-2009,12.449,12.449,12.006,12.421,112520,
15,09-09-2009,12.421,12.505,12.421,12.449,107280,
16,10-09-2009,12.421,12.421,12.309,12.421,69030,
17,11-09-2009,12.421,12.449,12.282,12.421,133070,
18,14-09-2009,13.029,13.029,12.974,13.029,515860,
19,15-09-2009,12.862,13.468,12.837,13.468,117530,
20,16-09-2009,12.754,12.837,12.558,12.837,109320,
21,17-09-2009,12.505,12.781,12.421,12.781,229040,
22,18-09-2009,13.112,13.112,12.613,12.698,503280,
23,21-09-2009,13.029,13.221,13.029,13.221,378600,
24,22-09-2009,12.781,12.888,12.754,12.754,166160,
25,23-09-2009,12.586,12.837,12.561,12.726,196330,
26,24-09-2009,12.338,12.586,12.338,12.421,99270,
27,25-09-2009,12.505,12.781,12.282,12.781,150140,
28,28-09-2009,12.477,12.505,12.146,12.505,201630,
29,29-09-2009,12.309,12.558,12.146,12.558,160010,
30,30-09-2009,12.172,12.421,12.006,12.421,157730,
31,01-10-2009,11.814,12.118,11.758,12.033,174420,
32,02-10-2009,11.29,11.593,11.235,11.402,187480,
33,05-10-2009,11.319,11.842,11.042,11.593,102110,
34,06-10-2009,11.347,11.73,11.319,11.73,98880,
35,07-10-2009,11.869,11.869,11.347,11.347,258170,
36,08-10-2009,11.869,11.869,11.593,11.869,168070,
37,09-10-2009,12.229,12.229,11.787,11.869,266370,DIVIDEND
38,12-10-2009,12.421,12.558,12.006,12.421,135870,
39,13-10-2009,11.926,12.421,11.869,12.421,138200,
40,14-10-2009,12.338,12.338,11.869,11.869,289070,
41,15-10-2009,12.945,12.945,12.421,12.945,995010,
42,16-10-2009,13.58,13.58,13.389,13.58,1431660,
43,19-10-2009,13.389,13.665,13.305,13.305,367690,
44,20-10-2009,13.389,13.497,13.278,13.389,414490,
45,21-10-2009,13.417,13.636,13.389,13.636,572310,
46,22-10-2009,13.333,13.389,13.137,13.389,540420,
47,23-10-2009,12.917,13.801,12.917,13.801,798180,
48,26-10-2009,12.698,13.029,12.668,12.974,202180,
49,27-10-2009,12.2,12.477,12.146,12.2,369910,
50,28-10-2009,12.146,12.421,12.146,12.2,275760,
51,29-10-2009,11.593,11.73,11.538,11.73,340140,
52,30-10-2009,12.006,12.088,11.649,12.088,192330,
53,02-11-2009,11.427,11.454,11.427,11.427,567570,
54,03-11-2009,10.875,11.319,10.875,11.179,239060,
55,04-11-2009,10.491,11.042,10.407,10.491,238010,
56,05-11-2009,11.014,11.014,10.626,10.93,160000,
57,06-11-2009,11.538,11.538,11.454,11.538,181280,
58,09-11-2009,10.986,11.538,10.986,11.538,194650,
59,10-11-2009,10.986,10.986,10.626,10.903,289580,
60,11-11-2009,11.235,11.482,10.986,10.986,123810,
61,12-11-2009,11.454,11.73,11.454,11.593,146830,
62,13-11-2009,11.482,11.482,11.179,11.179,131000,
63,16-11-2009,11.07,11.566,11.07,11.566,127240,
64,17-11-2009,11.621,11.621,11.621,11.621,315960,
65,18-11-2009,12.006,12.006,11.319,12.006,349140,
66,19-11-2009,12.033,12.146,11.898,12.146,234310,
67,20-11-2009,11.621,12.033,11.621,11.73,175920,
68,23-11-2009,11.151,11.702,11.151,11.593,137420,
69,24-11-2009,11.261,11.319,11.07,11.151,206090,
70,25-11-2009,10.71,11.261,10.71,11.261,398270,
71,26-11-2009,10.187,10.187,10.187,10.187,141670,
72,27-11-2009,10.681,10.681,9.687,9.687,241780,
73,30-11-2009,10.738,10.875,10.491,10.681,155680,
74,01-12-2009,10.738,11.042,10.738,10.986,82180,
75,02-12-2009,10.351,10.738,10.351,10.542,129400,
76,03-12-2009,10.351,10.407,9.855,10.351,118610,
77,04-12-2009,10.295,10.491,10.215,10.351,60880,
78,07-12-2009,10.267,10.295,10.131,10.159,97290,
79,08-12-2009,9.963,10.215,9.94,10.215,77470,
80,09-12-2009,9.495,9.94,9.468,9.94,141190,
81,10-12-2009,9.248,9.855,9.219,9.855,103240,
82,11-12-2009,8.803,9.248,8.803,9.248,196890,
83,14-12-2009,9.107,9.219,8.807,8.807,107220,
84,15-12-2009,9.248,9.303,8.972,9.107,67770,
85,16-12-2009,8.803,9.107,8.803,9.107,116630,
86,17-12-2009,8.475,8.943,8.447,8.943,127650,
87,18-12-2009,8.887,8.887,8.612,8.832,102230,
88,21-12-2009,9.331,9.331,9.107,9.331,50850,
89,22-12-2009,9.523,9.771,9.383,9.635,102620,
90,23-12-2009,9.523,9.607,9.468,9.468,70970,
91,24-12-2009,9.8,9.883,9.248,9.468,89590,
92,25-12-2009,10.267,10.267,9.94,9.94,118240,
93,28-12-2009,10.267,10.491,9.991,10.267,89300,
94,29-12-2009,10.103,10.295,9.8,10.267,134230,
95,30-12-2009,10.571,10.571,9.94,10.103,297670,
96,31-12-2009,10.794,10.986,10.766,10.903,258670,
97,04-01-2010,11.319,11.319,11.042,11.042,144370,
98,05-01-2010,11.319,11.869,11.319,11.842,122260,
99,06-01-2010,11.319,11.427,11.042,11.319,202590,
100,07-01-2010,11.207,11.454,11.179,11.319,83610,
101,08-01-2010,10.766,11.454,10.766,11.454,128200,
102,11-01-2010,10.986,10.986,10.571,10.766,56780,
103,12-01-2010,10.766,11.042,10.491,10.766,75660,
104,13-01-2010,10.571,10.903,10.407,10.542,141410,
105,14-01-2010,10.738,10.794,10.571,10.766,154620,
106,15-01-2010,10.766,11.042,10.571,10.571,102360,
107,18-01-2010,10.626,10.654,10.491,10.654,63360,
108,19-01-2010,10.766,10.903,10.542,10.903,191550,
109,20-01-2010,10.598,10.766,10.571,10.654,59490,
110,21-01-2010,10.351,10.598,10.215,10.598,77260,
111,22-01-2010,9.963,10.215,9.94,9.94,63920,
112,25-01-2010,10.074,10.215,9.991,10.215,26550,
113,26-01-2010,10.491,10.542,10.322,10.407,111310,
114,27-01-2010,10.351,10.491,10.159,10.491,68230,
115,28-01-2010,10.074,10.074,10.019,10.019,37700,
116,29-01-2010,10.074,10.215,9.94,10.074,38730,
117,01-02-2010,10.046,10.046,9.991,9.991,31520,
118,02-02-2010,9.883,10.215,9.883,10.046,71430,
119,03-02-2010,10.187,10.187,9.883,9.883,33540,
120,04-02-2010,10.407,10.407,10.159,10.215,28520,
121,05-02-2010,10.074,10.351,10.074,10.103,30030,
122,08-02-2010,10.159,10.187,9.828,9.828,12960,
123,09-02-2010,9.94,10.159,9.911,10.159,42550,
124,10-02-2010,10.322,10.322,9.963,10.322,25140,
125,11-02-2010,10.351,10.351,10.351,10.351,19130,
126,12-02-2010,10.434,10.518,10.351,10.491,26550,
127,22-02-2010,10.518,10.571,10.434,10.491,15160,
128,23-02-2010,10.159,10.463,10.159,10.351,34220,
129,24-02-2010,10.159,10.215,9.94,10.103,51800,
130,25-02-2010,10.074,10.491,10.074,10.215,46500,
131,26-02-2010,10.131,10.131,9.991,10.074,59180,
132,01-03-2010,10.215,10.434,10.074,10.434,106260,
133,02-03-2010,10.215,10.322,10.103,10.215,115380,
134,03-03-2010,10.351,10.351,10.215,10.267,150350,
135,04-03-2010,10.491,10.626,10.379,10.491,143640,
136,05-03-2010,11.014,11.014,10.491,10.542,400850,
137,08-03-2010,11.538,11.538,11.179,11.319,601600,
138,09-03-2010,11.73,11.954,11.319,11.538,325410,
139,10-03-2010,11.593,11.73,11.566,11.566,379130,
140,11-03-2010,11.402,11.678,11.402,11.593,321560,
141,12-03-2010,11.649,11.649,11.374,11.482,297020,
142,15-03-2010,11.649,11.869,11.621,11.869,243590,
143,16-03-2010,11.098,11.593,11.098,11.593,215930,
144,17-03-2010,11.042,11.319,11.042,11.122,116920,
145,18-03-2010,11.319,11.319,10.903,11.319,111880,
146,19-03-2010,11.179,11.454,11.179,11.454,77450,
147,22-03-2010,10.903,11.179,10.903,11.179,95870,
148,23-03-2010,10.626,10.875,10.626,10.766,205090,
149,24-03-2010,10.681,10.794,10.626,10.766,187180,
150,25-03-2010,10.542,10.681,10.518,10.571,104170,
151,26-03-2010,10.491,10.571,10.463,10.571,141120,
152,29-03-2010,10.491,10.626,10.434,10.491,58550,
153,30-03-2010,10.766,10.903,10.491,10.491,94340,
154,31-03-2010,10.766,10.847,10.626,10.766,44180,
155,01-04-2010,10.766,10.821,10.598,10.598,110480,
156,02-04-2010,10.766,10.903,10.654,10.847,78490,
157,05-04-2010,11.179,11.261,10.794,10.959,168200,
158,06-04-2010,11.482,11.678,11.454,11.678,538530,
159,07-04-2010,12.033,12.033,11.454,11.566,1644030,
160,08-04-2010,11.926,12.146,11.842,12.033,557830,DIVIDEND
161,09-04-2010,11.593,11.842,11.593,11.814,349600,
162,12-04-2010,11.538,11.538,11.538,11.538,265270,
163,13-04-2010,11.374,11.538,11.347,11.538,325820,
164,14-04-2010,11.347,11.454,11.235,11.235,206000,
165,15-04-2010,11.842,11.842,11.454,11.593,304970,
166,16-04-2010,11.73,11.954,11.73,11.869,357320,
167,19-04-2010,11.593,11.678,11.482,11.593,278600,
168,20-04-2010,11.482,11.593,11.482,11.482,180730,
169,21-04-2010,11.51,11.593,11.454,11.593,303600,
170,22-04-2010,11.593,11.926,11.51,11.51,319200,
171,26-04-2010,11.593,11.73,11.538,11.593,142290,
172,27-04-2010,11.566,11.678,11.51,11.593,191770,
173,28-04-2010,11.482,11.593,11.482,11.593,225210,
174,29-04-2010,11.814,12.006,11.649,12.006,453540,
175,04-05-2010,11.814,11.869,11.758,11.869,199110,
176,05-05-2010,11.73,11.814,11.593,11.593,171380,
177,06-05-2010,11.73,11.814,11.649,11.73,212980,
178,07-05-2010,11.593,11.621,11.427,11.593,523670,
179,10-05-2010,11.261,11.402,11.235,11.402,197740,
180,11-05-2010,11.261,11.51,11.207,11.51,200130,
181,12-05-2010,10.93,11.261,10.821,11.042,184430,
182,13-05-2010,10.959,11.374,10.93,10.93,84330,
183,14-05-2010,10.959,11.261,10.959,11.261,52220,
184,17-05-2010,10.654,10.903,10.626,10.766,93480,
185,18-05-2010,10.626,10.654,10.351,10.434,131080,
186,19-05-2010,10.351,10.571,10.351,10.407,147580,
187,20-05-2010,10.463,10.491,9.883,9.883,154720,
188,21-05-2010,9.963,10.159,9.963,10.074,246980,
189,24-05-2010,10.187,10.379,9.8,9.963,74690,
190,25-05-2010,9.991,10.322,9.991,10.215,70050,
191,26-05-2010,10.295,10.295,9.991,9.991,105580,
192,27-05-2010,10.571,10.571,10.215,10.215,23360,
193,28-05-2010,10.794,10.986,10.71,10.986,285660,
194,31-05-2010,10.626,10.794,10.491,10.794,68780,
195,01-06-2010,10.598,10.654,10.542,10.542,93160,
196,02-06-2010,10.626,10.738,10.598,10.598,69560,
197,03-06-2010,10.681,10.766,10.681,10.766,74610,
198,04-06-2010,10.626,10.766,10.626,10.766,55580,
199,07-06-2010,10.295,10.407,10.215,10.215,184380,
200,08-06-2010,10.322,10.598,10.267,10.598,43780,
201,09-06-2010,10.241,10.379,10.241,10.351,43000,
202,10-06-2010,10.379,10.463,10.322,10.322,34120,
203,11-06-2010,10.518,10.598,10.434,10.598,151370,
204,14-06-2010,10.518,10.71,10.518,10.71,40900,
205,15-06-2010,10.434,10.518,10.434,10.518,17350,
206,16-06-2010,10.491,10.598,10.434,10.491,94330,
207,17-06-2010,10.518,10.542,10.463,10.463,149050,
208,18-06-2010,10.518,10.518,10.518,10.518,15660,
209,21-06-2010,10.518,10.542,10.491,10.491,57880,
