,transDate,close,high,low,open,volume,event
0,20-12-2016,49.538,49.538,49.538,49.538,174000,
1,21-12-2016,45.115,56.967,43.347,56.967,358284,
2,22-12-2016,41.002,45.115,40.869,45.115,511765,
3,23-12-2016,42.549,45.115,38.081,38.081,200197,
4,26-12-2016,42.593,43.743,42.283,43.743,65420,
5,27-12-2016,42.505,42.593,42.373,42.459,106647,
6,28-12-2016,42.151,42.549,42.018,42.505,79476,
7,29-12-2016,42.062,42.24,41.575,41.797,78400,
8,30-12-2016,42.018,42.24,41.575,42.018,96960,
9,03-01-2017,42.373,42.459,42.107,42.24,55344,
10,04-01-2017,42.903,43.125,42.328,42.459,77150,
11,05-01-2017,43.784,44.006,42.896,43.205,127379,DIVIDEND
12,06-01-2017,44.494,44.584,43.694,43.694,139310,
13,09-01-2017,46.895,46.895,44.405,44.405,123351,
14,10-01-2017,47.918,48.451,46.229,46.229,221390,
15,11-01-2017,48.585,48.895,46.673,47.117,159433,
16,12-01-2017,49.296,49.784,48.451,48.673,229238,
17,13-01-2017,48.095,49.784,47.117,49.784,110598,
18,16-01-2017,45.962,48.406,45.783,48.406,69045,
19,17-01-2017,45.604,46.673,44.006,45.384,134672,
20,18-01-2017,46.673,47.34,45.339,45.339,62197,
21,19-01-2017,46.673,47.518,46.451,47.518,45974,
22,20-01-2017,46.628,46.895,46.36,46.451,76399,
23,23-01-2017,46.807,46.895,45.783,46.673,62000,
24,24-01-2017,46.984,47.117,46.673,46.673,23723,
25,25-01-2017,47.65,48.406,46.939,46.939,33930,
26,02-02-2017,48.673,48.895,47.74,47.74,59391,
27,03-02-2017,49.251,49.74,48.585,48.585,149507,
28,06-02-2017,48.762,50.184,48.496,49.34,91966,
29,07-02-2017,48.362,49.251,48.318,48.762,68222,
30,08-02-2017,48.673,48.895,48.585,48.895,42074,
31,09-02-2017,49.118,49.296,48.451,48.451,164362,
32,10-02-2017,48.895,49.296,48.852,48.94,60500,
33,13-02-2017,48.852,49.118,48.496,48.895,41493,
34,14-02-2017,48.629,49.118,48.539,48.539,80849,
35,15-02-2017,48.718,48.895,48.539,48.895,15910,
36,16-02-2017,48.451,48.895,48.451,48.895,87256,
37,17-02-2017,48.451,48.585,48.362,48.451,60830,
38,20-02-2017,48.451,48.762,48.227,48.718,99858,
39,21-02-2017,48.895,49.118,48.451,48.451,96494,
40,22-02-2017,49.072,49.251,48.807,48.807,133807,
41,23-02-2017,49.563,49.695,49.251,49.251,117653,
42,24-02-2017,51.607,53.118,49.517,49.695,308714,
43,27-02-2017,52.896,52.896,51.383,52.007,125834,
44,28-02-2017,53.874,54.628,52.674,52.674,133763,
45,01-03-2017,53.339,54.675,52.542,54.23,99920,
46,02-03-2017,52.896,54.007,52.851,54.007,60621,
47,03-03-2017,53.073,53.339,52.674,52.896,86180,
48,06-03-2017,53.606,53.784,52.807,52.807,109760,
49,07-03-2017,53.874,54.007,53.384,53.518,99309,
50,08-03-2017,54.362,54.408,53.562,53.696,75111,
51,09-03-2017,54.718,54.94,54.542,54.628,80215,
52,10-03-2017,55.073,55.119,54.762,54.852,119764,
53,13-03-2017,54.586,55.296,54.408,55.119,95060,
54,14-03-2017,54.807,54.94,54.274,54.94,121050,
55,15-03-2017,55.163,55.296,54.895,54.895,83658,
56,16-03-2017,55.252,55.252,55.073,55.163,62160,
57,17-03-2017,55.919,55.964,55.208,55.208,116626,
58,20-03-2017,57.252,57.252,56.007,56.007,61310,
59,21-03-2017,56.007,57.252,56.007,57.074,64739,
60,22-03-2017,55.874,56.007,55.519,56.007,98400,
61,23-03-2017,55.919,56.007,55.83,56.007,25000,
62,24-03-2017,56.229,56.229,55.964,56.007,36410,
63,27-03-2017,55.564,56.362,55.564,56.362,46417,
64,28-03-2017,55.964,56.007,55.474,55.83,42550,
65,29-03-2017,55.564,55.564,55.119,55.564,45100,
66,30-03-2017,55.564,55.83,55.341,55.564,15948,
67,31-03-2017,54.675,55.43,54.586,55.43,54832,
68,03-04-2017,54.852,55.119,54.807,55.119,53510,
69,04-04-2017,54.23,54.895,54.185,54.895,43305,
70,05-04-2017,53.163,54.318,51.561,54.318,143511,
71,07-04-2017,54.007,54.274,53.652,53.652,40860,
72,10-04-2017,54.408,54.452,54.23,54.274,23666,
73,11-04-2017,55.163,55.964,54.675,54.675,133229,
74,12-04-2017,55.119,55.698,55.073,55.341,46100,
75,13-04-2017,55.23,55.5,54.781,54.963,23901,DIVIDEND
76,14-04-2017,54.917,55.32,54.738,55.098,13870,
77,17-04-2017,54.917,55.098,54.872,55.007,21570,
78,18-04-2017,54.781,55.098,54.649,54.963,60428,
79,19-04-2017,55.007,55.007,54.781,54.781,24800,
80,20-04-2017,54.917,54.917,54.872,54.872,11300,
81,21-04-2017,54.917,54.917,54.781,54.828,25418,
82,24-04-2017,56.038,56.038,54.917,54.917,56533,
83,25-04-2017,55.947,56.216,55.723,55.992,20900,
84,26-04-2017,55.32,56.35,55.23,56.35,16430,
85,27-04-2017,55.5,55.543,55.23,55.543,14000,
86,28-04-2017,55.32,55.769,55.32,55.723,30010,
87,03-05-2017,55.635,57.092,55.577,57.033,29110,DIVIDEND
88,04-05-2017,56.859,57.383,55.986,55.986,84343,
89,05-05-2017,56.976,57.266,56.976,57.033,53616,
90,08-05-2017,56.509,57.266,55.925,57.209,27952,
91,09-05-2017,55.986,56.335,55.986,56.335,48893,
92,10-05-2017,55.344,55.635,55.344,55.635,51281,
93,11-05-2017,55.344,55.461,55.344,55.403,32317,
94,12-05-2017,54.005,55.344,53.248,55.344,68072,
95,15-05-2017,54.063,54.121,52.432,53.596,34128,
96,16-05-2017,53.423,53.596,52.432,53.014,27610,
97,17-05-2017,53.713,56.509,53.306,53.306,16000,
98,18-05-2017,53.656,54.121,53.539,53.596,38900,
99,19-05-2017,53.888,54.005,53.596,53.596,39670,
100,22-05-2017,53.423,53.888,53.423,53.596,28200,
101,23-05-2017,52.722,53.596,52.49,53.596,41700,
102,24-05-2017,52.432,52.956,52.373,52.898,49408,
103,25-05-2017,52.432,52.722,51.85,52.665,28830,
104,26-05-2017,52.432,52.607,52.141,52.432,119684,
105,29-05-2017,52.722,53.189,52.255,52.432,131209,
106,30-05-2017,53.13,53.539,52.432,52.722,110900,
107,31-05-2017,53.364,53.481,52.78,53.014,67000,
108,01-06-2017,52.722,53.014,52.665,53.014,18900,
109,02-06-2017,52.548,52.722,52.432,52.722,33040,
110,05-06-2017,52.49,52.607,52.314,52.432,138600,
111,06-06-2017,52.607,53.014,52.314,53.014,56780,
112,07-06-2017,51.966,52.49,51.85,52.024,16400,
113,08-06-2017,52.198,52.548,51.791,52.024,55826,
114,09-06-2017,52.082,52.255,52.082,52.255,11720,
115,12-06-2017,50.392,51.674,49.926,51.616,58300,
116,13-06-2017,49.168,50.1,48.935,50.1,122341,
117,14-06-2017,47.478,48.353,45.44,48.178,130408,
118,15-06-2017,49.111,50.566,46.605,47.012,70039,
119,16-06-2017,49.226,49.634,48.877,48.935,50631,
120,19-06-2017,49.052,49.811,48.935,48.935,53720,
121,20-06-2017,49.168,49.518,48.935,49.052,26200,
122,21-06-2017,48.528,49.052,48.353,49.052,26884,
123,22-06-2017,48.587,48.701,47.188,48.528,84710,
124,23-06-2017,48.469,49.285,47.653,48.062,46300,
125,26-06-2017,48.877,48.877,47.771,48.062,63769,
126,27-06-2017,48.587,48.877,48.12,48.12,51120,
127,28-06-2017,48.701,48.701,48.353,48.353,23033,
128,29-06-2017,48.993,48.993,48.353,48.353,60320,
129,30-06-2017,49.46,49.518,49.052,49.052,88542,
130,03-07-2017,48.935,49.518,48.819,49.518,39093,
131,04-07-2017,48.993,49.111,48.701,48.935,38665,
132,05-07-2017,48.701,48.935,48.469,48.935,58100,
133,06-07-2017,48.935,48.935,48.353,48.643,73623,
134,07-07-2017,48.643,49.226,48.469,48.643,52300,
135,10-07-2017,48.296,48.528,48.12,48.353,78264,
136,11-07-2017,48.178,48.353,48.12,48.353,31460,
137,12-07-2017,48.12,48.296,47.829,48.237,102632,
138,13-07-2017,48.12,48.237,48.062,48.062,21879,
139,14-07-2017,48.004,48.237,47.771,48.12,24873,
140,17-07-2017,47.188,48.178,47.188,48.178,40001,
141,18-07-2017,48.004,48.12,46.141,47.188,95188,
142,19-07-2017,47.129,47.946,46.838,46.955,81500,
143,20-07-2017,47.246,47.303,46.779,46.897,48995,
144,21-07-2017,47.829,48.587,47.478,47.478,76680,
145,24-07-2017,47.478,47.771,47.246,47.246,28374,
146,25-07-2017,46.955,48.062,46.897,47.478,40922,
147,26-07-2017,46.779,46.897,46.663,46.779,36700,
148,27-07-2017,47.071,47.129,46.605,46.779,86157,
149,28-07-2017,47.306,47.483,47.19,47.19,46390,DIVIDEND
150,31-07-2017,46.897,47.19,46.897,47.072,46942,
151,01-08-2017,46.136,47.014,46.136,47.014,59210,
152,02-08-2017,44.611,46.252,44.494,46.252,126810,
153,03-08-2017,45.431,45.724,44.611,44.904,42863,
154,04-08-2017,44.845,45.607,44.611,45.431,119424,
155,07-08-2017,43.907,44.845,43.907,44.845,137598,
156,08-08-2017,42.911,44.142,41.034,44.142,305305,
157,09-08-2017,42.559,42.793,42.207,42.559,85480,
158,10-08-2017,42.148,42.793,42.031,42.676,123850,
159,11-08-2017,41.327,42.148,40.74,42.148,198930,
160,14-08-2017,40.389,41.385,38.983,41.327,284128,
161,15-08-2017,40.448,40.505,39.861,40.33,178895,
162,16-08-2017,41.972,42.676,40.272,40.448,271929,
163,17-08-2017,42.617,43.264,41.738,41.738,137919,
