,transDate,close,high,low,open,volume,event
0,06-12-2006,37.161,37.161,37.161,37.161,41580,
1,07-12-2006,38.893,38.893,37.161,37.161,88780,
2,08-12-2006,40.612,40.612,40.612,40.612,8380,
3,11-12-2006,42.556,42.556,42.556,42.556,20000,
4,12-12-2006,44.502,44.502,44.502,44.502,91280,
5,13-12-2006,46.665,46.665,46.665,46.665,60760,
6,14-12-2006,48.823,48.823,48.823,48.823,50070,
7,15-12-2006,49.693,49.693,46.665,48.831,100550,
8,18-12-2006,47.537,48.397,47.537,48.397,90730,
9,19-12-2006,46.665,47.551,46.228,47.551,64260,
10,20-12-2006,44.077,44.077,43.639,44.077,53730,
11,21-12-2006,46.235,46.235,46.235,46.235,164920,
12,22-12-2006,44.077,44.077,44.077,44.077,18510,
13,25-12-2006,46.235,46.235,41.912,44.077,61300,
14,26-12-2006,46.235,46.235,46.235,46.235,66970,
15,27-12-2006,47.537,47.537,46.235,46.235,63690,
16,28-12-2006,47.537,47.537,46.665,47.537,67330,
17,29-12-2006,47.968,47.968,47.528,47.528,36160,
18,02-01-2007,47.968,47.968,45.802,47.968,36510,
19,03-01-2007,47.537,47.968,47.537,47.968,10330,
20,04-01-2007,48.397,48.397,47.528,47.528,55890,
21,05-01-2007,48.823,48.823,48.392,48.392,34340,
22,08-01-2007,47.537,47.537,46.665,47.537,23430,
23,09-01-2007,47.537,47.537,47.106,47.537,69340,
24,10-01-2007,47.968,47.968,47.528,47.528,75760,
25,11-01-2007,47.968,47.968,47.968,47.968,101890,
26,12-01-2007,47.537,47.968,47.106,47.968,66280,
27,15-01-2007,47.968,47.968,47.099,47.528,97810,
28,16-01-2007,50.125,50.125,47.968,47.968,67760,
29,17-01-2007,47.968,50.556,47.968,50.125,69570,
30,18-01-2007,47.968,47.968,47.528,47.968,33440,
31,19-01-2007,48.823,49.263,48.823,48.823,65420,
32,22-01-2007,46.665,48.823,46.665,48.823,48390,
33,23-01-2007,47.537,47.537,46.665,46.665,11700,
34,24-01-2007,48.397,48.397,47.959,47.959,45110,
35,25-01-2007,46.665,47.959,46.665,47.959,43250,
36,26-01-2007,46.235,46.665,46.235,46.665,40930,
37,29-01-2007,48.397,48.397,46.665,46.665,22540,
38,30-01-2007,48.397,48.397,47.973,47.973,25280,
39,31-01-2007,48.397,48.397,48.397,48.397,71890,
40,01-02-2007,48.397,48.397,48.397,48.397,33630,
41,02-02-2007,48.397,48.397,48.397,48.397,37740,
42,05-02-2007,50.556,50.556,50.556,50.556,122690,
43,06-02-2007,51.857,52.72,51.857,51.857,167150,
44,07-02-2007,54.447,54.447,54.447,54.447,119990,
45,08-02-2007,54.014,57.04,54.014,54.447,113510,
46,09-02-2007,51.419,51.419,51.419,51.419,23520,
47,12-02-2007,52.714,52.714,52.714,52.714,63120,
48,13-02-2007,54.014,54.014,52.72,52.72,62320,
49,14-02-2007,53.145,54.014,53.145,54.014,55280,
50,15-02-2007,53.145,54.877,53.145,53.145,61440,
51,26-02-2007,55.741,55.741,55.741,55.741,62050,
52,27-02-2007,58.328,58.328,58.328,58.328,44420,
53,28-02-2007,55.741,60.925,55.741,58.328,81550,
54,01-03-2007,55.741,55.741,54.007,55.741,30030,
55,02-03-2007,54.877,55.741,54.877,55.741,20990,
56,05-03-2007,56.178,56.178,55.741,55.741,47120,
57,06-03-2007,55.741,56.17,55.741,56.17,47230,
58,07-03-2007,54.447,54.447,53.15,54.447,32860,
59,08-03-2007,56.178,56.178,55.741,55.741,46620,
60,09-03-2007,56.178,56.178,56.178,56.178,51510,
61,12-03-2007,57.033,58.767,56.604,56.604,85020,
62,13-03-2007,58.767,58.767,58.767,58.767,86680,
63,14-03-2007,57.033,58.767,57.033,58.767,68400,
64,15-03-2007,54.447,54.447,54.447,54.447,32810,
65,16-03-2007,57.033,57.033,56.17,56.17,31460,
66,19-03-2007,59.2,59.631,59.2,59.2,119910,
67,20-03-2007,57.033,59.2,57.033,59.2,67270,
68,21-03-2007,56.178,56.178,54.877,56.178,46750,
69,22-03-2007,58.328,58.761,58.328,58.328,185230,
70,23-03-2007,57.466,58.335,57.466,58.335,126060,
71,26-03-2007,54.877,55.308,54.877,55.308,15980,
72,27-03-2007,52.514,53.822,52.514,53.822,62920,DIVIDEND
73,28-03-2007,49.891,49.891,49.891,49.891,38250,
74,29-03-2007,52.076,52.076,52.076,52.076,70210,
75,30-03-2007,53.39,54.269,53.39,53.39,124730,
76,02-04-2007,56.012,56.012,56.012,56.012,120010,
77,03-04-2007,56.012,56.892,56.012,56.012,101520,
78,04-04-2007,56.452,56.452,56.012,56.012,61620,
79,05-04-2007,55.137,56.452,55.137,55.137,7210,
80,06-04-2007,56.012,56.012,55.137,55.137,101290,
81,09-04-2007,55.575,56.012,55.575,55.575,7410,
82,10-04-2007,54.26,55.137,54.26,54.26,10430,
83,11-04-2007,54.26,54.698,53.822,54.26,11570,
84,12-04-2007,52.514,52.514,51.637,52.514,12500,
85,13-04-2007,53.822,53.822,53.39,53.39,85240,
86,16-04-2007,51.201,52.514,51.201,51.201,15110,
87,17-04-2007,51.637,51.637,51.201,51.201,42740,
88,18-04-2007,53.822,53.822,53.822,53.822,9770,
89,19-04-2007,53.39,54.698,53.39,53.39,7050,
90,20-04-2007,53.39,54.698,51.637,53.39,41490,
91,23-04-2007,52.076,52.514,52.076,52.076,13760,
92,24-04-2007,52.514,52.514,49.885,52.076,14720,
93,25-04-2007,55.137,55.137,52.514,52.514,48020,
94,02-05-2007,56.892,56.892,55.137,55.137,47120,
95,03-05-2007,55.137,56.892,55.137,55.137,9470,
96,04-05-2007,56.452,56.452,56.452,56.452,32000,
97,07-05-2007,59.074,59.074,53.83,56.452,154750,
98,08-05-2007,58.205,59.083,58.205,58.205,41980,
99,09-05-2007,56.452,57.769,56.452,56.452,30540,
100,10-05-2007,55.137,56.452,55.137,55.137,8160,
101,11-05-2007,56.452,56.452,55.575,55.575,25490,
102,14-05-2007,56.452,56.452,56.452,56.452,20570,
103,15-05-2007,56.452,56.452,56.452,56.452,17500,
104,16-05-2007,56.012,56.452,55.575,56.012,15280,
105,17-05-2007,57.759,57.759,56.892,56.892,101050,
106,18-05-2007,57.759,57.759,57.759,57.759,31590,
107,21-05-2007,57.759,57.759,56.892,57.759,22780,
108,22-05-2007,58.205,59.083,57.769,57.769,47080,
109,23-05-2007,57.759,58.199,57.759,57.759,45220,
110,24-05-2007,56.452,56.892,56.452,56.452,18630,
111,25-05-2007,58.205,58.205,56.892,56.892,36880,
112,28-05-2007,56.892,56.892,56.892,56.892,27080,
113,29-05-2007,56.892,56.892,56.892,56.892,53630,
114,30-05-2007,55.575,55.575,55.137,55.575,26740,
115,31-05-2007,55.575,55.575,55.575,55.575,21960,
116,01-06-2007,55.137,55.137,55.137,55.137,32920,
117,04-06-2007,54.705,55.143,54.705,55.143,6230,
118,05-06-2007,55.137,55.137,55.137,55.137,21010,
119,06-06-2007,55.137,55.137,53.83,55.137,31130,
120,07-06-2007,54.705,55.143,54.269,55.143,16160,
121,08-06-2007,54.705,54.705,53.83,54.705,57350,
122,11-06-2007,54.26,54.698,53.822,54.698,9150,
123,12-06-2007,54.26,54.26,52.514,54.26,54920,
124,13-06-2007,54.705,54.705,54.269,54.269,37680,
125,14-06-2007,54.705,54.705,54.269,54.705,36330,
126,15-06-2007,54.705,54.705,53.39,54.705,42980,
127,18-06-2007,54.26,54.698,54.26,54.698,69190,
128,19-06-2007,53.822,54.26,53.822,54.26,8100,
129,20-06-2007,53.822,53.822,53.822,53.822,10000,
130,21-06-2007,52.955,54.269,52.955,53.83,4200,
