,transDate,close,high,low,open,volume,event
0,01-09-2016,9.546,9.546,6.363,6.363,153000.0,
1,05-09-2016,10.152,10.152,10.152,10.152,341000.0,
2,06-09-2016,10.833,10.833,10.757,10.833,865900.0,
3,07-09-2016,11.591,11.591,11.591,11.591,736700.0,
4,08-09-2016,12.348,12.348,12.348,12.348,1534310.0,
5,09-09-2016,13.182,13.182,13.182,13.182,1292310.0,
6,12-09-2016,14.091,14.091,14.091,14.091,1015850.0,
7,13-09-2016,15.076,15.076,15.0,15.076,1189770.0,
8,14-09-2016,16.098,16.098,16.061,16.098,825640.0,
9,15-09-2016,17.197,17.197,16.591,17.197,1626210.0,
10,16-09-2016,18.371,18.371,18.333,18.371,672750.0,
11,19-09-2016,19.621,19.621,19.583,19.621,805780.0,
12,20-09-2016,19.621,20.454,18.257,19.621,1371480.0,
13,21-09-2016,19.621,19.697,18.257,19.621,742590.0,
14,22-09-2016,18.637,19.621,18.447,18.637,867480.0,
15,23-09-2016,18.939,19.924,17.5,17.5,595290.0,
16,26-09-2016,19.772,19.924,18.939,19.697,787390.0,
17,27-09-2016,21.137,21.137,19.772,19.772,576120.0,
18,28-09-2016,22.613,22.613,22.576,22.613,671210.0,
19,29-09-2016,24.167,24.167,22.917,22.917,1147630.0,
20,30-09-2016,25.833,25.833,25.757,25.833,471070.0,
21,03-10-2016,27.613,27.613,27.576,27.613,705760.0,
22,04-10-2016,29.546,29.546,29.507,29.546,779620.0,
23,05-10-2016,31.591,31.591,29.924,31.553,1194000.0,
24,06-10-2016,33.787,33.787,29.507,31.591,1059300.0,
25,07-10-2016,33.674,34.848,31.553,33.409,1260330.0,
26,10-10-2016,34.242,34.242,31.667,31.894,1346990.0,
27,11-10-2016,36.629,36.629,36.591,36.591,1084980.0,
28,12-10-2016,39.166,39.166,38.181,39.091,731430.0,
29,13-10-2016,37.954,39.242,36.439,39.166,1550830.0,
30,14-10-2016,40.606,40.606,37.954,37.954,936580.0,
31,17-10-2016,43.409,43.409,40.53,40.606,666140.0,
32,18-10-2016,42.045,43.181,40.757,43.181,871330.0,
33,19-10-2016,44.924,44.924,41.666,43.181,1331150.0,
34,20-10-2016,48.03,48.03,44.924,44.924,870930.0,
35,21-10-2016,51.363,51.363,45.0,47.727,1120160.0,
36,24-10-2016,51.136,54.545,48.787,49.166,1696690.0,
37,25-10-2016,54.696,54.696,51.515,51.515,952020.0,
38,26-10-2016,56.061,56.136,52.5,54.545,1536650.0,
39,27-10-2016,59.924,59.924,52.196,55.303,3125110.0,
40,28-10-2016,64.091,64.091,60.681,60.681,1212810.0,
41,31-10-2016,65.378,67.954,61.363,65.151,1890620.0,
42,01-11-2016,64.394,65.909,60.833,63.636,2116350.0,
43,02-11-2016,68.863,68.863,65.151,65.454,1764690.0,
44,03-11-2016,71.363,71.363,64.848,68.939,1585900.0,
45,04-11-2016,68.181,71.211,66.439,68.939,2209790.0,
46,07-11-2016,72.878,72.954,69.696,69.696,1646560.0,
47,08-11-2016,75.833,77.272,71.287,74.166,1627200.0,
48,09-11-2016,71.97,75.985,70.53,75.909,2175670.0,
49,10-11-2016,76.97,76.97,72.727,73.863,1695570.0,
50,11-11-2016,82.348,82.348,73.485,77.651,2325570.0,
