,transDate,close,high,low,open,volume,event
0,20-07-2005,2.184,2.184,2.184,2.184,40,
1,21-07-2005,2.075,2.075,2.075,2.075,30,
2,22-07-2005,1.974,2.077,1.974,1.974,100,
3,25-07-2005,1.879,1.974,1.879,1.879,10,
4,26-07-2005,1.791,1.791,1.791,1.791,120,
5,27-07-2005,1.704,1.704,1.704,1.704,20,
6,28-07-2005,1.624,1.624,1.624,1.624,430,
7,29-07-2005,1.544,1.544,1.544,1.544,60,
8,01-08-2005,1.516,1.544,1.516,1.544,2300,
9,02-08-2005,1.53,1.53,1.516,1.516,1240,
10,03-08-2005,1.595,1.602,1.595,1.595,3250,
11,04-08-2005,1.646,1.646,1.638,1.638,1850,
12,05-08-2005,1.617,1.66,1.617,1.646,2690,
13,08-08-2005,1.559,1.602,1.559,1.602,1140,
14,09-08-2005,1.566,1.566,1.566,1.566,240,
15,10-08-2005,1.53,1.566,1.53,1.566,2090,
16,11-08-2005,1.53,1.53,1.53,1.53,2090,
17,12-08-2005,1.537,1.537,1.537,1.537,500,
18,15-08-2005,1.537,1.537,1.537,1.537,600,
19,16-08-2005,1.516,1.537,1.516,1.516,1000,
20,17-08-2005,1.516,1.516,1.516,1.516,2130,
21,18-08-2005,1.501,1.516,1.501,1.516,5850,
22,19-08-2005,1.509,1.516,1.509,1.509,1840,
23,22-08-2005,1.509,1.509,1.509,1.509,2700,
24,23-08-2005,1.544,1.544,1.509,1.509,30,
25,24-08-2005,1.53,1.53,1.53,1.53,2000,
26,25-08-2005,1.53,1.53,1.53,1.53,500,
27,26-08-2005,1.53,1.53,1.53,1.53,500,
28,29-08-2005,1.509,1.53,1.509,1.53,600,
29,30-08-2005,1.516,1.53,1.516,1.516,2150,
30,31-08-2005,1.509,1.509,1.509,1.509,3000,
31,01-09-2005,1.509,1.509,1.509,1.509,50,
32,05-09-2005,2.883,2.883,2.883,2.883,0,
33,06-09-2005,2.883,2.883,2.883,2.883,0,
34,07-09-2005,1.53,1.53,1.509,1.509,980,
35,08-09-2005,1.53,1.53,1.53,1.53,1230,
36,09-09-2005,1.53,1.537,1.53,1.53,400,
37,12-09-2005,1.516,1.516,1.516,1.516,400,
38,13-09-2005,1.53,1.53,1.509,1.516,30,
39,14-09-2005,1.537,1.537,1.53,1.53,10,
40,15-09-2005,1.53,1.53,1.53,1.53,180,
41,16-09-2005,1.516,1.53,1.516,1.516,1960,
42,19-09-2005,1.53,1.53,1.516,1.516,430,
43,20-09-2005,1.552,1.552,1.53,1.53,1620,
44,21-09-2005,1.53,1.624,1.53,1.552,2690,
45,22-09-2005,1.53,1.53,1.53,1.53,50,
46,23-09-2005,1.53,1.53,1.53,1.53,580,
47,26-09-2005,1.516,1.516,1.494,1.516,560,
48,27-09-2005,1.53,1.53,1.53,1.53,9140,
49,28-09-2005,1.53,1.53,1.53,1.53,2770,
50,29-09-2005,1.544,1.544,1.53,1.53,600,
51,30-09-2005,1.617,1.617,1.55,1.55,5420,
52,03-10-2005,1.624,1.624,1.624,1.624,4260,
53,04-10-2005,1.638,1.646,1.638,1.638,6050,
54,05-10-2005,1.652,1.652,1.638,1.638,420,
55,06-10-2005,1.646,1.646,1.646,1.646,540,
56,07-10-2005,1.646,1.646,1.646,1.646,1010,
57,10-10-2005,1.646,1.646,1.646,1.646,1000,
58,11-10-2005,1.66,1.66,1.646,1.646,1030,
59,12-10-2005,1.667,1.667,1.66,1.66,1010,DIVIDEND
60,13-10-2005,1.71,1.71,1.667,1.667,120,
61,14-10-2005,1.718,1.718,1.71,1.71,760,
62,17-10-2005,1.785,1.785,1.785,1.785,750,
63,18-10-2005,1.819,1.819,1.777,1.784,5200,
64,19-10-2005,1.819,1.819,1.819,1.819,3470,
65,20-10-2005,1.909,1.909,1.893,1.893,150,
66,21-10-2005,1.93,1.93,1.893,1.909,2230,
67,24-10-2005,2.024,2.024,1.988,1.988,240,
68,25-10-2005,2.09,2.09,2.024,2.024,2150,
69,26-10-2005,2.09,2.09,1.988,2.09,3900,
70,27-10-2005,2.075,2.09,2.075,2.075,1030,
71,28-10-2005,2.075,2.075,2.075,2.075,1630,
72,31-10-2005,3.967,3.967,3.967,3.967,0,
73,01-11-2005,2.046,2.075,2.046,2.046,300,
74,02-11-2005,2.149,2.149,2.149,2.149,1600,
75,03-11-2005,2.104,2.149,2.104,2.104,300,
76,04-11-2005,2.09,2.111,2.09,2.104,800,
77,07-11-2005,2.09,2.09,2.09,2.09,720,
78,08-11-2005,2.075,2.09,2.075,2.09,450,
79,09-11-2005,2.149,2.149,2.075,2.075,2650,
80,10-11-2005,2.104,2.149,2.104,2.104,560,
81,11-11-2005,2.104,2.104,2.104,2.104,310,
82,14-11-2005,2.104,2.104,2.104,2.104,170,
83,15-11-2005,2.198,2.198,2.198,2.198,10,
84,16-11-2005,2.09,2.2,2.09,2.09,1800,
85,17-11-2005,2.09,2.09,2.075,2.09,150,
86,18-11-2005,2.09,2.09,2.09,2.09,320,
87,21-11-2005,2.075,2.09,2.075,2.075,30,
88,22-11-2005,2.075,2.075,2.075,2.075,250,
89,23-11-2005,2.128,2.128,2.075,2.075,70,
90,24-11-2005,2.075,2.075,2.075,2.075,630,
