,transDate,close,high,low,open,volume,event
0,22-11-2007,9.442,10.498,9.161,9.584,29400,
1,23-11-2007,9.005,9.302,9.005,9.302,800,
2,26-11-2007,8.246,8.246,8.246,8.246,1500,
3,27-11-2007,7.61,8.103,7.427,7.427,69000,
4,28-11-2007,7.329,7.469,7.075,7.343,28100,
5,29-11-2007,7.244,7.61,7.117,7.329,45700,
6,30-11-2007,6.907,7.329,6.907,7.329,46900,
7,03-12-2007,7.781,7.781,7.046,7.188,229300,
8,04-12-2007,8.372,8.372,7.753,8.372,227000,
9,05-12-2007,9.02,9.188,7.962,9.188,192600,
10,06-12-2007,9.091,9.161,8.739,8.739,82600,
11,07-12-2007,8.739,9.161,8.387,9.005,158500,
12,10-12-2007,8.246,8.88,8.105,8.88,81600,
13,11-12-2007,7.905,8.187,7.751,8.187,50200,
14,12-12-2007,7.891,8.457,7.891,8.031,69200,
15,13-12-2007,8.06,8.331,7.962,8.331,19400,
16,14-12-2007,8.031,8.159,7.806,7.806,22600,
17,17-12-2007,7.497,8.031,7.469,7.574,31900,
18,18-12-2007,7.753,7.88,7.329,7.329,42800,
19,19-12-2007,8.159,8.302,7.891,7.891,42900,
20,20-12-2007,7.806,8.103,7.483,7.574,26200,
21,21-12-2007,7.863,8.103,7.751,7.751,30200,
22,24-12-2007,7.821,7.965,7.779,7.779,26900,
23,25-12-2007,7.764,7.806,7.638,7.638,15300,
24,26-12-2007,7.753,7.894,7.61,7.61,22000,
25,27-12-2007,7.821,7.95,7.821,7.821,10800,
26,28-12-2007,7.753,7.866,7.68,7.68,22200,
27,02-01-2008,7.469,7.793,7.469,7.469,18900,
28,03-01-2008,7.399,8.302,7.329,7.827,13900,
29,04-01-2008,7.188,7.343,7.132,7.132,13500,
30,07-01-2008,6.907,6.976,6.834,6.834,25800,
31,08-01-2008,6.484,7.046,6.343,6.343,57800,
32,09-01-2008,6.343,6.624,6.273,6.273,58600,
33,10-01-2008,5.96,6.427,5.791,6.058,50900,
34,11-01-2008,5.92,6.329,5.879,5.879,39600,
