,transDate,close,high,low,open,volume,event
0,26-11-2008,9.716,9.716,9.716,9.716,630,
1,27-11-2008,9.255,9.716,9.255,9.716,20,
2,28-11-2008,8.796,8.796,8.796,8.796,150,
3,01-12-2008,8.416,8.416,8.416,8.416,10,
4,02-12-2008,8.032,8.032,8.032,8.032,100,
5,03-12-2008,7.633,7.633,7.633,7.633,10020,
6,04-12-2008,7.178,7.178,7.178,7.178,1920,DIVIDEND
7,05-12-2008,6.821,6.821,6.821,6.821,1010,
8,08-12-2008,6.486,6.486,6.486,6.486,2100,
9,09-12-2008,6.169,6.429,6.169,6.169,35160,
10,10-12-2008,5.892,6.12,5.86,5.86,35350,
11,11-12-2008,6.182,6.182,5.97,6.043,25530,
12,12-12-2008,6.486,6.486,6.486,6.486,22500,
13,15-12-2008,6.808,6.808,6.747,6.808,19780,
14,16-12-2008,6.58,6.808,6.533,6.808,23800,
15,17-12-2008,6.58,6.58,6.271,6.58,21080,
16,18-12-2008,6.58,6.657,6.429,6.58,4400,
17,19-12-2008,6.504,6.566,6.504,6.566,5650,
18,22-12-2008,6.271,6.58,6.271,6.58,10110,
19,23-12-2008,6.195,6.195,6.058,6.058,4290,
20,24-12-2008,6.043,6.043,5.892,5.892,2650,
21,25-12-2008,6.12,6.12,6.043,6.043,2360,
22,26-12-2008,6.258,6.258,6.12,6.258,9600,
23,29-12-2008,6.429,6.429,6.12,6.12,310,
24,30-12-2008,6.58,6.58,6.429,6.429,6010,
25,31-12-2008,6.429,6.657,6.429,6.657,4010,
26,02-01-2009,6.271,6.271,6.271,6.271,2120,
27,05-01-2009,9.408,9.408,9.408,9.408,0,
28,06-01-2009,6.395,6.395,6.271,6.271,420,
29,07-01-2009,6.271,6.58,6.271,6.504,5420,
30,08-01-2009,6.408,6.408,6.12,6.134,10240,
31,09-01-2009,6.429,6.429,6.347,6.347,1510,
32,12-01-2009,6.429,6.642,6.429,6.642,3700,
33,13-01-2009,6.395,6.395,6.395,6.395,1120,
34,14-01-2009,6.291,6.291,6.291,6.291,490,
35,15-01-2009,6.291,6.291,6.271,6.271,4000,
36,16-01-2009,6.271,6.291,6.271,6.291,2260,
37,19-01-2009,6.011,6.011,5.983,5.983,2700,
38,20-01-2009,5.954,6.195,5.892,5.892,210,
39,21-01-2009,5.954,6.134,5.954,5.97,5610,
40,22-01-2009,5.97,6.043,5.97,5.983,9570,
41,23-01-2009,6.153,6.153,6.12,6.12,2380,
42,02-02-2009,6.12,6.12,5.97,6.12,1330,
43,03-02-2009,5.892,6.12,5.892,6.12,1260,
44,04-02-2009,5.892,5.97,5.784,5.799,3850,
45,05-02-2009,5.86,5.892,5.86,5.892,12380,
46,06-02-2009,5.97,5.97,5.97,5.97,1410,
47,09-02-2009,6.195,6.195,6.195,6.195,650,
48,10-02-2009,5.934,5.97,5.934,5.97,1400,
49,11-02-2009,5.97,5.97,5.934,5.934,6450,
50,12-02-2009,5.907,6.043,5.907,6.043,1090,
51,13-02-2009,5.97,6.031,5.97,6.031,620,
52,16-02-2009,5.97,5.983,5.97,5.97,1110,
53,17-02-2009,6.011,6.011,5.907,5.97,3210,
54,18-02-2009,5.816,5.97,5.816,5.97,5140,
55,19-02-2009,5.598,5.892,5.598,5.816,1530,
56,20-02-2009,5.872,5.872,5.872,5.872,10,
57,23-02-2009,5.632,5.632,5.598,5.632,3930,
58,24-02-2009,5.585,5.708,5.37,5.708,7830,
59,25-02-2009,5.816,5.86,5.816,5.816,4580,
60,26-02-2009,5.617,5.816,5.598,5.598,4410,
61,27-02-2009,5.508,5.508,5.508,5.508,500,
62,02-03-2009,5.508,5.721,5.508,5.721,10500,
63,03-03-2009,5.508,5.508,5.356,5.356,1400,
64,04-03-2009,5.508,5.508,5.508,5.508,140,
