,transDate,close,high,low,open,volume,event
0,30-06-2009,25.732,25.732,25.732,25.732,294070,
1,01-07-2009,25.941,27.015,25.516,27.015,6248390,
2,02-07-2009,24.874,25.732,24.659,25.516,1515670,
3,03-07-2009,24.016,24.442,24.016,24.232,899720,
4,06-07-2009,25.084,25.084,24.016,24.016,1571740,
5,07-07-2009,24.232,24.874,24.232,24.659,1115420,
6,08-07-2009,23.8,24.016,23.375,23.584,763030,
7,09-07-2009,23.158,24.016,22.942,23.375,982430,
8,10-07-2009,22.084,22.942,22.084,22.726,1973450,
9,13-07-2009,21.011,22.084,21.011,21.443,812260,
10,14-07-2009,20.499,21.102,20.369,21.102,847840,
11,15-07-2009,21.011,21.357,20.584,20.584,807250,
12,16-07-2009,21.357,21.443,21.186,21.443,638990,
13,17-07-2009,21.056,21.311,20.923,21.227,311000,
14,20-07-2009,20.067,20.284,20.027,20.199,869220,
15,21-07-2009,20.112,20.454,20.067,20.243,483900,
16,22-07-2009,20.369,20.414,20.243,20.369,411780,
17,23-07-2009,21.357,21.357,20.152,20.152,929090,
18,24-07-2009,22.3,22.3,22.3,22.3,624760,
19,27-07-2009,23.375,23.375,22.516,23.375,1535460,
20,28-07-2009,22.726,24.016,22.516,23.375,1192800,
21,29-07-2009,22.516,23.158,22.084,22.942,924570,
22,30-07-2009,22.084,22.516,21.658,22.3,606660,
23,31-07-2009,23.158,23.158,22.726,22.942,1125450,
24,03-08-2009,24.232,24.232,23.584,24.232,2707260,
25,04-08-2009,25.084,25.299,24.442,25.299,1869220,
26,05-08-2009,24.874,25.299,24.442,24.874,1654270,
27,06-08-2009,24.442,25.299,24.232,24.874,1656340,
28,07-08-2009,24.232,24.659,24.232,24.232,1017420,
29,10-08-2009,24.659,24.874,24.232,24.442,689300,
30,11-08-2009,24.442,24.874,24.232,24.442,1207840,
31,12-08-2009,24.232,24.659,24.232,24.659,996150,
32,13-08-2009,24.442,24.659,24.232,24.659,896790,
33,14-08-2009,24.442,24.659,24.232,24.232,709790,
34,17-08-2009,24.016,24.442,24.016,24.232,622790,
35,18-08-2009,23.8,24.016,23.584,23.584,927850,
36,19-08-2009,23.8,24.232,23.584,24.232,719390,
37,20-08-2009,23.8,24.016,23.584,24.016,578130,
38,21-08-2009,24.016,24.874,24.016,24.016,1444220,
39,24-08-2009,24.232,24.442,24.016,24.442,634370,
40,25-08-2009,23.8,24.232,23.8,24.232,577480,
41,26-08-2009,24.016,24.232,23.8,24.016,516120,
