,transDate,close,high,low,open,volume,event
0,17-12-2007,6.069,8.62,6.034,6.951,48400,
1,18-12-2007,6.165,6.165,6.165,6.165,2000,
2,19-12-2007,6.106,6.322,5.553,5.553,40900,
3,20-12-2007,6.106,6.179,6.034,6.1,4000,
4,21-12-2007,5.819,6.143,5.803,6.063,6300,
5,24-12-2007,5.64,6.034,5.539,5.958,7800,
6,25-12-2007,5.712,5.748,5.674,5.674,21600,
7,26-12-2007,5.674,5.748,5.674,5.674,20300,
8,27-12-2007,5.546,5.748,5.546,5.674,12900,
9,28-12-2007,5.603,5.674,5.57,5.57,9800,
10,02-01-2008,5.712,5.712,5.674,5.674,1300,
11,03-01-2008,5.425,5.46,5.388,5.391,9800,
12,04-01-2008,4.878,5.258,4.878,5.121,16400,
13,07-01-2008,4.598,4.613,4.562,4.562,24400,
14,08-01-2008,4.992,5.057,4.598,4.61,19600,
15,09-01-2008,4.605,5.136,4.605,5.057,17300,
16,10-01-2008,4.741,5.022,4.633,4.959,13100,
17,11-01-2008,4.814,4.886,4.749,4.753,22900,
18,14-01-2008,4.67,4.851,4.506,4.775,26700,
19,15-01-2008,4.309,4.525,4.238,4.468,8800,
20,16-01-2008,4.791,4.791,4.598,4.598,33300,
21,17-01-2008,4.848,5.029,4.67,4.964,19200,
22,18-01-2008,4.741,4.886,4.67,4.67,3800,
23,21-01-2008,4.706,4.741,4.499,4.646,12400,
24,22-01-2008,4.525,4.525,4.382,4.454,15500,
25,23-01-2008,4.382,4.454,4.309,4.454,14700,
26,24-01-2008,4.347,4.562,4.317,4.525,11600,
27,25-01-2008,4.555,4.562,4.454,4.454,16900,
28,28-01-2008,4.525,4.67,4.421,4.663,15000,
29,29-01-2008,4.734,4.734,4.561,4.598,40000,
30,30-01-2008,5.136,5.136,5.016,5.136,72000,
31,31-01-2008,5.101,5.603,4.959,5.603,10000,
32,01-02-2008,5.352,5.395,5.079,5.099,41500,
33,12-02-2008,5.029,5.316,5.029,5.316,26100,
34,13-02-2008,4.741,5.101,4.741,5.101,35500,
35,14-02-2008,4.706,4.886,4.67,4.886,25500,
36,15-02-2008,4.576,4.741,4.525,4.741,29900,
37,18-02-2008,4.382,4.454,4.167,4.454,19900,
38,19-02-2008,4.382,4.454,4.24,4.309,23200,
39,20-02-2008,3.93,4.311,3.93,4.276,16000,
40,21-02-2008,3.707,3.745,3.707,3.745,18400,
41,22-02-2008,3.673,3.736,3.354,3.413,23000,
42,25-02-2008,3.751,3.751,3.736,3.736,2200,
43,26-02-2008,3.665,4.021,3.593,3.951,17000,
44,27-02-2008,3.736,3.843,3.52,3.52,13300,
45,28-02-2008,3.736,3.736,3.593,3.722,8400,
46,29-02-2008,3.593,3.68,3.557,3.557,8000,
47,03-03-2008,3.247,3.45,3.241,3.45,10900,
48,04-03-2008,2.946,3.017,2.946,3.017,11400,
49,05-03-2008,2.838,2.946,2.659,2.731,17400,
50,06-03-2008,2.989,2.989,2.989,2.989,1100,
51,07-03-2008,3.282,3.282,3.282,3.282,2700,
52,10-03-2008,3.356,3.369,3.342,3.369,39800,
53,11-03-2008,3.224,3.593,3.133,3.232,29500,
54,12-03-2008,3.506,3.542,3.089,3.089,10100,
55,13-03-2008,3.506,3.593,3.376,3.585,18800,
56,14-03-2008,3.483,3.52,3.483,3.483,7600,
57,17-03-2008,3.146,3.303,3.146,3.303,17800,
58,18-03-2008,2.872,3.017,2.868,2.868,21500,
59,19-03-2008,2.872,3.054,2.872,2.945,18200,
60,20-03-2008,2.715,2.808,2.715,2.731,17700,
61,21-03-2008,2.587,2.731,2.587,2.693,15800,
62,24-03-2008,2.443,2.443,2.399,2.443,11600,
63,25-03-2008,2.205,2.299,2.169,2.227,39300,
64,26-03-2008,2.443,2.443,2.249,2.299,12100,
65,27-03-2008,2.393,2.393,2.393,2.393,100,
66,28-03-2008,2.436,2.436,2.436,2.436,3500,
67,31-03-2008,2.477,2.477,2.477,2.477,100,
68,01-04-2008,2.523,2.523,2.523,2.523,100,
69,02-04-2008,2.572,2.572,2.572,2.572,400,
70,03-04-2008,2.62,2.62,2.62,2.62,200,
71,04-04-2008,2.674,2.674,2.674,2.674,1000,
72,07-04-2008,2.751,2.751,2.751,2.751,100,
73,08-04-2008,2.83,2.83,2.816,2.83,22100,
74,09-04-2008,2.912,2.912,2.838,2.912,31400,DIVIDEND
75,10-04-2008,2.816,2.838,2.816,2.838,10800,
76,11-04-2008,2.743,2.743,2.743,2.743,13500,
77,16-04-2008,2.662,2.662,2.662,2.662,12300,
78,17-04-2008,2.737,2.737,2.591,2.591,10300,
79,18-04-2008,2.591,2.737,2.591,2.691,12500,
80,21-04-2008,2.619,2.619,2.619,2.619,2000,
81,22-04-2008,2.562,2.662,2.562,2.662,4500,
82,23-04-2008,2.519,2.532,2.519,2.519,9300,
83,24-04-2008,2.489,2.489,2.444,2.444,8300,
84,25-04-2008,2.511,2.511,2.473,2.473,2700,
85,28-04-2008,2.562,2.562,2.562,2.562,2100,
86,29-04-2008,2.497,2.634,2.497,2.634,51300,
87,05-05-2008,2.519,2.532,2.519,2.527,11100,
88,06-05-2008,2.591,2.591,2.444,2.444,13200,
89,07-05-2008,2.444,2.444,2.444,2.444,9900,
90,08-05-2008,2.373,2.373,2.373,2.373,14700,
91,09-05-2008,2.307,2.307,2.307,2.307,5200,
92,12-05-2008,2.755,2.755,2.755,2.755,0,
93,13-05-2008,2.242,2.242,2.242,2.242,100,
94,14-05-2008,2.176,2.176,2.176,2.176,200,
