,transDate,close,high,low,open,volume,event
0,15-10-2015,8.571,9.075,8.571,8.907,10100,
1,16-10-2015,8.571,8.655,8.318,8.571,34900,
2,19-10-2015,8.571,8.655,8.571,8.571,33400,
3,20-10-2015,8.655,8.655,8.571,8.571,38000,
4,21-10-2015,8.487,8.571,8.487,8.571,14200,
5,22-10-2015,8.403,8.487,8.403,8.487,16500,
6,23-10-2015,8.318,8.403,8.318,8.403,2100,
7,26-10-2015,8.235,8.235,8.235,8.235,7100,
8,27-10-2015,8.151,8.151,8.151,8.151,4800,
9,28-10-2015,8.235,8.235,7.562,7.983,31500,
10,29-10-2015,7.815,7.815,7.647,7.647,8100,
11,30-10-2015,7.478,7.73,7.478,7.73,5700,
12,02-11-2015,7.143,7.562,7.143,7.562,38700,
13,03-11-2015,7.395,7.395,7.395,7.395,600,
14,04-11-2015,7.395,7.395,6.722,7.143,12000,
15,05-11-2015,7.478,7.478,7.226,7.226,4200,
16,06-11-2015,7.478,7.562,7.395,7.562,30300,
17,09-11-2015,7.143,7.395,7.143,7.395,10600,
18,10-11-2015,7.226,7.311,7.226,7.311,3300,
19,11-11-2015,7.226,7.226,7.226,7.226,2900,
20,12-11-2015,7.311,7.311,7.226,7.226,2700,
21,13-11-2015,7.562,7.562,7.395,7.562,500,
22,16-11-2015,7.478,7.478,7.478,7.478,0,
23,17-11-2015,7.395,7.562,7.395,7.562,10300,
24,18-11-2015,7.395,7.395,6.302,7.395,5200,
25,19-11-2015,7.395,7.395,7.395,7.395,2000,
26,20-11-2015,7.395,7.395,7.395,7.395,18900,
27,23-11-2015,7.226,7.311,7.226,7.226,11000,
28,24-11-2015,7.143,7.226,7.143,7.226,2100,
29,25-11-2015,6.89,6.974,6.89,6.89,2300,
30,26-11-2015,6.47,7.143,6.47,7.143,6600,
31,27-11-2015,6.555,7.143,6.555,7.143,11000,
32,30-11-2015,7.226,7.226,7.226,7.226,100,
33,01-12-2015,6.89,6.89,6.89,6.89,100,
34,02-12-2015,6.555,6.806,6.386,6.386,10300,
35,03-12-2015,6.555,7.059,6.555,7.059,15900,
36,04-12-2015,6.555,6.974,6.555,6.555,137900,
37,07-12-2015,6.555,7.478,6.555,6.89,30400,
38,08-12-2015,6.722,6.722,6.722,6.722,100,
39,09-12-2015,6.555,6.89,6.47,6.47,11300,
40,10-12-2015,6.555,6.638,6.555,6.638,18200,
41,11-12-2015,6.555,6.555,6.47,6.555,5700,
42,14-12-2015,6.638,6.638,6.638,6.638,2000,
