,transDate,close,high,low,open,volume,event
0,24-12-2007,8.194,9.382,7.931,9.382,143660,
1,25-12-2007,8.194,8.327,8.194,8.194,75990,
2,26-12-2007,8.194,8.194,7.931,8.062,18760,
3,27-12-2007,8.194,8.194,8.127,8.194,14660,
4,28-12-2007,8.392,8.392,8.127,8.194,64510,
5,02-01-2008,8.194,8.327,8.194,8.327,21700,
6,03-01-2008,7.931,8.194,7.931,8.194,16300,
7,04-01-2008,7.798,7.798,7.798,7.798,5800,
8,07-01-2008,7.466,7.533,7.466,7.533,14350,
9,08-01-2008,7.137,7.401,7.137,7.333,29290,
10,09-01-2008,7.004,7.269,6.872,7.269,21010,
11,10-01-2008,6.74,6.872,6.74,6.872,2500,
12,11-01-2008,7.069,7.069,7.004,7.069,8220,
13,14-01-2008,7.269,7.401,7.269,7.401,3110,
14,15-01-2008,7.069,7.533,7.004,7.533,5000,
15,16-01-2008,7.333,7.333,7.269,7.269,47500,
16,17-01-2008,7.004,7.333,7.004,7.333,44120,
17,18-01-2008,7.004,7.202,7.004,7.202,18610,
18,21-01-2008,7.137,7.269,7.004,7.269,4410,
19,22-01-2008,6.804,7.004,6.804,6.804,13010,
20,23-01-2008,6.475,6.54,6.475,6.54,9120,
21,24-01-2008,6.16,6.74,6.16,6.74,57950,
22,25-01-2008,6.343,6.343,6.343,6.343,38120,
23,28-01-2008,6.027,6.211,6.027,6.092,50500,
24,29-01-2008,6.316,6.316,6.027,6.027,3180,
25,30-01-2008,6.608,6.608,6.146,6.475,142300,
26,31-01-2008,6.279,6.608,6.279,6.608,94640,
27,01-02-2008,6.475,6.54,6.41,6.528,95740,
28,12-02-2008,6.594,6.74,6.211,6.224,88040,
29,13-02-2008,6.475,6.594,6.475,6.594,3900,
30,14-02-2008,6.408,6.608,6.408,6.608,12880,
31,15-02-2008,6.475,6.475,6.397,6.475,30890,
32,18-02-2008,6.211,6.408,6.211,6.408,33910,
33,19-02-2008,6.211,6.343,6.106,6.106,2150,
34,20-02-2008,5.949,6.279,5.949,5.949,21170,
35,21-02-2008,5.655,5.655,5.655,5.655,78100,
36,22-02-2008,5.42,5.42,5.38,5.42,81470,
37,25-02-2008,5.685,5.685,5.685,5.685,4940,
38,26-02-2008,5.42,5.816,5.406,5.816,24560,
39,27-02-2008,5.42,5.685,5.42,5.42,3090,
40,28-02-2008,5.42,5.42,5.42,5.42,600,DIVIDEND
41,29-02-2008,5.525,5.552,5.283,5.35,12280,
42,03-03-2008,5.255,5.487,5.255,5.487,29610,
43,04-03-2008,4.999,4.999,4.999,4.999,62410,
44,05-03-2008,4.756,4.756,4.756,4.756,8780,
45,06-03-2008,4.985,4.985,4.756,4.756,20920,
46,07-03-2008,5.229,5.229,4.946,4.946,35730,
47,10-03-2008,5.42,5.487,5.42,5.487,80620,
48,11-03-2008,5.147,5.42,5.147,5.42,4150,
49,12-03-2008,4.891,5.283,4.891,5.147,34370,
50,13-03-2008,4.645,5.134,4.645,5.013,26870,
51,14-03-2008,4.742,4.742,4.742,4.742,17470,
52,17-03-2008,4.742,4.742,4.742,4.742,6630,
53,18-03-2008,4.511,4.607,4.511,4.511,25530,
54,19-03-2008,4.712,4.712,4.294,4.307,42960,
55,20-03-2008,4.483,4.497,4.483,4.483,920,
56,21-03-2008,4.267,4.335,4.267,4.335,23100,
57,24-03-2008,4.065,4.065,4.065,4.065,11440,
58,25-03-2008,3.86,3.873,3.86,3.86,92900,
59,26-03-2008,4.052,4.052,3.67,3.67,25190,
60,27-03-2008,4.079,4.079,4.079,4.079,210,
61,28-03-2008,4.12,4.12,4.12,4.12,500,
62,31-03-2008,4.16,4.16,4.16,4.16,30,
63,01-04-2008,4.2,4.2,4.2,4.2,20,
64,02-04-2008,4.241,4.241,4.241,4.241,100,
65,03-04-2008,4.28,4.28,4.28,4.28,900,
66,04-04-2008,4.322,4.322,4.322,4.322,970,
67,07-04-2008,4.402,4.402,4.402,4.402,2830,
68,08-04-2008,4.483,4.483,4.402,4.402,2630,
69,09-04-2008,4.564,4.564,4.564,4.564,1320,
70,10-04-2008,4.483,4.564,4.483,4.564,110200,
71,11-04-2008,4.402,4.402,4.402,4.402,31070,
72,16-04-2008,4.322,4.322,4.322,4.322,1030,
73,17-04-2008,4.241,4.241,4.241,4.241,58270,
74,18-04-2008,4.322,4.322,4.16,4.322,93730,
75,21-04-2008,4.241,4.322,4.241,4.322,1310,
76,22-04-2008,4.16,4.16,4.16,4.16,5200,
77,23-04-2008,4.079,4.079,4.079,4.079,12200,
78,24-04-2008,3.997,3.997,3.997,3.997,19200,
79,25-04-2008,3.997,3.997,3.93,3.93,97700,
80,28-04-2008,4.065,4.065,4.065,4.065,2200,
81,29-04-2008,4.146,4.146,4.146,4.146,75020,
82,05-05-2008,4.065,4.227,4.065,4.227,1300,
83,06-05-2008,4.146,4.146,4.146,4.146,21670,
84,07-05-2008,4.227,4.227,4.213,4.227,65930,DIVIDEND
85,08-05-2008,4.146,4.187,4.146,4.146,15800,
86,09-05-2008,4.062,4.062,4.062,4.062,68920,
87,12-05-2008,3.995,3.995,3.995,3.995,5000,
88,13-05-2008,3.924,3.995,3.924,3.924,85100,
89,14-05-2008,3.857,3.857,3.857,3.857,25400,
90,15-05-2008,3.787,3.787,3.787,3.787,73570,
91,16-05-2008,3.787,3.787,3.719,3.719,121700,
