,Year,Status,Value,Close
0,2008,START,0,6.537000000000001
1,2009,GIAM,-16.50604252715315,5.457999999999999
2,2010,TANG,117.14913887871019,11.852
3,2011,GIAM,-21.085048936888292,9.353
4,2012,GIAM,-39.96578637870202,5.615
5,2013,TANG,77.73820124666074,9.98
6,2014,GIAM,-1.8837675350701462,9.792
7,2015,TANG,54.55473856209151,15.134
8,2016,GIAM,-5.372010043610417,14.321
9,2017,TANG,76.85217512743523,25.326999999999998
10,2018,GIAM,-14.52205156552295,21.649
11,2019,GIAM,-7.543073583075442,20.016
12,2020,TANG,5.77038369304557,21.171
13,2021,status,9.460816571247154,close
