,Year,Status,Value,Close
0,2006,START,0,4.2010000000000005
1,2007,GIAM,-15.877172101880518,3.534
2,2008,TANG,50.59422750424449,5.322
3,2009,GIAM,-79.98872604284102,1.065
4,2010,TANG,171.92488262910803,2.8960000000000004
5,2011,GIAM,-48.86049723756907,1.4809999999999999
6,2012,TANG,42.87643484132345,2.116
7,2013,GIAM,-16.11531190926277,1.775
8,2014,TANG,12.676056338028175,2.0
9,2015,TANG,142.34999999999997,4.8469999999999995
10,2016,TANG,33.15452857437591,6.454
11,2017,TANG,92.37682057638672,12.415999999999999
12,2018,TANG,24.355670103092795,15.44
13,2019,GIAM,-6.735751295336782,14.4
14,2020,TANG,22.916666666666657,17.7
15,2021,status,10.063006606875224,close
