,Year,Status,Value,Close
0,2006,START,0,4.488
1,2007,GIAM,-4.679144385026737,4.2780000000000005
2,2008,TANG,91.5381019167835,8.193999999999999
3,2009,GIAM,-82.86551134976811,1.4040000000000001
4,2010,TANG,655.1282051282051,10.602
5,2011,GIAM,-36.681758158837965,6.712999999999999
6,2012,GIAM,-33.50215998808282,4.4639999999999995
7,2013,TANG,128.00179211469532,10.177999999999999
8,2014,TANG,86.64767144822167,18.997
9,2015,TANG,50.55535084487024,28.601
10,2016,GIAM,-10.247893430299632,25.67
11,2017,TANG,2.6100506427736585,26.34
12,2018,GIAM,-13.652239939255887,22.744
13,2019,GIAM,-9.703658107632785,20.537
14,2020,TANG,17.3491746603691,24.1
15,2021,status,11.85728646737867,close
