,Year,Status,Value,Close
0,2009,START,0,11.925999999999998
1,2010,GIAM,-5.089719939627684,11.319
2,2011,GIAM,-9.700503578054605,10.221
3,2012,GIAM,-25.144310732805014,7.651
4,2013,TANG,24.78107436936349,9.547
5,2014,TANG,17.042002723368604,11.174000000000001
6,2015,GIAM,-6.9894397708967455,10.392999999999999
7,2016,GIAM,-27.460790916963333,7.539
8,2017,TANG,67.31662024141134,12.614
9,2018,TANG,82.97130172823844,23.08
10,2019,TANG,36.35615251299828,31.471
11,2020,TANG,23.12923008484001,38.75
12,2021,status,10.318430664436518,close
