,Year,Status,Value,Close
0,2007,START,0,32.005
1,2008,GIAM,-5.542883924386828,30.230999999999998
2,2009,GIAM,-62.240746253845394,11.415
3,2010,TANG,11.800262812089368,12.762
4,2011,GIAM,-22.943112364833105,9.834
5,2012,GIAM,-32.69269880008135,6.619
6,2013,TANG,34.808883517147606,8.923
7,2014,TANG,58.84792110276814,14.174000000000001
8,2015,TANG,32.665443770283616,18.804000000000002
9,2016,GIAM,-32.65794511805999,12.663
10,2017,TANG,9.973939824686079,13.925999999999998
11,2018,TANG,41.87131983340517,19.757
12,2019,GIAM,-15.974085134382761,16.601
13,2020,TANG,6.017709776519501,17.6
14,2021,status,-4.181441909634042,close
