,Year,Status,Value,Close
0,2006,START,0,37.161
1,2007,TANG,29.081564005274352,47.968
2,2008,TANG,0.7546697798532245,48.33
3,2009,GIAM,-79.01510448996481,10.142000000000001
4,2010,TANG,55.511733385919925,15.772
5,2011,GIAM,-31.70809028658383,10.770999999999999
6,2012,TANG,15.356048649150514,12.425
7,2013,TANG,37.17505030181086,17.044
8,2014,TANG,139.07533442853793,40.748000000000005
9,2015,GIAM,-20.751938745459906,32.292
10,2016,TANG,30.193236714975846,42.042
11,2017,TANG,91.75586318443459,80.618
12,2018,TANG,43.7817857054256,115.914
13,2019,GIAM,-34.908639163517776,75.45
14,2020,GIAM,-9.165009940357862,68.535
15,2021,status,4.164964053076958,close
