,Year,Status,Value,Close
0,2009,START,0,25.732
1,2010,GIAM,-17.841598010259606,21.141
2,2011,GIAM,-30.192516910269145,14.758
3,2012,GIAM,-26.046889822469154,10.914000000000001
4,2013,TANG,39.536375297782655,15.229000000000001
5,2014,GIAM,-0.3874187405607791,15.17
6,2015,TANG,43.117996044825304,21.711
7,2016,TANG,38.372253696282996,30.041999999999998
8,2017,TANG,18.76373077691234,35.679
9,2018,TANG,50.85064043274753,53.821999999999996
10,2019,GIAM,-1.293151499386851,53.126000000000005
11,2020,TANG,70.91442984602641,90.8
