,Year,Status,Value,Close
0,2007,START,0,5.497999999999999
1,2008,TANG,25.609312477264485,6.906000000000001
2,2009,GIAM,-26.151172893136415,5.1
3,2010,TANG,92.15686274509807,9.8
4,2011,TANG,75.58163265306122,17.207
5,2012,TANG,6.9506596152728415,18.403
6,2013,TANG,3.5537684073249114,19.057000000000002
7,2014,TANG,15.936401322348736,22.094
8,2015,TANG,4.0916085815153425,22.998
9,2016,TANG,25.532655013479435,28.87
10,2017,TANG,19.085555940422587,34.38
11,2018,TANG,87.98138452588714,64.628
12,2019,TANG,55.35062202141488,100.4
13,2020,TANG,14.541832669322702,115.0
