,transDate,close,high,low,open,volume,event
0,20-12-2006,14.267,14.267,14.267,14.267,120150.0,
1,21-12-2006,13.552,13.552,13.552,13.552,129520.0,
2,22-12-2006,12.955,12.955,12.955,12.955,3480.0,
3,25-12-2006,12.364,12.364,12.364,12.364,8030.0,
4,26-12-2006,11.744,11.744,11.744,11.744,71580.0,
5,27-12-2006,12.128,12.247,12.128,12.128,294090.0,
6,28-12-2006,11.697,12.128,11.697,12.128,103620.0,
7,29-12-2006,11.604,11.65,11.297,11.65,32240.0,
8,02-01-2007,11.297,11.65,11.297,11.604,40450.0,
9,03-01-2007,10.771,10.771,10.771,10.771,138180.0,
10,04-01-2007,11.297,11.297,11.037,11.037,90690.0,
11,05-01-2007,11.816,11.816,11.769,11.769,127110.0,
12,08-01-2007,11.532,12.01,11.532,11.816,108020.0,
13,09-01-2007,11.297,11.297,11.178,11.297,83540.0,
14,10-01-2007,11.32,11.437,11.32,11.437,67500.0,DIVIDEND
15,11-01-2007,10.883,11.195,10.883,11.195,140280.0,
16,12-01-2007,10.837,10.837,10.624,10.837,129670.0,
17,15-01-2007,11.297,11.297,10.837,10.837,88720.0,
18,16-01-2007,11.078,11.32,11.078,11.297,136350.0,
19,17-01-2007,11.078,11.172,11.078,11.078,96380.0,
20,18-01-2007,10.837,11.078,10.837,11.078,71630.0,
21,19-01-2007,11.078,11.078,11.078,11.078,49230.0,
22,22-01-2007,10.837,11.078,10.837,11.078,102910.0,
23,23-01-2007,10.959,11.078,10.959,10.959,113440.0,
24,24-01-2007,11.32,11.32,11.32,11.32,121470.0,
25,25-01-2007,11.556,11.798,11.556,11.556,122470.0,
26,26-01-2007,11.343,11.562,11.343,11.562,68930.0,
27,29-01-2007,11.32,11.343,11.195,11.343,43300.0,
28,30-01-2007,11.32,11.32,11.149,11.32,30210.0,
29,31-01-2007,11.32,11.32,11.32,11.32,33400.0,
30,01-02-2007,11.078,11.32,11.078,11.32,36550.0,
31,02-02-2007,11.078,11.078,11.078,11.078,30120.0,
32,05-02-2007,11.078,11.078,10.959,11.078,95620.0,
33,06-02-2007,11.437,11.532,11.195,11.195,127660.0,
34,07-02-2007,11.922,11.922,11.922,11.922,143110.0,
35,08-02-2007,12.04,12.401,12.04,12.04,179960.0,
36,09-02-2007,11.437,11.556,11.437,11.556,25680.0,
37,12-02-2007,11.68,11.751,11.437,11.437,37740.0,
38,13-02-2007,11.68,11.68,11.68,11.68,72180.0,
39,14-02-2007,11.68,11.68,11.68,11.68,149490.0,
40,15-02-2007,12.163,12.163,12.04,12.04,225190.0,
41,26-02-2007,12.76,12.76,12.76,12.76,116360.0,
42,27-02-2007,13.369,13.369,13.369,13.369,172810.0,
43,28-02-2007,13.003,13.965,13.003,13.363,209110.0,
44,01-03-2007,12.76,13.003,12.76,13.003,84140.0,
45,02-03-2007,12.76,13.003,12.76,12.76,113280.0,
46,05-03-2007,13.12,13.12,12.76,12.76,162480.0,
47,06-03-2007,13.605,13.729,13.605,13.605,240160.0,
48,07-03-2007,14.207,14.207,14.207,14.207,349040.0,
49,08-03-2007,14.809,14.809,14.809,14.809,392350.0,
50,09-03-2007,15.529,15.529,15.529,15.529,368840.0,
51,12-03-2007,16.256,16.256,16.256,16.256,401240.0,
52,13-03-2007,16.374,16.977,16.374,16.374,425600.0,
53,14-03-2007,15.654,15.771,15.654,15.771,143960.0,
54,15-03-2007,14.933,14.933,14.933,14.933,45950.0,
55,16-03-2007,14.933,14.933,14.207,14.933,278640.0,
56,19-03-2007,15.294,15.412,15.294,15.294,288410.0,
57,20-03-2007,15.169,15.169,14.692,15.169,359350.0,
58,21-03-2007,15.895,15.895,15.895,15.895,540510.0,
59,22-03-2007,15.895,15.895,15.895,15.895,440880.0,
60,23-03-2007,15.169,15.169,15.169,15.169,196030.0,
61,26-03-2007,14.45,14.45,14.45,14.45,125570.0,
62,27-03-2007,13.729,13.729,13.729,13.729,18040.0,
63,28-03-2007,13.12,13.12,13.12,13.12,36580.0,
64,29-03-2007,13.729,13.729,12.885,13.127,243780.0,
65,30-03-2007,13.12,13.965,13.12,13.723,243350.0,
66,02-04-2007,13.003,13.12,13.003,13.003,264850.0,
67,03-04-2007,12.524,12.643,12.524,12.524,68830.0,
68,04-04-2007,13.003,13.003,12.524,12.524,53500.0,
69,05-04-2007,12.643,12.76,12.524,12.643,990.0,
70,06-04-2007,12.524,12.643,12.524,12.524,55830.0,
71,09-04-2007,12.524,12.524,12.282,12.524,90560.0,
72,10-04-2007,12.282,12.524,12.282,12.282,61700.0,
73,11-04-2007,11.898,12.04,11.898,11.898,46490.0,
74,12-04-2007,11.437,11.556,11.32,11.437,72890.0,
75,13-04-2007,10.931,10.953,10.931,10.931,93390.0,
76,16-04-2007,10.405,10.936,10.405,10.405,58280.0,
77,17-04-2007,10.045,10.045,9.897,10.045,99770.0,
78,18-04-2007,10.523,10.523,10.115,10.115,98450.0,
79,19-04-2007,11.031,11.031,11.031,11.031,154170.0,
80,20-04-2007,10.837,11.031,10.837,10.837,94240.0,
81,23-04-2007,10.476,10.476,10.476,10.476,69990.0,
82,24-04-2007,10.357,10.476,10.115,10.357,49830.0,
83,25-04-2007,10.837,10.837,10.476,10.476,45880.0,
