,transDate,close,high,low,open,volume,event,date
0,1264006800000,37.039,37.039,37.039,37.039,137060,,2010-01-20 17:00:00
1,1264093200000,37.039,37.684,36.712,37.684,212560,,2010-01-21 17:00:00
2,1264179600000,37.039,37.039,36.387,36.387,19190,,2010-01-22 17:00:00
3,1264438800000,35.413,36.712,35.413,35.74,33450,,2010-01-25 17:00:00
4,1264525200000,37.039,37.039,36.387,36.387,67000,,2010-01-26 17:00:00
5,1264611600000,35.413,37.039,35.413,37.039,28850,,2010-01-27 17:00:00
6,1264698000000,33.789,35.413,33.789,35.413,30680,,2010-01-28 17:00:00
7,1264784400000,35.413,35.413,33.462,33.462,105920,,2010-01-29 17:00:00
8,1265043600000,37.039,37.039,36.387,36.712,110270,,2010-02-01 17:00:00
9,1265130000000,38.012,38.012,37.039,37.039,77170,,2010-02-02 17:00:00
10,1265216400000,38.012,38.012,37.365,38.012,26300,,2010-02-03 17:00:00
11,1265302800000,38.012,38.012,37.684,38.012,58630,,2010-02-04 17:00:00
12,1265389200000,37.039,38.012,37.039,37.684,82160,,2010-02-05 17:00:00
13,1265648400000,36.712,37.365,36.712,36.712,39450,,2010-02-08 17:00:00
14,1265734800000,36.712,37.039,36.059,36.712,51680,,2010-02-09 17:00:00
15,1265821200000,37.684,37.684,35.088,37.039,69350,,2010-02-10 17:00:00
16,1265907600000,37.684,37.684,37.684,37.684,27900,,2010-02-11 17:00:00
17,1265994000000,38.012,38.012,37.365,37.365,22770,,2010-02-12 17:00:00
18,1266858000000,38.012,38.663,37.684,38.663,92840,,2010-02-22 17:00:00
19,1266944400000,37.039,37.365,37.039,37.365,32960,,2010-02-23 17:00:00
20,1267030800000,38.337,38.663,37.039,37.039,206860,,2010-02-24 17:00:00
21,1267117200000,39.961,39.961,38.663,39.311,272450,,2010-02-25 17:00:00
22,1267203600000,41.913,41.913,40.609,40.609,308040,,2010-02-26 17:00:00
23,1267462800000,41.913,42.887,41.913,42.56,112400,,2010-03-01 17:00:00
24,1267549200000,41.587,42.233,41.587,41.913,88550,,2010-03-02 17:00:00
25,1267635600000,42.233,42.56,41.587,41.913,141170,,2010-03-03 17:00:00
26,1267722000000,42.233,42.56,41.587,42.56,116590,,2010-03-04 17:00:00
27,1267808400000,42.887,42.887,42.233,42.233,109850,,2010-03-05 17:00:00
28,1268067600000,41.913,42.887,41.913,42.56,91250,,2010-03-08 17:00:00
29,1268154000000,42.233,42.56,42.233,42.56,25410,,2010-03-09 17:00:00
30,1268240400000,42.233,42.56,42.233,42.56,36990,,2010-03-10 17:00:00
31,1268326800000,42.233,42.56,42.233,42.233,32350,,2010-03-11 17:00:00
32,1268413200000,43.212,43.533,42.233,42.233,98600,,2010-03-12 17:00:00
33,1268672400000,43.212,43.859,43.212,43.533,73330,,2010-03-15 17:00:00
34,1268758800000,42.56,42.887,41.913,42.887,27360,,2010-03-16 17:00:00
35,1268845200000,41.913,42.887,41.913,42.887,49390,,2010-03-17 17:00:00
36,1268931600000,42.56,42.56,40.934,40.934,23950,,2010-03-18 17:00:00
37,1269018000000,41.913,42.56,41.913,42.56,24750,,2010-03-19 17:00:00
38,1269277200000,42.233,42.56,41.913,41.913,40470,,2010-03-22 17:00:00
39,1269363600000,41.913,42.233,41.913,42.233,62820,,2010-03-23 17:00:00
40,1269450000000,42.56,42.56,41.913,42.233,33630,,2010-03-24 17:00:00
41,1269536400000,41.913,42.233,41.587,41.913,88700,,2010-03-25 17:00:00
42,1269622800000,42.56,42.56,42.233,42.233,56070,,2010-03-26 17:00:00
43,1269882000000,42.233,42.233,42.233,42.233,57010,,2010-03-29 17:00:00
44,1269968400000,41.913,41.913,41.587,41.587,17990,,2010-03-30 17:00:00
45,1270054800000,42.56,43.533,41.913,41.913,64210,,2010-03-31 17:00:00
46,1270141200000,42.887,42.887,42.233,42.56,36590,,2010-04-01 17:00:00
47,1270227600000,42.887,43.212,42.887,43.212,13970,,2010-04-02 17:00:00
48,1270486800000,42.56,42.887,42.56,42.887,43160,,2010-04-05 17:00:00
49,1270573200000,42.56,42.887,42.56,42.56,40360,,2010-04-06 17:00:00
50,1270659600000,42.56,42.887,42.56,42.56,30820,,2010-04-07 17:00:00
51,1270746000000,43.533,44.184,42.887,42.887,74500,,2010-04-08 17:00:00
52,1270832400000,45.485,45.485,43.859,43.859,154550,,2010-04-09 17:00:00
53,1271091600000,46.783,46.783,46.783,46.783,95000,,2010-04-12 17:00:00
54,1271178000000,46.456,47.436,46.137,46.783,84300,,2010-04-13 17:00:00
55,1271264400000,47.762,48.408,46.456,47.11,122700,,2010-04-14 17:00:00
56,1271350800000,48.734,48.734,47.762,47.762,122960,,2010-04-15 17:00:00
57,1271437200000,47.436,48.408,46.783,48.408,78140,,2010-04-16 17:00:00
58,1271696400000,45.158,46.783,45.158,46.783,186420,,2010-04-19 17:00:00
59,1271782800000,45.158,45.485,45.158,45.158,166010,,2010-04-20 17:00:00
60,1271869200000,44.837,46.456,44.512,44.512,33710,,2010-04-21 17:00:00
61,1271955600000,45.485,46.456,45.485,45.485,56550,,2010-04-22 17:00:00
62,1272301200000,45.485,46.456,45.485,46.456,87890,,2010-04-26 17:00:00
63,1272387600000,46.137,46.456,45.485,45.485,38500,,2010-04-27 17:00:00
64,1272474000000,45.158,46.456,45.158,45.81,183300,,2010-04-28 17:00:00
65,1272560400000,45.485,46.137,45.158,45.158,8390,,2010-04-29 17:00:00
66,1272992400000,45.158,46.137,45.158,46.137,83730,,2010-05-04 17:00:00
67,1273078800000,45.485,45.81,45.158,45.158,70660,,2010-05-05 17:00:00
68,1273165200000,45.485,46.137,45.485,45.485,146390,,2010-05-06 17:00:00
69,1273251600000,45.158,45.485,44.837,44.837,87700,,2010-05-07 17:00:00
70,1273510800000,45.158,45.485,44.837,44.837,104070,,2010-05-10 17:00:00
71,1273597200000,45.485,45.81,45.158,45.81,56300,,2010-05-11 17:00:00
72,1273683600000,44.837,45.158,44.837,45.158,83580,,2010-05-12 17:00:00
73,1273770000000,45.158,45.485,44.837,44.837,37590,,2010-05-13 17:00:00
74,1273856400000,45.485,45.485,44.837,44.837,94010,,2010-05-14 17:00:00
75,1274115600000,44.512,45.485,44.512,45.485,58570,,2010-05-17 17:00:00
76,1274202000000,44.512,45.158,44.184,45.158,29180,,2010-05-18 17:00:00
77,1274288400000,43.212,44.512,43.212,44.512,32160,,2010-05-19 17:00:00
78,1274374800000,43.212,43.212,41.262,43.212,90160,,2010-05-20 17:00:00
79,1274461200000,41.262,43.212,41.262,43.212,91940,,2010-05-21 17:00:00
80,1274720400000,43.212,43.212,40.934,41.262,55410,,2010-05-24 17:00:00
81,1274806800000,42.506,43.859,42.506,43.859,11500,DIVIDEND,2010-05-25 17:00:00
82,1274893200000,42.506,42.506,41.697,42.506,7510,,2010-05-26 17:00:00
83,1274979600000,42.233,42.233,42.233,42.233,4220,,2010-05-27 17:00:00
84,1275066000000,42.778,43.051,42.233,43.051,26340,,2010-05-28 17:00:00
85,1275325200000,42.778,43.321,42.233,43.321,6220,,2010-05-31 17:00:00
86,1275411600000,42.778,42.778,42.778,42.778,48670,,2010-06-01 17:00:00
87,1275498000000,42.778,42.778,42.233,42.506,9340,,2010-06-02 17:00:00
88,1275584400000,42.778,43.321,42.778,43.321,10770,,2010-06-03 17:00:00
89,1275670800000,42.778,42.778,42.506,42.778,1840,,2010-06-04 17:00:00
90,1275930000000,42.506,42.506,41.697,41.697,11510,,2010-06-07 17:00:00
91,1276016400000,41.963,42.233,41.963,42.233,18300,,2010-06-08 17:00:00
92,1276102800000,41.425,41.963,41.425,41.963,23100,,2010-06-09 17:00:00
93,1276189200000,41.697,42.233,41.697,41.697,5250,,2010-06-10 17:00:00
94,1276275600000,41.963,43.321,41.963,43.321,6390,,2010-06-11 17:00:00
95,1276534800000,42.233,42.233,41.963,42.233,8310,,2010-06-14 17:00:00
96,1276621200000,42.233,42.506,42.233,42.506,24640,,2010-06-15 17:00:00
97,1276707600000,42.506,42.778,42.506,42.778,3760,,2010-06-16 17:00:00
98,1276794000000,42.506,42.506,42.506,42.506,23630,,2010-06-17 17:00:00
99,1276880400000,42.233,42.233,42.233,42.233,19950,,2010-06-18 17:00:00
100,1277139600000,42.233,42.778,42.233,42.778,23520,,2010-06-21 17:00:00
101,1277226000000,42.233,42.233,41.153,41.153,26120,,2010-06-22 17:00:00
102,1277312400000,41.697,41.963,41.697,41.697,1580,,2010-06-23 17:00:00
103,1277398800000,42.506,42.506,41.697,42.233,26460,,2010-06-24 17:00:00
104,1277485200000,42.506,42.506,42.506,42.506,2100,,2010-06-25 17:00:00
105,1277744400000,44.404,44.404,41.425,41.425,30840,,2010-06-28 17:00:00
106,1277830800000,45.212,45.212,43.321,44.404,36440,,2010-06-29 17:00:00
107,1277917200000,44.132,44.675,43.051,43.321,52080,,2010-06-30 17:00:00
108,1278003600000,43.859,44.132,43.321,44.132,2500,,2010-07-01 17:00:00
109,1278090000000,43.321,43.321,42.778,42.778,4020,,2010-07-02 17:00:00
110,1278349200000,42.506,43.051,41.153,42.233,9560,,2010-07-05 17:00:00
111,1278435600000,42.233,42.778,42.233,42.233,10670,,2010-07-06 17:00:00
112,1278522000000,40.609,41.425,40.609,40.88,26850,,2010-07-07 17:00:00
113,1278608400000,42.233,42.233,42.233,42.233,100,,2010-07-08 17:00:00
114,1278694800000,40.609,42.233,40.609,42.233,1680,,2010-07-09 17:00:00
115,1278954000000,42.233,42.233,42.233,42.233,250,,2010-07-12 17:00:00
116,1279040400000,42.233,42.233,41.425,42.233,11710,,2010-07-13 17:00:00
117,1279126800000,42.233,42.233,41.697,42.233,26370,,2010-07-14 17:00:00
118,1279213200000,41.697,41.697,41.697,41.697,600,,2010-07-15 17:00:00
119,1279299600000,40.88,42.233,40.88,42.233,3210,,2010-07-16 17:00:00
120,1279558800000,40.88,40.88,40.609,40.609,10840,,2010-07-19 17:00:00
121,1279645200000,42.233,42.233,40.342,40.342,6260,,2010-07-20 17:00:00
122,1279731600000,40.88,42.233,40.88,42.233,1300,,2010-07-21 17:00:00
123,1279818000000,40.072,40.609,40.072,40.609,11380,,2010-07-22 17:00:00
124,1279904400000,40.609,41.697,39.528,39.528,9830,,2010-07-23 17:00:00
125,1280163600000,40.609,40.609,40.609,40.609,6830,,2010-07-26 17:00:00
126,1280250000000,40.88,41.153,39.255,39.255,22790,,2010-07-27 17:00:00
127,1280336400000,40.609,40.609,39.528,39.528,15160,,2010-07-28 17:00:00
128,1280422800000,40.609,40.609,39.528,39.528,10100,,2010-07-29 17:00:00
129,1280509200000,40.609,41.153,40.609,40.609,17200,,2010-07-30 17:00:00
130,1280768400000,40.609,41.697,40.609,41.697,14850,,2010-08-02 17:00:00
131,1280854800000,40.88,41.153,40.609,40.609,19220,,2010-08-03 17:00:00
132,1280941200000,40.609,41.153,40.609,41.153,10390,,2010-08-04 17:00:00
133,1281027600000,40.609,40.88,40.609,40.609,25650,,2010-08-05 17:00:00
134,1281114000000,40.072,40.609,39.528,40.609,3620,,2010-08-06 17:00:00
135,1281373200000,39.255,40.072,39.255,40.072,16710,,2010-08-09 17:00:00
136,1281459600000,39.528,40.072,37.903,40.072,6930,,2010-08-10 17:00:00
137,1281546000000,40.072,40.072,40.072,40.072,2000,,2010-08-11 17:00:00
138,1281632400000,39.528,39.528,38.175,38.447,28690,,2010-08-12 17:00:00
139,1281718800000,39.528,39.528,37.903,39.528,30790,,2010-08-13 17:00:00
140,1281978000000,40.072,40.072,39.528,39.528,36710,,2010-08-16 17:00:00
141,1282064400000,38.447,40.072,38.447,40.072,630,,2010-08-17 17:00:00
142,1282150800000,38.447,39.799,38.447,39.799,4350,,2010-08-18 17:00:00
143,1282237200000,38.991,38.991,38.447,38.447,40,,2010-08-19 17:00:00
144,1282323600000,38.719,38.719,38.719,38.719,10,,2010-08-20 17:00:00
145,1282582800000,38.719,38.991,38.447,38.719,1400,,2010-08-23 17:00:00
146,1282669200000,36.82,38.719,36.82,38.719,30030,,2010-08-24 17:00:00
147,1282755600000,35.196,36.82,35.196,36.82,66770,,2010-08-25 17:00:00
148,1282842000000,35.196,35.196,33.843,33.843,33630,,2010-08-26 17:00:00
149,1282928400000,35.196,35.468,34.116,35.468,14530,,2010-08-27 17:00:00
150,1283187600000,36.82,36.82,35.74,35.74,19330,,2010-08-30 17:00:00
151,1283274000000,37.903,37.903,35.74,35.74,78290,DIVIDEND,2010-08-31 17:00:00
152,1283360400000,38.991,39.255,37.903,39.255,11980,,2010-09-01 17:00:00
153,1283792400000,39.255,40.072,39.255,40.072,2870,,2010-09-06 17:00:00
154,1283878800000,38.991,39.528,38.991,39.528,12530,,2010-09-07 17:00:00
155,1283965200000,38.719,38.719,37.903,38.719,11240,,2010-09-08 17:00:00
156,1284051600000,37.63,38.447,37.63,38.447,1350,,2010-09-09 17:00:00
157,1284138000000,38.175,38.447,38.175,38.175,4180,,2010-09-10 17:00:00
158,1284397200000,38.175,38.719,36.82,38.175,4540,,2010-09-13 17:00:00
159,1284483600000,38.447,38.719,38.175,38.175,20670,,2010-09-14 17:00:00
160,1284570000000,38.447,38.447,38.175,38.447,2670,,2010-09-15 17:00:00
161,1284656400000,38.447,38.447,37.365,37.365,24980,,2010-09-16 17:00:00
162,1284742800000,38.719,38.719,38.447,38.447,4750,,2010-09-17 17:00:00
163,1285002000000,38.719,38.991,38.719,38.991,6310,,2010-09-20 17:00:00
164,1285088400000,38.719,38.991,38.447,38.991,7970,,2010-09-21 17:00:00
165,1285174800000,38.447,38.991,38.447,38.991,29380,,2010-09-22 17:00:00
166,1285261200000,38.719,38.991,38.447,38.991,43400,,2010-09-23 17:00:00
167,1285347600000,38.175,38.447,38.175,38.175,6310,,2010-09-24 17:00:00
168,1285606800000,37.903,38.175,37.63,38.175,10020,,2010-09-27 17:00:00
169,1285693200000,38.447,38.447,37.63,37.903,15410,,2010-09-28 17:00:00
170,1285779600000,38.447,38.447,37.903,37.903,20310,,2010-09-29 17:00:00
171,1285866000000,38.175,38.175,38.175,38.175,3000,,2010-09-30 17:00:00
172,1285952400000,38.175,38.175,38.175,38.175,5000,,2010-10-01 17:00:00
173,1286211600000,37.903,38.175,36.277,36.277,20790,,2010-10-04 17:00:00
174,1286298000000,37.365,37.903,37.365,37.903,27650,,2010-10-05 17:00:00
175,1286384400000,37.365,37.903,37.365,37.903,22100,,2010-10-06 17:00:00
176,1286470800000,37.63,37.903,37.63,37.63,27610,,2010-10-07 17:00:00
177,1286557200000,37.63,37.903,37.63,37.63,19700,,2010-10-08 17:00:00
178,1286816400000,37.63,37.903,37.63,37.903,12870,,2010-10-11 17:00:00
179,1286902800000,36.82,37.63,36.82,37.63,1800,,2010-10-12 17:00:00
180,1286989200000,37.365,37.365,35.468,36.82,14700,,2010-10-13 17:00:00
181,1287075600000,37.365,37.365,37.365,37.365,2400,,2010-10-14 17:00:00
