,transDate,close,high,low,open,volume,event,date
0,1256662800000,16.07,16.565,15.517,15.517,14130980.0,,2009-10-27 17:00:00
1,1256749200000,16.235,16.507,16.07,16.459,6561020.0,,2009-10-28 17:00:00
2,1256835600000,15.624,16.07,15.459,15.789,3970860.0,,2009-10-29 17:00:00
3,1256922000000,15.624,15.847,15.517,15.789,3723990.0,,2009-10-30 17:00:00
4,1257181200000,15.177,15.342,14.847,15.235,5989710.0,,2009-11-02 17:00:00
5,1257267600000,14.682,15.235,14.623,15.012,3297810.0,,2009-11-03 17:00:00
6,1257354000000,14.682,15.012,14.575,14.963,2791880.0,,2009-11-04 17:00:00
7,1257440400000,15.128,15.235,14.74,14.963,2980370.0,,2009-11-05 17:00:00
8,1257526800000,14.963,15.459,14.963,15.459,3057730.0,,2009-11-06 17:00:00
9,1257786000000,14.623,14.905,14.517,14.682,3593740.0,,2009-11-09 17:00:00
10,1257872400000,14.352,14.789,14.293,14.682,2749910.0,,2009-11-10 17:00:00
11,1257958800000,14.682,14.682,14.293,14.4,2148090.0,,2009-11-11 17:00:00
12,1258045200000,14.682,14.847,14.623,14.682,1890050.0,,2009-11-12 17:00:00
13,1258131600000,14.682,14.682,14.517,14.575,1842920.0,,2009-11-13 17:00:00
14,1258390800000,14.352,14.682,14.352,14.517,1965290.0,,2009-11-16 17:00:00
15,1258477200000,14.021,14.352,14.021,14.352,2059480.0,,2009-11-17 17:00:00
16,1258563600000,13.847,13.905,13.74,13.847,2541330.0,,2009-11-18 17:00:00
17,1258650000000,14.07,14.187,13.847,13.847,1896910.0,,2009-11-19 17:00:00
18,1258736400000,13.847,14.07,13.847,14.021,1462170.0,,2009-11-20 17:00:00
19,1258995600000,13.458,13.798,13.458,13.74,1601490.0,,2009-11-23 17:00:00
20,1259082000000,12.963,13.458,12.963,13.293,2915180.0,,2009-11-24 17:00:00
21,1259168400000,12.351,12.74,12.351,12.74,4320240.0,,2009-11-25 17:00:00
22,1259254800000,11.749,12.138,11.749,11.914,4072270.0,,2009-11-26 17:00:00
23,1259341200000,12.303,12.303,11.196,11.196,2414700.0,,2009-11-27 17:00:00
24,1259600400000,12.905,12.905,12.905,12.905,960250.0,,2009-11-30 17:00:00
25,1259686800000,13.517,13.517,13.517,13.517,509260.0,,2009-12-01 17:00:00
26,1259773200000,13.458,14.128,13.021,13.021,9790490.0,,2009-12-02 17:00:00
27,1259859600000,13.798,13.847,13.293,13.575,4989260.0,,2009-12-03 17:00:00
28,1259946000000,13.798,13.963,13.682,13.963,1836220.0,,2009-12-04 17:00:00
29,1260205200000,13.633,13.798,13.575,13.798,1524840.0,,2009-12-07 17:00:00
30,1260291600000,13.186,13.517,13.128,13.41,2401440.0,,2009-12-08 17:00:00
31,1260378000000,12.691,12.856,12.575,12.74,3143570.0,,2009-12-09 17:00:00
32,1260464400000,12.633,12.905,12.516,12.905,2183660.0,,2009-12-10 17:00:00
33,1260550800000,12.244,12.691,12.244,12.633,2898380.0,,2009-12-11 17:00:00
34,1260810000000,12.856,12.856,12.633,12.856,4458950.0,,2009-12-14 17:00:00
35,1260896400000,13.186,13.351,12.905,13.186,2988620.0,,2009-12-15 17:00:00
36,1260982800000,12.691,13.186,12.633,13.186,2577780.0,,2009-12-16 17:00:00
37,1261069200000,13.021,13.08,12.41,12.633,2894350.0,,2009-12-17 17:00:00
38,1261155600000,13.186,13.458,13.08,13.08,3820150.0,,2009-12-18 17:00:00
39,1261414800000,13.517,13.517,13.186,13.351,3973490.0,,2009-12-21 17:00:00
40,1261501200000,13.293,13.517,13.186,13.458,3874370.0,,2009-12-22 17:00:00
41,1261587600000,13.245,13.41,13.128,13.293,3508950.0,,2009-12-23 17:00:00
42,1261674000000,13.351,13.41,13.128,13.186,4181060.0,,2009-12-24 17:00:00
43,1261760400000,13.682,13.74,13.41,13.633,3364470.0,,2009-12-25 17:00:00
44,1262019600000,13.458,13.633,13.351,13.351,2973170.0,,2009-12-28 17:00:00
45,1262106000000,13.245,13.458,13.245,13.293,2220070.0,,2009-12-29 17:00:00
46,1262192400000,13.245,13.458,13.186,13.293,1656460.0,,2009-12-30 17:00:00
47,1262278800000,13.293,13.458,13.245,13.41,6441730.0,,2009-12-31 17:00:00
48,1262624400000,13.963,13.963,13.293,13.293,3521350.0,,2010-01-04 17:00:00
49,1262710800000,14.458,14.623,14.352,14.575,4561690.0,,2010-01-05 17:00:00
50,1262797200000,14.128,14.4,14.07,14.4,2756100.0,,2010-01-06 17:00:00
51,1262883600000,13.847,14.187,13.847,14.128,2586670.0,,2010-01-07 17:00:00
52,1262970000000,13.74,14.352,13.74,14.235,3831940.0,,2010-01-08 17:00:00
53,1263229200000,13.682,13.847,13.575,13.74,1292100.0,,2010-01-11 17:00:00
54,1263315600000,13.08,13.74,13.08,13.575,1951010.0,,2010-01-12 17:00:00
55,1263402000000,13.245,13.351,12.963,13.08,2102770.0,,2010-01-13 17:00:00
56,1263488400000,13.186,13.351,13.128,13.293,1124370.0,,2010-01-14 17:00:00
57,1263574800000,13.186,13.293,13.08,13.186,1396510.0,,2010-01-15 17:00:00
58,1263834000000,12.905,13.186,12.905,13.186,1991690.0,,2010-01-18 17:00:00
59,1263920400000,13.08,13.245,12.905,13.08,1376290.0,,2010-01-19 17:00:00
60,1264006800000,13.021,13.245,12.963,13.245,1566410.0,,2010-01-20 17:00:00
61,1264093200000,12.856,13.08,12.856,12.856,1350830.0,,2010-01-21 17:00:00
62,1264179600000,12.74,12.905,12.633,12.633,1177140.0,,2010-01-22 17:00:00
63,1264438800000,12.74,12.798,12.691,12.74,1593240.0,,2010-01-25 17:00:00
64,1264525200000,13.293,13.293,12.905,12.905,1772240.0,,2010-01-26 17:00:00
65,1264611600000,13.128,13.186,12.856,12.905,1513870.0,,2010-01-27 17:00:00
66,1264698000000,12.798,13.128,12.691,13.128,1362970.0,,2010-01-28 17:00:00
67,1264784400000,12.74,12.856,12.691,12.74,1339920.0,,2010-01-29 17:00:00
68,1265043600000,12.74,12.856,12.74,12.74,1085620.0,,2010-02-01 17:00:00
69,1265130000000,12.798,12.856,12.74,12.798,1423240.0,,2010-02-02 17:00:00
70,1265216400000,12.798,12.905,12.74,12.74,851530.0,,2010-02-03 17:00:00
71,1265302800000,12.856,12.963,12.798,12.798,614680.0,,2010-02-04 17:00:00
72,1265389200000,12.74,12.856,12.74,12.74,649670.0,,2010-02-05 17:00:00
73,1265648400000,12.963,13.021,12.691,12.691,992150.0,,2010-02-08 17:00:00
74,1265734800000,12.798,12.963,12.798,12.856,490930.0,,2010-02-09 17:00:00
75,1265821200000,12.798,12.963,12.74,12.74,380180.0,,2010-02-10 17:00:00
76,1265907600000,13.021,13.021,13.021,13.021,345620.0,,2010-02-11 17:00:00
77,1265994000000,13.128,13.186,13.021,13.186,481470.0,,2010-02-12 17:00:00
78,1266858000000,13.128,13.245,13.021,13.186,479220.0,,2010-02-22 17:00:00
79,1266944400000,12.905,13.021,12.856,12.963,353620.0,,2010-02-23 17:00:00
80,1267030800000,12.856,12.856,12.74,12.856,557970.0,,2010-02-24 17:00:00
81,1267117200000,12.798,13.021,12.74,12.856,414870.0,,2010-02-25 17:00:00
82,1267203600000,12.798,12.856,12.74,12.798,518750.0,,2010-02-26 17:00:00
83,1267462800000,12.963,13.128,12.963,13.021,1007300.0,,2010-03-01 17:00:00
84,1267549200000,12.856,13.021,12.798,13.021,455230.0,,2010-03-02 17:00:00
85,1267635600000,12.963,12.963,12.856,12.856,721890.0,,2010-03-03 17:00:00
86,1267722000000,12.905,13.021,12.856,13.021,990740.0,,2010-03-04 17:00:00
87,1267808400000,12.798,12.905,12.798,12.856,1202700.0,,2010-03-05 17:00:00
88,1268067600000,12.798,12.905,12.798,12.856,1633040.0,,2010-03-08 17:00:00
89,1268154000000,12.798,12.856,12.74,12.798,1539830.0,,2010-03-09 17:00:00
90,1268240400000,12.74,12.856,12.74,12.856,1149220.0,,2010-03-10 17:00:00
91,1268326800000,12.691,12.856,12.691,12.74,1318860.0,,2010-03-11 17:00:00
92,1268413200000,12.74,12.798,12.691,12.74,1235280.0,,2010-03-12 17:00:00
93,1268672400000,12.856,12.905,12.798,12.856,1646830.0,,2010-03-15 17:00:00
94,1268758800000,12.856,12.905,12.74,12.798,2133840.0,,2010-03-16 17:00:00
95,1268845200000,12.856,12.905,12.798,12.798,1758360.0,,2010-03-17 17:00:00
96,1268931600000,12.74,12.856,12.74,12.798,702920.0,,2010-03-18 17:00:00
97,1269018000000,12.74,12.798,12.691,12.74,2203370.0,,2010-03-19 17:00:00
98,1269277200000,12.74,12.798,12.633,12.74,1425770.0,,2010-03-22 17:00:00
99,1269363600000,12.74,12.798,12.691,12.74,1723230.0,,2010-03-23 17:00:00
100,1269450000000,12.691,12.74,12.691,12.74,1207450.0,,2010-03-24 17:00:00
101,1269536400000,12.633,12.74,12.633,12.691,2133360.0,,2010-03-25 17:00:00
102,1269622800000,12.633,12.691,12.575,12.575,1859080.0,,2010-03-26 17:00:00
103,1269882000000,12.468,12.575,12.351,12.468,734320.0,,2010-03-29 17:00:00
104,1269968400000,12.905,12.905,12.303,12.351,1106600.0,,2010-03-30 17:00:00
105,1270054800000,12.963,12.963,12.516,12.905,3879910.0,,2010-03-31 17:00:00
106,1270141200000,12.798,12.905,12.516,12.633,764630.0,,2010-04-01 17:00:00
107,1270227600000,12.516,12.74,12.516,12.74,319790.0,,2010-04-02 17:00:00
108,1270486800000,12.516,12.633,12.468,12.516,797780.0,,2010-04-05 17:00:00
109,1270573200000,12.468,12.633,12.468,12.516,407860.0,,2010-04-06 17:00:00
110,1270659600000,12.41,12.526,12.351,12.468,962450.0,,2010-04-07 17:00:00
111,1270746000000,12.351,12.41,12.351,12.351,424420.0,,2010-04-08 17:00:00
112,1270832400000,12.351,12.41,12.303,12.351,538600.0,,2010-04-09 17:00:00
113,1271091600000,12.351,12.351,12.351,12.351,678990.0,,2010-04-12 17:00:00
114,1271178000000,12.244,12.351,12.244,12.351,527060.0,,2010-04-13 17:00:00
115,1271264400000,12.244,12.303,12.186,12.244,558060.0,,2010-04-14 17:00:00
116,1271350800000,12.186,12.303,12.186,12.244,634680.0,,2010-04-15 17:00:00
117,1271437200000,12.303,12.303,12.186,12.303,458970.0,,2010-04-16 17:00:00
118,1271696400000,12.079,12.303,12.079,12.303,570220.0,,2010-04-19 17:00:00
119,1271782800000,11.963,12.186,11.963,12.186,600870.0,,2010-04-20 17:00:00
120,1271869200000,11.914,12.079,11.914,11.963,573820.0,,2010-04-21 17:00:00
121,1271955600000,12.186,12.468,11.963,12.021,609800.0,,2010-04-22 17:00:00
122,1272301200000,12.079,12.303,12.079,12.186,509140.0,,2010-04-26 17:00:00
123,1272387600000,11.963,12.079,11.963,12.021,447830.0,,2010-04-27 17:00:00
124,1272474000000,11.914,12.021,11.856,11.963,552180.0,,2010-04-28 17:00:00
125,1272560400000,11.963,12.079,11.963,12.021,614080.0,,2010-04-29 17:00:00
126,1272992400000,12.516,12.516,12.138,12.186,2874870.0,,2010-05-04 17:00:00
127,1273078800000,12.41,12.633,12.351,12.526,939860.0,,2010-05-05 17:00:00
128,1273165200000,12.303,12.516,12.244,12.41,505550.0,,2010-05-06 17:00:00
129,1273251600000,12.079,12.244,11.963,12.138,776310.0,,2010-05-07 17:00:00
130,1273510800000,11.914,11.963,11.691,11.856,1686460.0,,2010-05-10 17:00:00
131,1273597200000,11.914,12.021,11.856,11.914,918870.0,,2010-05-11 17:00:00
132,1273683600000,11.798,11.856,11.691,11.749,1213710.0,,2010-05-12 17:00:00
133,1273770000000,11.691,11.856,11.691,11.798,537010.0,,2010-05-13 17:00:00
134,1273856400000,11.633,11.749,11.633,11.633,605900.0,,2010-05-14 17:00:00
135,1274115600000,11.526,11.633,11.409,11.574,1129200.0,,2010-05-17 17:00:00
136,1274202000000,11.526,11.574,11.409,11.574,881440.0,,2010-05-18 17:00:00
137,1274288400000,11.244,11.526,11.244,11.468,918500.0,,2010-05-19 17:00:00
138,1274374800000,11.361,11.361,10.972,10.972,1216340.0,,2010-05-20 17:00:00
139,1274461200000,11.021,11.196,11.021,11.021,1070850.0,,2010-05-21 17:00:00
140,1274720400000,11.021,11.079,10.914,11.079,1236260.0,,2010-05-24 17:00:00
141,1274806800000,10.972,11.079,10.972,10.972,795490.0,,2010-05-25 17:00:00
142,1274893200000,10.914,10.972,10.856,10.914,793920.0,,2010-05-26 17:00:00
143,1274979600000,10.856,10.914,10.807,10.856,551410.0,,2010-05-27 17:00:00
144,1275066000000,11.079,11.138,10.914,11.079,972850.0,,2010-05-28 17:00:00
145,1275325200000,10.972,11.079,10.914,11.021,549910.0,,2010-05-31 17:00:00
146,1275411600000,10.914,11.079,10.914,10.914,444750.0,,2010-06-01 17:00:00
147,1275498000000,10.914,10.914,10.807,10.914,593200.0,,2010-06-02 17:00:00
148,1275584400000,10.914,10.972,10.856,10.914,655650.0,,2010-06-03 17:00:00
149,1275670800000,10.914,10.972,10.856,10.914,480900.0,,2010-06-04 17:00:00
150,1275930000000,10.691,10.856,10.691,10.749,802880.0,,2010-06-07 17:00:00
151,1276016400000,10.691,10.807,10.642,10.691,645660.0,,2010-06-08 17:00:00
152,1276102800000,10.642,10.749,10.584,10.749,787190.0,,2010-06-09 17:00:00
153,1276189200000,10.691,10.691,10.584,10.584,412880.0,,2010-06-10 17:00:00
154,1276275600000,10.807,10.807,10.749,10.749,562760.0,,2010-06-11 17:00:00
155,1276534800000,10.807,10.914,10.807,10.807,306620.0,,2010-06-14 17:00:00
156,1276621200000,10.749,10.856,10.749,10.807,487010.0,,2010-06-15 17:00:00
157,1276707600000,10.856,10.856,10.807,10.807,409350.0,,2010-06-16 17:00:00
158,1276794000000,10.856,10.914,10.807,10.807,531990.0,,2010-06-17 17:00:00
159,1276880400000,10.749,10.749,10.749,10.749,789500.0,DIVIDEND,2010-06-18 17:00:00
160,1277139600000,10.749,10.856,10.749,10.749,344500.0,,2010-06-21 17:00:00
161,1277226000000,10.691,10.807,10.691,10.749,504190.0,,2010-06-22 17:00:00
162,1277312400000,10.691,10.749,10.642,10.691,421570.0,,2010-06-23 17:00:00
163,1277398800000,10.749,10.749,10.642,10.749,645970.0,,2010-06-24 17:00:00
164,1277485200000,10.642,10.749,10.642,10.691,525340.0,,2010-06-25 17:00:00
165,1277744400000,10.691,10.807,10.584,10.584,723110.0,,2010-06-28 17:00:00
166,1277830800000,10.749,10.807,10.691,10.691,525040.0,,2010-06-29 17:00:00
167,1277917200000,10.468,10.691,10.468,10.584,796480.0,,2010-06-30 17:00:00
168,1278003600000,10.584,10.584,10.468,10.526,663650.0,,2010-07-01 17:00:00
169,1278090000000,10.526,10.642,10.526,10.642,1082230.0,,2010-07-02 17:00:00
170,1278349200000,10.807,10.972,10.468,10.468,759160.0,,2010-07-05 17:00:00
171,1278435600000,10.691,10.972,10.584,10.584,949270.0,,2010-07-06 17:00:00
172,1278522000000,10.584,10.691,10.584,10.691,252330.0,,2010-07-07 17:00:00
173,1278608400000,10.584,10.749,10.584,10.691,557680.0,,2010-07-08 17:00:00
174,1278694800000,10.526,10.642,10.526,10.642,271760.0,,2010-07-09 17:00:00
175,1278954000000,10.584,10.642,10.526,10.526,469790.0,,2010-07-12 17:00:00
176,1279040400000,10.642,10.642,10.584,10.642,206790.0,,2010-07-13 17:00:00
177,1279126800000,10.691,10.807,10.691,10.691,559600.0,,2010-07-14 17:00:00
178,1279213200000,10.642,10.749,10.642,10.642,555370.0,,2010-07-15 17:00:00
179,1279299600000,10.642,10.642,10.526,10.642,639740.0,,2010-07-16 17:00:00
180,1279558800000,10.642,10.642,10.584,10.584,477840.0,,2010-07-19 17:00:00
181,1279645200000,10.526,10.642,10.468,10.584,440630.0,,2010-07-20 17:00:00
182,1279731600000,10.584,10.691,10.526,10.526,988180.0,,2010-07-21 17:00:00
183,1279818000000,10.584,10.642,10.526,10.584,492120.0,,2010-07-22 17:00:00
184,1279904400000,10.584,10.642,10.526,10.584,791370.0,,2010-07-23 17:00:00
185,1280163600000,10.526,10.584,10.468,10.584,1098370.0,,2010-07-26 17:00:00
186,1280250000000,10.468,10.584,10.468,10.526,416880.0,,2010-07-27 17:00:00
187,1280336400000,10.468,10.526,10.468,10.526,509520.0,,2010-07-28 17:00:00
188,1280422800000,10.468,10.526,10.419,10.468,316490.0,,2010-07-29 17:00:00
189,1280509200000,10.468,10.526,10.468,10.468,328560.0,,2010-07-30 17:00:00
190,1280768400000,10.361,10.526,10.361,10.468,298230.0,,2010-08-02 17:00:00
191,1280854800000,10.302,10.419,10.302,10.361,226070.0,,2010-08-03 17:00:00
192,1280941200000,10.196,10.302,10.196,10.302,285440.0,,2010-08-04 17:00:00
193,1281027600000,10.196,10.254,10.137,10.254,329780.0,,2010-08-05 17:00:00
194,1281114000000,10.031,10.196,10.031,10.137,293440.0,,2010-08-06 17:00:00
195,1281373200000,9.972,10.031,9.914,9.972,984780.0,,2010-08-09 17:00:00
196,1281459600000,9.7,9.972,9.642,9.972,506980.0,,2010-08-10 17:00:00
197,1281546000000,9.526,9.642,9.419,9.526,299410.0,,2010-08-11 17:00:00
198,1281632400000,9.137,9.419,9.137,9.361,618920.0,,2010-08-12 17:00:00
199,1281718800000,9.137,9.196,8.865,8.865,1177060.0,,2010-08-13 17:00:00
200,1281978000000,9.419,9.477,9.196,9.254,596830.0,,2010-08-16 17:00:00
201,1282064400000,9.312,9.361,9.089,9.254,421660.0,,2010-08-17 17:00:00
202,1282150800000,9.196,9.312,9.137,9.196,511810.0,,2010-08-18 17:00:00
203,1282237200000,9.03,9.137,9.03,9.137,2043420.0,,2010-08-19 17:00:00
204,1282323600000,9.089,9.089,8.924,9.089,284840.0,,2010-08-20 17:00:00
205,1282582800000,9.03,9.089,8.972,9.089,89370.0,,2010-08-23 17:00:00
206,1282669200000,8.924,9.03,8.865,8.972,371410.0,,2010-08-24 17:00:00
207,1282755600000,8.807,8.924,8.7,8.7,934530.0,,2010-08-25 17:00:00
208,1282842000000,8.865,8.972,8.807,8.865,714020.0,,2010-08-26 17:00:00
209,1282928400000,8.865,8.924,8.7,8.7,373810.0,,2010-08-27 17:00:00
210,1283187600000,9.312,9.312,9.137,9.312,825490.0,,2010-08-30 17:00:00
211,1283274000000,9.361,9.526,9.196,9.196,442890.0,,2010-08-31 17:00:00
212,1283360400000,9.312,9.419,9.254,9.361,325820.0,,2010-09-01 17:00:00
213,1283792400000,9.7,9.749,9.584,9.749,1344030.0,,2010-09-06 17:00:00
214,1283878800000,9.584,9.914,9.477,9.914,667040.0,,2010-09-07 17:00:00
215,1283965200000,9.477,9.526,9.419,9.419,379560.0,,2010-09-08 17:00:00
216,1284051600000,9.642,9.642,9.419,9.477,300120.0,,2010-09-09 17:00:00
217,1284138000000,9.419,9.7,9.419,9.642,497220.0,,2010-09-10 17:00:00
218,1284397200000,9.419,9.526,9.312,9.312,530450.0,,2010-09-13 17:00:00
