,transDate,close,high,low,open,volume,event,date
0,1317834000000,9.033,9.033,5.241,6.746,1004400.0,,2011-10-05 17:00:00
1,1317920400000,8.307,8.307,8.307,8.307,1100.0,,2011-10-06 17:00:00
2,1318006800000,8.866,8.866,8.81,8.866,181500.0,,2011-10-07 17:00:00
3,1318266000000,9.478,9.478,9.088,9.423,120300.0,,2011-10-10 17:00:00
4,1318352400000,9.478,9.534,8.977,9.368,143300.0,,2011-10-11 17:00:00
5,1318438800000,8.922,9.088,8.698,8.698,134200.0,,2011-10-12 17:00:00
6,1318525200000,8.53,9.312,8.364,9.2,44700.0,,2011-10-13 17:00:00
7,1318611600000,8.251,8.642,8.251,8.364,79500.0,,2011-10-14 17:00:00
8,1318870800000,7.806,7.806,7.806,7.806,5000.0,,2011-10-17 17:00:00
9,1318957200000,7.303,7.303,7.303,7.303,6500.0,,2011-10-18 17:00:00
10,1319043600000,6.858,7.806,6.802,6.802,248800.0,,2011-10-19 17:00:00
11,1319130000000,7.137,7.137,6.412,6.412,50500.0,,2011-10-20 17:00:00
12,1319216400000,6.746,7.249,6.746,7.249,17200.0,,2011-10-21 17:00:00
13,1319475600000,6.802,7.081,6.69,7.081,43800.0,,2011-10-24 17:00:00
14,1319562000000,6.634,6.858,6.579,6.858,33700.0,,2011-10-25 17:00:00
15,1319648400000,6.524,6.634,6.524,6.634,11300.0,,2011-10-26 17:00:00
16,1319734800000,6.356,6.69,6.356,6.69,22500.0,,2011-10-27 17:00:00
17,1319821200000,6.69,7.081,6.19,6.19,169300.0,,2011-10-28 17:00:00
18,1320080400000,6.412,6.914,6.19,6.634,112300.0,,2011-10-31 17:00:00
19,1320166800000,6.19,6.634,6.19,6.634,61900.0,,2011-11-01 17:00:00
20,1320253200000,5.967,6.356,5.967,6.356,37200.0,,2011-11-02 17:00:00
21,1320339600000,5.631,5.631,5.631,5.631,39600.0,,2011-11-03 17:00:00
22,1320426000000,5.967,6.023,5.241,5.241,765400.0,,2011-11-04 17:00:00
23,1320685200000,6.245,6.245,5.967,6.19,231200.0,,2011-11-07 17:00:00
24,1320771600000,6.023,6.412,5.855,6.412,191600.0,,2011-11-08 17:00:00
25,1320858000000,6.023,6.245,5.855,5.967,385800.0,,2011-11-09 17:00:00
26,1320944400000,5.799,6.023,5.687,6.023,253500.0,,2011-11-10 17:00:00
27,1321030800000,5.967,6.301,5.743,6.023,377500.0,,2011-11-11 17:00:00
28,1321290000000,5.743,6.134,5.687,5.743,448400.0,,2011-11-14 17:00:00
29,1321376400000,5.91,6.078,5.576,6.078,317200.0,,2011-11-15 17:00:00
30,1321462800000,5.91,6.134,5.352,5.352,486700.0,,2011-11-16 17:00:00
31,1321549200000,5.91,6.19,5.855,5.967,448700.0,,2011-11-17 17:00:00
32,1321635600000,6.134,6.301,5.855,5.967,312600.0,,2011-11-18 17:00:00
33,1321894800000,6.301,6.301,5.91,6.134,232100.0,,2011-11-21 17:00:00
34,1321981200000,6.634,6.634,6.245,6.245,252600.0,,2011-11-22 17:00:00
