,transDate,close,high,low,open,volume,event
0,21-05-2012,26.873,26.939,24.254,24.254,2502080,
1,22-05-2012,28.185,28.185,27.856,28.185,1934550,
2,23-05-2012,26.808,28.185,26.808,28.119,1055780,
3,24-05-2012,25.498,26.218,25.498,25.563,1009380,
4,25-05-2012,25.563,26.088,24.319,25.498,877260,
5,28-05-2012,24.643,25.695,24.581,25.695,457400,
6,29-05-2012,24.056,24.254,23.662,23.794,418300,
7,30-05-2012,24.777,24.842,24.056,24.254,170280,
8,31-05-2012,24.384,24.777,24.056,24.384,269030,
9,01-06-2012,24.384,24.516,24.254,24.254,138370,
10,04-06-2012,23.335,24.12,23.335,24.12,383250,
11,05-06-2012,23.335,23.532,22.94,22.94,330550,
12,06-06-2012,23.467,23.596,23.14,23.335,101300,
13,07-06-2012,24.581,24.581,23.467,23.794,280210,
14,08-06-2012,24.581,25.759,24.516,24.777,300060,
15,11-06-2012,24.12,24.842,24.12,24.254,106110,
16,12-06-2012,23.794,24.581,23.794,24.581,126760,
17,13-06-2012,23.858,24.056,23.662,24.056,33550,
18,14-06-2012,23.858,24.12,23.662,23.725,88860,
19,15-06-2012,24.319,24.448,23.858,23.858,80460,
20,18-06-2012,24.842,24.905,24.448,24.448,181580,
21,19-06-2012,24.842,25.037,24.643,24.842,263540,
22,20-06-2012,25.171,25.369,24.842,24.842,224150,
23,21-06-2012,25.236,25.433,24.974,25.433,86970,
24,22-06-2012,25.3,25.433,25.105,25.171,182790,
25,25-06-2012,24.842,25.369,24.643,25.369,216300,
26,26-06-2012,24.842,24.842,24.384,24.384,107410,
27,27-06-2012,24.905,25.171,24.777,24.777,56490,
28,28-06-2012,25.236,25.236,24.905,25.236,314740,
29,29-06-2012,25.171,25.369,25.171,25.369,591130,
30,02-07-2012,25.236,26.218,25.171,25.369,111900,
31,03-07-2012,25.3,25.433,25.037,25.105,98880,
32,04-07-2012,25.105,25.3,25.037,25.236,181160,
33,05-07-2012,25.105,25.171,24.581,25.105,32450,
34,06-07-2012,25.105,25.105,24.581,25.105,27580,
35,09-07-2012,24.905,25.105,24.711,25.105,14910,
36,10-07-2012,24.581,24.905,24.581,24.581,54900,
37,11-07-2012,24.777,24.777,24.254,24.254,32940,
38,12-07-2012,24.842,24.842,24.643,24.842,2830,
39,13-07-2012,24.974,25.037,24.842,24.905,77460,
40,16-07-2012,25.105,25.105,24.643,24.643,75920,
41,17-07-2012,25.105,25.3,24.905,25.3,182340,
42,18-07-2012,25.171,25.3,24.711,25.3,146560,
43,19-07-2012,26.285,26.285,24.842,25.171,819250,
44,20-07-2012,25.958,26.218,25.825,26.218,287610,
45,23-07-2012,25.825,25.958,25.563,25.958,51430,
46,24-07-2012,25.3,25.825,24.974,25.825,33440,
47,25-07-2012,25.3,25.563,24.905,24.905,59190,
48,26-07-2012,25.498,25.498,25.3,25.498,28250,
49,27-07-2012,25.433,25.563,25.369,25.498,42110,
50,30-07-2012,25.695,25.695,25.037,25.037,36800,
51,31-07-2012,25.498,25.825,25.433,25.825,37450,
52,01-08-2012,25.563,25.629,25.498,25.498,126160,
53,02-08-2012,25.759,25.958,25.433,25.563,379390,
54,03-08-2012,25.759,25.825,25.563,25.629,338830,
55,06-08-2012,25.825,26.022,25.563,26.022,307250,
56,07-08-2012,25.825,25.891,25.629,25.825,39770,
57,08-08-2012,25.629,25.891,25.629,25.891,88470,
58,09-08-2012,25.629,25.825,25.629,25.629,139970,
59,10-08-2012,25.629,25.825,25.629,25.629,82930,
60,13-08-2012,25.629,25.695,25.236,25.236,52670,
61,14-08-2012,25.695,25.759,25.563,25.563,65220,
62,15-08-2012,25.825,25.891,25.759,25.825,172630,
63,16-08-2012,26.285,26.413,25.891,25.891,713090,
64,17-08-2012,27.268,27.4,26.413,26.413,2424550,
65,20-08-2012,27.464,27.532,27.268,27.532,285470,
66,21-08-2012,26.152,27.4,26.152,27.4,778620,
67,22-08-2012,26.545,26.873,25.236,25.236,425250,
68,23-08-2012,25.236,26.218,25.236,26.218,608680,
69,24-08-2012,25.891,26.413,24.12,24.12,471190,
70,27-08-2012,24.643,25.825,24.643,25.825,338670,
71,28-08-2012,25.105,25.369,24.384,24.384,144670,
72,29-08-2012,26.35,26.35,26.088,26.088,1294020,
73,30-08-2012,26.873,27.005,26.545,26.743,1204090,
74,31-08-2012,27.41,27.479,27.075,27.21,1200100,DIVIDEND
75,04-09-2012,27.614,27.815,27.41,27.815,633240,
76,05-09-2012,27.278,27.747,27.075,27.614,154700,
77,06-09-2012,26.201,27.344,26.201,27.008,174400,
78,07-09-2012,27.479,27.479,26.135,26.674,360690,
79,10-09-2012,26.806,27.344,26.404,27.344,454770,
80,11-09-2012,27.008,27.546,26.267,26.404,157910,
81,12-09-2012,27.41,27.479,26.873,27.008,566030,
82,13-09-2012,27.747,27.815,27.479,27.546,533240,
83,14-09-2012,28.082,28.487,27.883,28.487,824280,
84,17-09-2012,27.747,28.218,27.747,27.883,113130,
85,18-09-2012,27.008,27.815,26.54,27.815,143650,
86,19-09-2012,27.344,27.546,26.806,26.806,262800,
87,20-09-2012,26.873,27.344,26.605,27.344,46540,
88,21-09-2012,26.873,27.41,26.674,27.41,98550,
89,24-09-2012,26.068,26.873,25.865,26.201,434220,
90,25-09-2012,26.74,26.873,26.338,26.338,303570,
91,26-09-2012,26.873,27.142,26.674,26.674,117740,
92,27-09-2012,26.338,26.806,26.338,26.74,90010,
93,28-09-2012,26.941,27.008,26.201,26.201,199000,
94,01-10-2012,26.0,26.873,25.935,26.873,129660,
95,02-10-2012,26.0,26.201,25.935,26.201,227380,
96,03-10-2012,26.0,26.201,25.935,26.0,236880,
97,04-10-2012,26.068,26.135,26.0,26.135,162210,
98,05-10-2012,26.605,26.74,26.068,26.068,217330,
99,08-10-2012,26.674,26.941,26.47,26.47,242320,
100,09-10-2012,26.674,26.806,26.068,26.806,238310,
101,10-10-2012,26.674,26.674,26.338,26.338,33740,
102,11-10-2012,26.674,26.74,26.54,26.674,110180,
103,12-10-2012,26.47,26.74,26.47,26.74,79120,
104,15-10-2012,26.0,26.74,25.935,26.74,45510,
105,16-10-2012,26.201,26.54,26.068,26.135,87690,
106,17-10-2012,26.135,26.47,26.068,26.201,35150,
107,18-10-2012,26.135,26.404,26.135,26.404,60080,
108,19-10-2012,26.74,26.74,26.0,26.338,271750,
109,22-10-2012,26.47,26.74,26.201,26.74,4050,
110,23-10-2012,26.873,27.142,26.54,26.74,172530,
111,24-10-2012,26.74,27.008,26.74,27.008,53520,
112,25-10-2012,26.404,26.806,26.404,26.404,12940,
113,26-10-2012,26.404,26.605,26.267,26.404,26410,
114,29-10-2012,26.54,26.74,26.404,26.74,29930,
115,30-10-2012,26.605,26.74,26.605,26.605,79390,
116,31-10-2012,26.54,26.806,26.54,26.54,76830,
117,01-11-2012,26.54,26.674,26.47,26.674,223990,
118,02-11-2012,25.935,26.201,25.531,25.531,95260,
119,05-11-2012,26.135,26.267,25.935,26.135,100740,
120,06-11-2012,26.201,26.404,26.068,26.404,11380,
121,07-11-2012,26.201,26.338,26.068,26.338,65790,
122,08-11-2012,26.201,26.338,26.135,26.338,104620,
123,09-11-2012,26.201,26.47,26.135,26.201,249060,
124,12-11-2012,26.201,26.47,26.201,26.47,110350,
125,13-11-2012,26.201,26.338,26.201,26.338,99660,
126,14-11-2012,26.201,26.338,26.135,26.201,119660,
127,15-11-2012,26.135,26.338,26.135,26.338,44850,
128,16-11-2012,26.201,26.267,26.068,26.068,44410,
129,19-11-2012,26.068,26.267,26.068,26.135,60140,
130,20-11-2012,26.135,26.201,26.068,26.068,13590,
131,21-11-2012,26.068,26.267,26.068,26.135,88770,
132,22-11-2012,26.201,26.267,26.135,26.135,148050,
133,23-11-2012,26.201,26.267,26.068,26.201,82060,
134,26-11-2012,26.068,26.135,26.0,26.135,44460,
135,27-11-2012,26.068,26.135,26.0,26.0,29740,
136,28-11-2012,26.135,26.201,26.0,26.0,43070,
137,29-11-2012,26.068,26.135,26.068,26.135,24140,
138,30-11-2012,26.068,26.201,26.068,26.135,40500,
139,03-12-2012,26.135,26.201,26.068,26.135,60410,
140,04-12-2012,26.827,26.827,26.272,26.481,135030,DIVIDEND
141,05-12-2012,26.894,26.894,26.686,26.827,36080,
142,06-12-2012,26.619,26.827,26.619,26.827,2760,
143,07-12-2012,26.547,26.757,26.342,26.619,18370,
144,10-12-2012,26.619,26.757,26.411,26.619,40080,
145,11-12-2012,26.827,27.101,26.619,26.894,6570,
146,12-12-2012,26.827,26.894,26.547,26.619,68420,
147,13-12-2012,26.619,26.894,26.619,26.827,127330,
148,14-12-2012,26.619,26.894,26.619,26.894,58880,
149,17-12-2012,26.757,26.894,26.547,26.619,112540,
150,18-12-2012,26.827,26.827,26.686,26.757,194580,
151,19-12-2012,26.757,26.827,26.619,26.827,35120,
