,transDate,close,high,low,open,volume,event
0,26-10-2015,11.391,11.391,9.711,11.391,18200.0,
1,27-10-2015,10.498,10.498,10.498,10.498,3500.0,
2,28-10-2015,9.081,9.92,8.977,9.92,31900.0,
3,29-10-2015,9.552,9.92,9.028,9.081,20300.0,
4,30-10-2015,9.711,9.973,9.238,9.238,19500.0,
5,02-11-2015,9.605,9.92,9.133,9.763,8200.0,
6,03-11-2015,9.973,9.973,9.5,9.605,56900.0,
7,04-11-2015,10.551,11.023,9.973,10.025,70000.0,
8,05-11-2015,11.863,11.863,11.285,11.285,20812.0,
9,06-11-2015,12.493,13.438,12.073,12.861,75488.0,
10,09-11-2015,12.283,12.703,10.812,12.703,135200.0,
11,10-11-2015,11.023,12.755,10.603,12.755,133600.0,
12,11-11-2015,11.023,11.233,10.078,10.13,65707.0,
13,12-11-2015,11.547,11.811,10.97,11.023,84303.0,
14,13-11-2015,11.863,11.915,11.338,11.547,148800.0,
15,16-11-2015,11.391,11.915,10.812,11.6,214000.0,
16,17-11-2015,11.444,11.705,11.285,11.495,30300.0,
17,18-11-2015,10.97,11.495,10.498,11.285,178600.0,
18,19-11-2015,10.918,11.18,10.551,11.18,94000.0,
19,20-11-2015,10.656,10.865,9.973,10.498,126700.0,
20,23-11-2015,10.97,11.023,10.498,10.656,66850.0,
21,24-11-2015,11.023,11.285,10.498,10.498,140402.0,
22,25-11-2015,11.233,11.285,10.812,10.918,109200.0,
23,26-11-2015,11.285,11.547,11.127,11.127,77008.0,
24,27-11-2015,11.233,11.338,11.18,11.338,59100.0,
25,30-11-2015,10.97,11.18,10.918,11.127,96200.0,
26,01-12-2015,10.97,11.285,10.918,11.18,29100.0,
27,02-12-2015,10.708,10.97,10.656,10.918,103300.0,
28,03-12-2015,10.76,10.812,10.708,10.76,45600.0,
29,04-12-2015,10.656,10.76,10.551,10.708,58300.0,
30,07-12-2015,10.393,10.603,10.393,10.603,57400.0,
31,08-12-2015,10.498,10.551,10.236,10.445,114600.0,
32,09-12-2015,10.708,10.812,10.287,10.393,133103.0,
33,10-12-2015,10.603,10.812,10.551,10.656,72700.0,
34,11-12-2015,10.656,10.656,10.498,10.498,84500.0,
35,14-12-2015,10.603,10.656,10.551,10.551,79200.0,
36,15-12-2015,10.656,10.656,10.393,10.498,59900.0,
37,16-12-2015,10.708,11.023,10.551,10.656,97600.0,
38,17-12-2015,10.865,10.865,10.656,10.708,469200.0,
39,18-12-2015,10.656,10.76,9.973,10.76,143102.0,
40,21-12-2015,10.445,10.445,9.711,10.393,340600.0,
41,22-12-2015,9.868,10.13,9.605,9.973,377300.0,
42,23-12-2015,9.343,9.658,8.398,9.5,569600.0,
43,24-12-2015,10.287,10.393,8.398,8.818,1135600.0,
44,25-12-2015,10.236,10.498,9.29,10.34,122574700.0,
45,28-12-2015,10.708,10.708,10.078,10.603,1884100.0,
46,29-12-2015,10.656,11.023,10.445,11.023,1055500.0,
47,30-12-2015,11.285,11.285,10.13,10.498,5716150.0,
48,31-12-2015,12.073,12.178,11.285,11.547,1996310.0,
49,04-01-2016,11.758,12.335,11.285,12.335,4515450.0,
50,05-01-2016,11.705,11.811,11.444,11.758,1693845.0,
51,06-01-2016,12.545,12.598,11.652,11.652,1517316.0,
52,07-01-2016,12.861,13.018,12.23,12.545,1717369.0,
53,08-01-2016,12.755,12.861,12.493,12.755,1093280.0,
54,11-01-2016,12.073,12.598,11.811,12.598,2196300.0,
55,12-01-2016,12.23,12.387,11.758,12.073,817620.0,
56,13-01-2016,12.283,12.387,12.073,12.073,1098024.0,
57,14-01-2016,12.073,12.178,11.811,12.073,1583200.0,
58,15-01-2016,12.073,12.126,11.968,12.073,534600.0,
59,18-01-2016,11.811,11.863,11.444,11.811,1165082.0,
60,19-01-2016,11.915,11.968,11.6,11.6,430000.0,
61,20-01-2016,11.863,12.126,11.758,12.073,1278100.0,
62,21-01-2016,12.335,12.335,11.811,11.915,814030.0,
63,22-01-2016,12.861,12.913,12.387,12.387,1088160.0,
64,25-01-2016,13.648,13.753,12.861,12.965,1299888.0,
65,26-01-2016,13.386,13.858,13.123,13.123,946060.0,
66,27-01-2016,13.438,13.753,13.227,13.543,852380.0,
67,28-01-2016,13.018,13.438,12.913,13.438,728330.0,
68,29-01-2016,12.808,12.965,12.651,12.965,986380.0,
69,01-02-2016,12.493,12.861,12.44,12.861,740100.0,
70,02-02-2016,12.44,12.598,12.178,12.387,1130300.0,
71,03-02-2016,12.335,12.387,12.178,12.335,381100.0,
72,04-02-2016,12.387,12.598,12.387,12.493,135400.0,
73,05-02-2016,12.703,12.703,12.44,12.493,142900.0,
74,15-02-2016,12.387,12.703,12.387,12.545,255708.0,
75,16-02-2016,12.651,12.755,12.335,12.335,371000.0,
76,17-02-2016,12.861,12.965,12.545,12.755,502800.0,
77,18-02-2016,13.333,13.491,12.913,12.965,628848.0,
78,19-02-2016,12.913,13.386,12.913,13.28,470100.0,
79,22-02-2016,12.861,13.123,12.808,13.018,454800.0,
80,23-02-2016,12.651,12.861,12.493,12.861,748210.0,
81,24-02-2016,12.755,12.965,12.545,12.861,313800.0,
82,25-02-2016,12.493,12.861,12.493,12.861,521700.0,
83,26-02-2016,12.598,12.598,12.387,12.44,376900.0,
84,29-02-2016,12.545,12.598,12.493,12.545,242300.0,
85,01-03-2016,12.703,12.861,12.493,12.598,771600.0,
86,02-03-2016,12.965,13.07,12.703,12.703,563500.0,
87,03-03-2016,13.018,13.227,13.018,13.018,623700.0,
88,04-03-2016,12.755,13.123,12.651,13.07,899600.0,
89,07-03-2016,12.178,12.598,11.705,12.598,1282800.0,
90,08-03-2016,12.23,12.44,12.178,12.178,534800.0,
91,09-03-2016,12.387,12.44,12.126,12.126,395900.0,
92,10-03-2016,12.598,12.598,12.283,12.335,537350.0,
93,11-03-2016,12.44,12.545,12.44,12.545,337638.0,
94,14-03-2016,12.545,12.545,12.335,12.44,379100.0,
95,15-03-2016,12.598,12.703,12.387,12.44,208510.0,
96,16-03-2016,12.493,12.651,12.44,12.598,227600.0,
97,17-03-2016,12.755,12.808,12.493,12.545,537800.0,
98,18-03-2016,12.703,12.913,12.598,12.808,261500.0,
99,21-03-2016,12.703,12.808,12.703,12.755,272500.0,
100,22-03-2016,12.965,13.123,12.755,12.755,1286900.0,
101,23-03-2016,13.7,14.068,13.018,13.018,1660850.0,
102,24-03-2016,13.911,14.331,13.7,14.173,1396650.0,
103,25-03-2016,13.595,13.911,13.28,13.911,914230.0,
104,28-03-2016,14.015,14.068,13.595,13.595,2003930.0,
105,29-03-2016,14.12,14.435,14.015,14.435,2006390.0,
106,30-03-2016,13.753,14.173,13.7,14.173,1137710.0,
107,31-03-2016,13.386,13.858,13.333,13.858,1371400.0,
108,01-04-2016,12.913,13.28,12.808,13.175,943700.0,
109,04-04-2016,12.755,13.018,12.703,12.913,601100.0,
110,05-04-2016,13.018,13.175,12.861,12.861,623200.0,
111,06-04-2016,13.352,13.406,13.023,13.406,779200.0,DIVIDEND
112,07-04-2016,13.461,13.515,13.296,13.352,903820.0,
113,08-04-2016,13.352,13.625,13.296,13.57,473500.0,
114,11-04-2016,13.242,13.515,13.242,13.515,420500.0,
115,12-04-2016,13.296,13.406,13.186,13.242,433400.0,
116,13-04-2016,12.968,13.352,12.968,13.352,648000.0,
117,14-04-2016,13.077,13.352,12.968,12.968,583568.0,
118,15-04-2016,13.077,13.242,13.077,13.132,446700.0,
119,19-04-2016,12.804,13.132,12.749,13.132,534600.0,
120,20-04-2016,12.804,12.968,12.64,12.968,399800.0,
121,21-04-2016,12.749,12.859,12.695,12.859,222220.0,
122,22-04-2016,12.749,12.913,12.695,12.859,228700.0,
123,25-04-2016,12.749,13.077,12.749,13.023,742700.0,
124,26-04-2016,12.64,12.859,12.586,12.859,457410.0,
125,27-04-2016,12.804,12.859,12.586,12.64,773710.0,
126,28-04-2016,13.242,13.352,12.804,12.804,687610.0,
127,29-04-2016,13.242,13.406,13.132,13.352,476710.0,
128,04-05-2016,13.023,13.186,13.023,13.023,286270.0,
129,05-05-2016,12.913,13.186,12.913,13.023,750300.0,
130,06-05-2016,12.859,13.077,12.804,13.023,525000.0,
131,09-05-2016,12.749,13.023,12.695,12.859,489330.0,
132,10-05-2016,12.749,12.749,12.64,12.64,258800.0,
133,11-05-2016,12.859,12.913,12.586,12.586,307660.0,
134,12-05-2016,12.804,12.968,12.804,12.968,106540.0,
135,13-05-2016,12.695,12.913,12.695,12.913,243600.0,
136,16-05-2016,12.749,12.859,12.586,12.859,211400.0,
137,17-05-2016,12.749,12.749,12.695,12.749,208610.0,
138,18-05-2016,12.749,12.749,12.64,12.695,273900.0,
139,19-05-2016,12.695,12.749,12.64,12.695,110000.0,
140,20-05-2016,12.695,12.695,12.64,12.64,149500.0,
141,23-05-2016,12.586,12.749,12.586,12.695,282970.0,
142,24-05-2016,12.53,12.695,12.42,12.64,550900.0,
143,25-05-2016,12.64,12.695,12.586,12.64,769600.0,
144,26-05-2016,12.64,12.749,12.53,12.695,211100.0,
145,27-05-2016,12.475,12.586,12.42,12.586,293600.0,
146,30-05-2016,12.475,12.53,12.42,12.475,531050.0,
147,31-05-2016,12.804,12.804,12.42,12.475,937000.0,
148,01-06-2016,12.968,13.077,12.859,12.859,666000.0,
149,02-06-2016,13.352,13.406,12.804,12.913,1271940.0,
150,03-06-2016,13.461,13.679,13.406,13.406,1256700.0,
151,06-06-2016,13.242,13.406,12.859,13.406,899500.0,
152,07-06-2016,13.296,13.352,13.023,13.186,974500.0,
153,08-06-2016,13.57,13.679,13.352,13.57,1736699.0,
154,09-06-2016,13.406,13.679,13.352,13.57,1714600.0,
155,10-06-2016,13.406,13.515,13.406,13.461,1159500.0,
156,13-06-2016,13.132,13.461,13.132,13.461,907300.0,
157,14-06-2016,13.461,13.625,13.132,13.132,1135600.0,
158,15-06-2016,14.173,14.335,13.625,13.625,2481000.0,
159,16-06-2016,14.118,14.61,14.062,14.227,2379794.0,
160,17-06-2016,13.845,14.173,13.625,14.173,2596100.0,
161,20-06-2016,13.789,13.899,13.57,13.899,1169432.0,
162,21-06-2016,13.296,13.899,13.296,13.789,1866100.0,
163,22-06-2016,13.461,13.57,13.352,13.352,1208350.0,
164,23-06-2016,13.789,13.789,13.406,13.406,983800.0,
165,24-06-2016,13.296,13.679,11.654,13.679,1793880.0,
166,27-06-2016,13.186,13.186,12.804,13.186,652900.0,
167,28-06-2016,13.132,13.242,13.023,13.023,532800.0,
168,29-06-2016,13.352,13.406,13.132,13.132,743200.0,
169,30-06-2016,13.406,13.57,13.352,13.352,949876.0,
170,01-07-2016,13.406,13.57,13.296,13.461,586300.0,
171,04-07-2016,13.461,13.515,13.352,13.406,685800.0,
172,05-07-2016,13.186,13.406,13.186,13.406,849020.0,
173,06-07-2016,13.132,13.242,13.077,13.186,405910.0,
174,07-07-2016,13.515,13.625,13.077,13.186,1001100.0,
175,08-07-2016,13.625,14.007,13.515,13.57,1351490.0,
176,11-07-2016,13.242,13.625,13.242,13.625,644200.0,
177,12-07-2016,13.352,13.406,13.186,13.296,470220.0,
178,13-07-2016,13.515,13.57,13.352,13.352,1070510.0,
179,14-07-2016,13.352,13.515,13.296,13.406,603060.0,
180,15-07-2016,13.242,13.352,13.023,13.352,594710.0,
181,18-07-2016,13.352,13.352,13.077,13.132,319908.0,
182,19-07-2016,13.132,13.296,13.023,13.242,578300.0,
183,20-07-2016,13.023,13.132,12.913,13.077,339800.0,
184,21-07-2016,12.749,13.077,12.695,13.077,454970.0,
185,22-07-2016,12.859,13.352,12.695,12.859,299000.0,
186,25-07-2016,13.352,13.679,13.132,13.132,993120.0,
187,26-07-2016,13.242,13.461,13.132,13.406,351020.0,
188,27-07-2016,13.296,13.406,13.132,13.186,205116.0,
189,28-07-2016,13.515,13.57,13.296,13.57,584970.0,
190,29-07-2016,13.406,13.57,13.352,13.461,760800.0,
191,01-08-2016,13.352,13.461,13.296,13.406,204728.0,
192,02-08-2016,13.023,13.132,12.913,13.132,492500.0,
193,03-08-2016,13.023,13.023,12.859,13.023,753400.0,
194,04-08-2016,12.913,13.077,12.859,12.913,391600.0,
195,05-08-2016,12.586,13.132,12.53,13.132,843700.0,
196,08-08-2016,11.765,12.64,11.436,12.64,1604000.0,
197,09-08-2016,12.42,12.42,11.765,11.819,518700.0,
198,10-08-2016,12.804,12.804,12.312,12.312,411900.0,
199,11-08-2016,12.586,12.695,12.475,12.695,483800.0,
200,12-08-2016,12.695,12.695,12.203,12.366,521300.0,
201,15-08-2016,12.203,12.53,12.147,12.53,178530.0,
202,16-08-2016,12.366,13.132,12.038,12.203,453000.0,
203,17-08-2016,12.312,12.586,12.312,12.312,221200.0,
204,18-08-2016,12.257,12.366,12.203,12.312,140100.0,
