,transDate,close,high,low,open,volume,event,date
0,1365440400000,13.046,13.046,13.046,13.046,370500,,2013-04-08 17:00:00
1,1365526800000,12.141,12.141,12.141,12.141,13300,,2013-04-09 17:00:00
2,1365613200000,11.293,11.293,11.293,11.293,17070,,2013-04-10 17:00:00
3,1365699600000,10.509,10.509,10.509,10.509,22910,,2013-04-11 17:00:00
4,1365786000000,9.785,9.966,9.785,9.785,762940,,2013-04-12 17:00:00
5,1366045200000,10.087,10.45,9.905,9.966,263240,,2013-04-15 17:00:00
6,1366131600000,10.266,10.387,10.087,10.387,22850,,2013-04-16 17:00:00
7,1366218000000,10.206,10.206,9.966,9.966,284820,,2013-04-17 17:00:00
8,1366304400000,10.146,10.206,10.027,10.206,195130,,2013-04-18 17:00:00
9,1366650000000,10.146,10.206,9.845,9.845,128400,,2013-04-22 17:00:00
10,1366736400000,10.328,10.328,10.146,10.206,100870,,2013-04-23 17:00:00
11,1366822800000,10.328,10.328,10.027,10.027,88650,,2013-04-24 17:00:00
12,1366909200000,10.509,10.569,10.206,10.266,150870,,2013-04-25 17:00:00
13,1366995600000,10.509,10.569,10.206,10.328,67520,,2013-04-26 17:00:00
14,1367514000000,10.509,10.509,10.387,10.509,30870,,2013-05-02 17:00:00
15,1367600400000,9.785,10.509,9.785,10.509,34690,,2013-05-03 17:00:00
16,1367859600000,10.146,10.146,9.664,9.966,81340,,2013-05-06 17:00:00
17,1367946000000,9.845,10.087,9.845,10.027,58700,,2013-05-07 17:00:00
18,1368032400000,10.146,10.266,10.146,10.206,9530,,2013-05-08 17:00:00
19,1368118800000,10.027,10.146,9.966,10.146,16680,,2013-05-09 17:00:00
20,1368205200000,10.027,10.087,9.966,10.027,29210,,2013-05-10 17:00:00
21,1368464400000,10.63,10.63,10.266,10.266,96580,,2013-05-13 17:00:00
22,1368550800000,10.569,10.751,10.45,10.569,136890,,2013-05-14 17:00:00
23,1368637200000,11.293,11.293,10.569,10.569,219010,,2013-05-15 17:00:00
24,1368723600000,11.718,11.778,11.414,11.414,84720,,2013-05-16 17:00:00
25,1368810000000,11.718,11.718,11.293,11.718,129090,,2013-05-17 17:00:00
26,1369069200000,12.079,12.381,11.718,11.718,152770,,2013-05-20 17:00:00
27,1369155600000,12.141,12.321,11.899,11.899,81760,,2013-05-21 17:00:00
28,1369242000000,12.804,12.804,12.261,12.321,83330,,2013-05-22 17:00:00
29,1369328400000,12.079,13.286,12.079,12.804,108870,,2013-05-23 17:00:00
30,1369414800000,12.925,12.925,12.141,12.141,106080,,2013-05-24 17:00:00
31,1369674000000,13.347,13.347,13.106,13.286,108000,,2013-05-27 17:00:00
32,1369760400000,13.588,13.588,12.986,13.588,61730,,2013-05-28 17:00:00
33,1369846800000,14.495,14.495,13.588,13.588,85700,,2013-05-29 17:00:00
34,1369933200000,15.461,15.461,15.22,15.281,123560,,2013-05-30 17:00:00
35,1370019600000,16.066,16.489,15.702,16.489,143720,,2013-05-31 17:00:00
36,1370278800000,15.038,16.066,14.976,15.159,14160,,2013-06-03 17:00:00
37,1370365200000,16.066,16.066,14.374,14.434,75560,,2013-06-04 17:00:00
38,1370451600000,14.976,15.946,14.976,15.946,47580,,2013-06-05 17:00:00
39,1370538000000,13.952,15.1,13.952,14.013,102390,,2013-06-06 17:00:00
40,1370624400000,14.795,14.856,13.347,14.194,11670,,2013-06-07 17:00:00
41,1370883600000,13.892,14.795,13.892,14.795,6890,,2013-06-10 17:00:00
42,1370970000000,13.892,14.676,13.892,14.676,2730,,2013-06-11 17:00:00
43,1371056400000,14.434,14.495,13.71,13.71,9890,,2013-06-12 17:00:00
44,1371142800000,14.434,14.614,14.314,14.495,12200,,2013-06-13 17:00:00
45,1371229200000,14.495,14.495,14.314,14.495,7600,,2013-06-14 17:00:00
46,1371488400000,14.434,14.495,14.194,14.374,5100,,2013-06-17 17:00:00
47,1371574800000,14.495,14.495,13.528,14.194,7030,,2013-06-18 17:00:00
48,1371661200000,14.495,14.495,14.495,14.495,10000,,2013-06-19 17:00:00
49,1371747600000,14.495,14.495,13.588,13.588,6210,,2013-06-20 17:00:00
50,1371834000000,14.434,14.434,14.374,14.374,11010,,2013-06-21 17:00:00
51,1372093200000,14.374,14.374,13.588,13.588,1510,,2013-06-24 17:00:00
52,1372179600000,13.407,14.374,13.407,13.892,52430,,2013-06-25 17:00:00
53,1372266000000,14.194,14.194,13.407,13.407,5260,,2013-06-26 17:00:00
54,1372352400000,13.892,13.892,13.286,13.347,7110,,2013-06-27 17:00:00
55,1372438800000,13.892,13.892,13.046,13.046,120,,2013-06-28 17:00:00
56,1372698000000,13.77,13.77,13.77,13.77,4010,,2013-07-01 17:00:00
57,1372784400000,13.347,13.77,13.166,13.77,53530,,2013-07-02 17:00:00
58,1372870800000,13.286,13.892,12.864,13.892,49230,,2013-07-03 17:00:00
59,1372957200000,13.588,13.892,12.743,12.743,24280,,2013-07-04 17:00:00
60,1373043600000,13.588,13.588,13.347,13.347,19450,,2013-07-05 17:00:00
61,1373302800000,13.166,13.77,13.166,13.77,12980,,2013-07-08 17:00:00
62,1373389200000,13.588,13.588,13.588,13.588,6500,,2013-07-09 17:00:00
63,1373475600000,13.467,13.588,13.227,13.528,16520,,2013-07-10 17:00:00
64,1373562000000,13.286,13.467,13.286,13.467,24550,,2013-07-11 17:00:00
65,1373648400000,13.407,13.467,13.286,13.407,29300,,2013-07-12 17:00:00
66,1373907600000,13.286,13.467,13.286,13.467,42060,,2013-07-15 17:00:00
67,1373994000000,13.286,13.286,13.227,13.286,27360,,2013-07-16 17:00:00
68,1374080400000,13.407,13.407,13.227,13.286,18890,,2013-07-17 17:00:00
69,1374166800000,13.407,13.407,13.046,13.227,30820,,2013-07-18 17:00:00
70,1374253200000,13.467,13.467,13.407,13.407,23700,,2013-07-19 17:00:00
71,1374512400000,13.467,13.467,13.407,13.467,13000,,2013-07-22 17:00:00
72,1374598800000,13.467,13.467,13.467,13.467,1200,,2013-07-23 17:00:00
73,1374685200000,13.166,13.347,13.166,13.286,8540,,2013-07-24 17:00:00
74,1374771600000,13.286,13.286,13.286,13.286,10,,2013-07-25 17:00:00
75,1374858000000,13.286,13.286,13.286,13.286,0,,2013-07-26 17:00:00
76,1375117200000,13.286,13.286,13.286,13.286,0,,2013-07-29 17:00:00
77,1375203600000,13.286,13.286,13.286,13.286,450,,2013-07-30 17:00:00
78,1375290000000,12.986,13.286,12.986,12.986,510,,2013-07-31 17:00:00
79,1375376400000,13.286,13.286,13.286,13.286,0,,2013-08-01 17:00:00
80,1375462800000,12.563,13.286,12.563,13.286,74800,,2013-08-02 17:00:00
81,1375722000000,13.227,13.227,13.227,13.227,10,,2013-08-05 17:00:00
82,1375808400000,13.227,13.227,13.166,13.227,11500,,2013-08-06 17:00:00
83,1375894800000,13.227,13.227,13.227,13.227,10,,2013-08-07 17:00:00
84,1375981200000,13.588,13.588,12.621,12.864,25900,,2013-08-08 17:00:00
85,1376067600000,12.743,13.71,12.743,12.743,21320,,2013-08-09 17:00:00
86,1376326800000,13.71,13.71,12.986,12.986,30330,,2013-08-12 17:00:00
87,1376413200000,13.65,13.65,13.467,13.528,27200,,2013-08-13 17:00:00
88,1376499600000,13.65,14.495,12.986,13.65,35160,,2013-08-14 17:00:00
89,1376586000000,14.316,14.434,13.893,14.372,29100,,2013-08-15 17:00:00
90,1376672400000,14.314,14.374,13.892,14.194,28010,,2013-08-16 17:00:00
