,transDate,close,high,low,open,volume,event
0,21-12-2006,13.39,13.39,13.39,13.39,2000,
1,22-12-2006,12.782,12.782,12.782,12.782,9350,
2,25-12-2006,12.151,12.151,12.151,12.151,9900,
3,26-12-2006,11.563,11.563,11.563,11.563,47410,
4,27-12-2006,12.124,12.124,11.93,11.93,1500,
5,28-12-2006,12.664,12.664,12.664,12.664,24650,
6,29-12-2006,12.664,12.664,12.664,12.664,26560,
7,02-01-2007,12.173,12.656,12.173,12.656,11100,
8,03-01-2007,11.69,11.69,11.591,11.69,25400,
9,04-01-2007,12.173,12.173,12.076,12.076,9540,
10,05-01-2007,12.173,12.173,12.173,12.173,26820,
11,08-01-2007,12.048,12.173,11.93,12.173,30350,
12,09-01-2007,11.902,12.048,11.834,12.048,5670,
13,10-01-2007,11.902,11.902,11.439,11.902,12600,
14,11-01-2007,11.66,11.93,11.66,11.902,5520,
15,12-01-2007,11.439,11.66,11.439,11.66,18800,
16,15-01-2007,11.439,11.439,11.439,11.439,27800,
17,16-01-2007,11.225,11.439,11.225,11.439,6590,
18,17-01-2007,11.322,11.322,11.225,11.225,9750,
19,18-01-2007,11.69,11.69,10.828,11.322,3010,
20,19-01-2007,11.69,12.173,11.69,11.69,15660,
21,22-01-2007,11.563,11.69,11.563,11.69,9130,
22,23-01-2007,11.439,11.563,11.439,11.563,12950,
23,24-01-2007,11.563,11.69,11.439,11.439,8140,
24,25-01-2007,11.563,11.563,11.563,11.563,14390,
25,26-01-2007,11.93,12.124,11.93,11.93,17250,
26,29-01-2007,11.93,11.93,11.93,11.93,12960,
27,30-01-2007,11.93,11.93,11.93,11.93,9530,
28,31-01-2007,11.902,11.902,11.806,11.902,17720,
29,01-02-2007,11.806,11.806,11.806,11.806,10350,
30,02-02-2007,11.943,11.943,11.943,11.943,1300,DIVIDEND
31,05-02-2007,11.697,11.697,11.474,11.697,23280,
32,06-02-2007,11.57,11.57,11.446,11.57,27100,
33,07-02-2007,12.069,12.069,11.697,11.697,37950,
34,08-02-2007,12.069,12.442,12.069,12.069,61120,
35,09-02-2007,11.943,12.193,11.943,12.069,31900,
36,12-02-2007,11.943,11.943,11.82,11.943,19530,
37,13-02-2007,12.069,12.069,12.069,12.069,41270,
38,14-02-2007,12.566,12.566,12.193,12.193,70240,
39,15-02-2007,13.19,13.19,12.941,12.941,27230,
40,26-02-2007,13.812,13.812,13.812,13.812,35900,
41,27-02-2007,14.435,14.435,14.435,14.435,16960,
42,28-02-2007,15.052,15.052,15.052,15.052,19400,
43,01-03-2007,15.805,15.805,15.805,15.805,58180,
44,02-03-2007,16.546,16.546,16.546,16.546,27600,
45,05-03-2007,17.293,17.293,17.293,17.293,16200,
46,06-03-2007,18.042,18.042,18.042,18.042,13750,
47,07-03-2007,18.912,18.912,18.912,18.912,20250,
48,08-03-2007,18.414,18.912,18.166,18.912,163130,
49,09-03-2007,19.287,19.287,19.162,19.162,62580,
50,12-03-2007,20.159,20.159,20.159,20.159,92860,
51,13-03-2007,20.159,20.407,20.159,20.159,79490,
52,14-03-2007,19.162,20.159,19.162,20.159,17650,
53,15-03-2007,18.29,18.29,18.29,18.29,10050,
54,16-03-2007,18.29,18.29,17.418,18.29,98740,
55,19-03-2007,19.162,19.162,19.162,19.162,17800,
56,20-03-2007,20.033,20.033,20.033,20.033,55950,
57,21-03-2007,20.774,21.024,20.774,20.774,177100,
58,22-03-2007,19.785,19.785,19.785,19.785,45280,
59,23-03-2007,19.659,19.659,19.038,19.659,42990,
60,26-03-2007,18.788,18.788,18.788,18.788,28410,
61,27-03-2007,17.916,17.916,17.916,17.916,15100,
62,28-03-2007,17.044,17.044,17.044,17.044,38980,
63,29-03-2007,17.791,17.791,17.791,17.791,10620,
64,30-03-2007,18.166,18.663,18.166,18.166,78020,
65,02-04-2007,17.293,17.293,17.293,17.293,22970,
66,03-04-2007,16.796,16.796,16.796,16.796,35040,
67,04-04-2007,17.543,17.543,16.796,16.796,15920,
68,05-04-2007,17.418,17.543,17.418,17.418,30190,
69,06-04-2007,16.92,17.418,16.92,16.92,25610,
70,09-04-2007,16.671,17.293,16.671,16.671,16320,
71,10-04-2007,16.671,16.671,16.671,16.671,12860,
72,11-04-2007,16.171,16.546,16.171,16.171,17870,
73,12-04-2007,15.425,15.922,15.425,15.425,17950,
74,13-04-2007,14.676,14.676,14.676,14.676,12160,
75,16-04-2007,14.055,14.055,14.055,14.055,5670,
76,17-04-2007,13.439,13.563,13.439,13.439,5650,
77,18-04-2007,14.055,14.055,12.941,13.432,30500,
78,19-04-2007,14.055,14.676,14.055,14.055,55280,
79,20-04-2007,14.055,14.429,14.055,14.055,27940,
80,23-04-2007,13.439,13.439,13.439,13.439,6000,
