,transDate,close,high,low,open,volume,event,date
0,1482944400000,45.801,45.801,45.801,45.801,7232660,,2016-12-28 17:00:00
1,1483030800000,45.878,47.023,44.198,46.183,3217540,,2016-12-29 17:00:00
2,1483117200000,45.878,45.878,44.58,45.801,2391160,,2016-12-30 17:00:00
3,1483462800000,45.038,45.801,45.038,45.801,520260,,2017-01-03 17:00:00
4,1483549200000,45.343,45.42,45.038,45.038,1056370,,2017-01-04 17:00:00
5,1483635600000,45.114,45.343,45.038,45.267,637040,,2017-01-05 17:00:00
6,1483722000000,45.191,45.191,44.885,45.038,787010,,2017-01-06 17:00:00
7,1483981200000,45.267,45.267,44.809,45.114,1110630,,2017-01-09 17:00:00
8,1484067600000,45.038,45.191,44.962,45.191,802560,,2017-01-10 17:00:00
9,1484154000000,45.114,45.114,44.809,44.962,1077670,,2017-01-11 17:00:00
10,1484240400000,44.885,45.114,44.809,45.038,904360,,2017-01-12 17:00:00
11,1484326800000,45.038,45.038,44.656,44.885,967870,,2017-01-13 17:00:00
12,1484586000000,45.191,45.191,44.809,44.962,1332640,,2017-01-16 17:00:00
13,1484672400000,44.885,45.191,44.885,45.114,1127570,,2017-01-17 17:00:00
14,1484758800000,44.962,45.038,44.809,44.809,1179580,,2017-01-18 17:00:00
15,1484845200000,44.351,45.038,44.275,44.885,1368300,,2017-01-19 17:00:00
16,1484931600000,44.427,44.656,44.198,44.351,975810,,2017-01-20 17:00:00
17,1485190800000,44.122,44.58,44.122,44.427,1087390,,2017-01-23 17:00:00
18,1485277200000,44.198,44.427,43.969,44.122,1201640,,2017-01-24 17:00:00
19,1485363600000,46.259,46.259,44.275,44.275,1636490,,2017-01-25 17:00:00
20,1486054800000,46.488,46.488,46.107,46.336,1363250,,2017-02-02 17:00:00
21,1486141200000,46.488,46.488,46.03,46.412,1185700,,2017-02-03 17:00:00
22,1486400400000,45.725,46.412,45.725,46.412,1119780,,2017-02-06 17:00:00
23,1486486800000,45.42,45.649,45.191,45.572,1226190,,2017-02-07 17:00:00
24,1486573200000,45.114,45.801,45.114,45.42,1262530,,2017-02-08 17:00:00
25,1486659600000,44.885,45.572,44.885,45.114,1679120,,2017-02-09 17:00:00
26,1486746000000,44.885,45.496,44.885,45.038,1606250,,2017-02-10 17:00:00
27,1487005200000,45.191,45.42,44.962,44.962,1257830,,2017-02-13 17:00:00
28,1487091600000,45.191,45.496,45.191,45.191,1291960,,2017-02-14 17:00:00
29,1487178000000,45.42,45.801,45.191,45.191,1404110,,2017-02-15 17:00:00
30,1487264400000,46.03,46.259,45.496,45.649,1493510,,2017-02-16 17:00:00
31,1487350800000,46.412,46.87,46.03,46.03,1384350,,2017-02-17 17:00:00
32,1487610000000,48.168,48.473,46.565,46.565,1026640,,2017-02-20 17:00:00
33,1487696400000,50.381,51.145,48.168,48.473,876160,,2017-02-21 17:00:00
34,1487782800000,50.534,51.908,50.381,50.458,866880,,2017-02-22 17:00:00
35,1487869200000,50.305,50.839,49.542,50.458,1538930,,2017-02-23 17:00:00
36,1487955600000,49.847,50.305,49.236,50.305,1235090,,2017-02-24 17:00:00
37,1488214800000,50.763,51.068,49.694,49.694,1041880,,2017-02-27 17:00:00
38,1488301200000,51.145,53.053,50.763,50.763,1508740,,2017-02-28 17:00:00
39,1488387600000,52.519,52.519,51.145,51.145,1218430,,2017-03-01 17:00:00
40,1488474000000,52.519,53.053,52.442,52.519,1299640,,2017-03-02 17:00:00
41,1488560400000,52.595,52.671,51.755,52.519,1150650,,2017-03-03 17:00:00
42,1488819600000,52.595,52.671,52.137,52.519,929730,,2017-03-06 17:00:00
43,1488906000000,52.366,53.435,52.137,52.519,910580,,2017-03-07 17:00:00
