,transDate,close,high,low,open,volume,event,date
0,1165338000000,26.45,26.45,26.45,26.45,25500.0,,2006-12-05 17:00:00
1,1165424400000,25.221,25.221,25.221,25.221,17860.0,,2006-12-06 17:00:00
2,1165510800000,24.043,24.043,24.043,24.043,24160.0,,2006-12-07 17:00:00
3,1165597200000,22.814,22.814,22.814,22.814,20800.0,,2006-12-08 17:00:00
4,1165856400000,24.043,24.043,23.027,23.027,334090.0,,2006-12-11 17:00:00
5,1165942800000,24.418,25.031,24.418,24.418,536510.0,,2006-12-12 17:00:00
6,1166029200000,25.652,25.652,25.652,25.652,362570.0,,2006-12-13 17:00:00
7,1166115600000,26.719,26.719,26.719,26.719,164500.0,,2006-12-14 17:00:00
8,1166202000000,28.054,28.054,28.054,28.054,123100.0,,2006-12-15 17:00:00
9,1166461200000,29.388,29.388,29.388,29.388,194960.0,,2006-12-18 17:00:00
10,1166547600000,30.723,30.723,30.723,30.723,124150.0,,2006-12-19 17:00:00
11,1166634000000,32.325,32.325,32.325,32.325,140780.0,,2006-12-20 17:00:00
12,1166720400000,30.991,33.644,30.991,32.214,810590.0,,2006-12-21 17:00:00
13,1166806800000,29.655,29.655,29.655,29.655,495650.0,,2006-12-22 17:00:00
14,1167066000000,30.991,30.991,28.137,29.567,476620.0,,2006-12-25 17:00:00
15,1167152400000,32.325,32.325,29.89,30.908,308470.0,,2006-12-26 17:00:00
16,1167238800000,33.934,33.934,33.934,33.934,264550.0,,2006-12-27 17:00:00
17,1167325200000,33.934,33.934,33.934,33.934,456580.0,,2006-12-28 17:00:00
18,1167411600000,34.197,34.197,33.996,33.996,190770.0,,2006-12-29 17:00:00
19,1167757200000,33.129,34.359,33.129,34.151,319150.0,,2007-01-02 17:00:00
20,1167843600000,34.464,34.464,33.236,33.236,148900.0,,2007-01-03 17:00:00
21,1167930000000,36.068,36.068,36.068,36.068,147690.0,,2007-01-04 17:00:00
22,1168016400000,37.671,37.671,37.671,37.671,120020.0,,2007-01-05 17:00:00
23,1168275600000,39.542,39.542,39.542,39.542,462770.0,,2007-01-08 17:00:00
24,1168362000000,41.143,41.143,41.143,41.143,277330.0,,2007-01-09 17:00:00
25,1168448400000,43.283,43.283,43.283,43.283,107950.0,,2007-01-10 17:00:00
26,1168534800000,45.153,45.153,45.153,45.153,81780.0,,2007-01-11 17:00:00
27,1168621200000,47.555,47.555,47.555,47.555,40030.0,,2007-01-12 17:00:00
28,1168880400000,49.963,49.963,49.963,49.963,60260.0,,2007-01-15 17:00:00
29,1168966800000,52.365,52.365,52.365,52.365,86650.0,,2007-01-16 17:00:00
30,1169053200000,55.04,55.04,55.04,55.04,560630.0,,2007-01-17 17:00:00
31,1169139600000,57.709,57.709,57.095,57.095,680450.0,,2007-01-18 17:00:00
32,1169226000000,60.385,60.385,60.385,60.385,352290.0,,2007-01-19 17:00:00
33,1169485200000,60.385,60.385,60.385,60.385,403670.0,,2007-01-22 17:00:00
34,1169571600000,60.385,61.406,60.385,60.385,364140.0,,2007-01-23 17:00:00
35,1169658000000,57.709,59.558,57.709,59.558,187780.0,,2007-01-24 17:00:00
36,1169744400000,55.04,55.04,55.04,55.04,143760.0,,2007-01-25 17:00:00
37,1169830800000,52.103,52.103,52.103,52.103,269010.0,,2007-01-26 17:00:00
38,1170090000000,54.504,54.504,49.588,52.045,532680.0,,2007-01-29 17:00:00
39,1170176400000,57.173,57.173,57.173,57.173,145330.0,,2007-01-30 17:00:00
40,1170262800000,59.847,59.847,59.847,59.847,1134540.0,,2007-01-31 17:00:00
41,1170349200000,57.173,60.055,57.173,60.055,637150.0,,2007-02-01 17:00:00
42,1170435600000,58.246,58.246,58.246,58.246,852620.0,,2007-02-02 17:00:00
43,1170694800000,58.246,61.116,58.246,58.246,421520.0,,2007-02-05 17:00:00
44,1170781200000,58.246,58.246,57.832,58.246,232670.0,,2007-02-06 17:00:00
45,1170867600000,58.246,58.246,56.604,58.246,210670.0,,2007-02-07 17:00:00
46,1170954000000,55.04,55.04,55.04,55.04,230810.0,,2007-02-08 17:00:00
