,transDate,close,high,low,open,volume,event
0,15-12-2006,16.571,16.571,16.571,16.571,293000.0,
1,18-12-2006,19.673,19.979,18.62,18.62,340200.0,
2,19-12-2006,21.214,21.214,19.442,19.442,326900.0,
3,20-12-2006,21.059,23.24,21.059,21.059,651600.0,
4,21-12-2006,20.21,21.538,20.21,20.21,200100.0,
5,22-12-2006,18.302,18.302,18.302,18.302,413000.0,
6,25-12-2006,16.572,16.572,16.572,16.572,289000.0,
7,26-12-2006,17.276,18.184,15.378,15.378,435500.0,
8,27-12-2006,17.383,18.378,17.383,17.383,423200.0,
9,28-12-2006,17.071,17.958,16.125,16.125,182400.0,
10,29-12-2006,16.867,16.981,15.561,15.561,290400.0,
11,02-01-2007,16.616,17.431,16.556,16.744,236800.0,
12,03-01-2007,17.195,17.663,17.082,17.163,301900.0,
13,04-01-2007,18.34,18.34,17.109,17.109,213900.0,
14,05-01-2007,19.984,19.984,19.984,19.984,357100.0,
15,08-01-2007,19.017,21.635,17.712,19.017,317300.0,
16,09-01-2007,20.142,20.463,17.383,19.308,535800.0,
17,10-01-2007,21.174,21.904,20.409,20.409,606000.0,
18,11-01-2007,21.162,21.807,19.872,21.258,520400.0,
19,12-01-2007,22.801,23.355,21.409,21.409,759000.0,
20,15-01-2007,23.822,24.57,23.026,23.026,492600.0,
21,16-01-2007,23.307,25.129,22.452,23.897,304400.0,
22,17-01-2007,21.635,23.501,21.635,21.958,212100.0,
23,18-01-2007,22.694,23.017,19.721,21.904,461700.0,
24,19-01-2007,22.592,23.559,22.479,22.479,482500.0,
25,22-01-2007,21.368,22.549,20.614,21.333,279700.0,
26,23-01-2007,21.368,22.012,20.937,21.333,272400.0,
27,24-01-2007,21.522,22.006,19.264,21.405,236700.0,
28,25-01-2007,20.775,21.72,20.215,20.753,189100.0,
29,26-01-2007,21.469,21.469,20.184,20.716,208500.0,
30,29-01-2007,22.495,22.495,21.851,21.851,257800.0,
31,30-01-2007,23.462,24.511,22.447,22.447,259000.0,
32,31-01-2007,23.414,24.162,22.769,23.35,215200.0,
33,01-02-2007,22.694,24.194,21.302,22.801,236400.0,
34,02-02-2007,22.388,22.816,21.426,22.14,273700.0,
35,05-02-2007,22.237,23.575,22.022,22.151,260800.0,
36,06-02-2007,22.183,22.507,21.968,22.183,202900.0,
37,07-02-2007,21.877,22.414,21.448,21.898,391400.0,
38,08-02-2007,20.904,22.032,20.421,21.001,432100.0,
39,09-02-2007,20.969,21.044,20.421,20.701,314700.0,
40,12-02-2007,21.979,21.979,21.125,21.125,173000.0,
41,13-02-2007,22.113,22.405,21.598,21.748,173600.0,
42,14-02-2007,22.183,22.613,22.076,22.151,221300.0,
43,15-02-2007,22.44,22.495,22.172,22.291,246500.0,
44,26-02-2007,24.558,24.558,22.829,22.829,379500.0,
45,27-02-2007,24.844,26.548,24.52,24.52,331600.0,
46,28-02-2007,23.614,25.645,23.2,23.414,381700.0,
47,01-03-2007,23.72,24.081,23.076,23.409,239600.0,
48,02-03-2007,23.516,24.58,23.3,23.431,271400.0,
49,05-03-2007,23.77,24.038,23.394,23.414,261600.0,
50,06-03-2007,23.414,23.946,23.318,23.624,302400.0,
51,07-03-2007,22.694,23.871,22.479,23.253,293000.0,
52,08-03-2007,23.307,25.542,22.667,23.22,234500.0,
53,09-03-2007,23.307,24.049,23.307,23.307,302400.0,
54,12-03-2007,24.129,24.596,23.484,23.484,412100.0,
55,13-03-2007,24.608,25.596,24.318,24.318,384900.0,
56,14-03-2007,23.666,25.108,22.973,24.022,371700.0,
57,15-03-2007,23.189,24.064,22.897,23.167,319700.0,
58,16-03-2007,24.437,25.414,23.269,23.269,423700.0,
59,19-03-2007,26.74,26.74,26.74,26.74,669700.0,
60,20-03-2007,27.09,29.397,26.665,26.731,702700.0,
61,21-03-2007,27.09,28.472,26.88,27.177,505300.0,
62,22-03-2007,26.783,27.177,26.467,26.657,498400.0,
63,23-03-2007,26.408,27.122,26.113,26.397,542900.0,
64,26-03-2007,24.946,26.864,24.516,25.295,420900.0,
65,27-03-2007,23.0,24.393,22.839,23.076,504300.0,
66,28-03-2007,25.252,25.274,22.376,22.984,450100.0,
67,29-03-2007,25.252,26.102,23.006,24.399,426700.0,
68,30-03-2007,24.414,25.608,24.113,24.617,345500.0,
69,02-04-2007,24.075,25.091,23.22,23.887,271400.0,
70,03-04-2007,24.075,24.129,23.274,23.587,200700.0,
71,04-04-2007,24.575,25.07,24.537,24.537,187800.0,
72,05-04-2007,24.209,24.764,24.015,24.328,159100.0,
73,06-04-2007,24.382,24.446,23.489,24.053,234300.0,
74,09-04-2007,25.037,25.58,24.516,24.516,354300.0,
75,10-04-2007,24.893,25.479,24.731,25.042,303800.0,
76,11-04-2007,24.893,25.055,24.575,24.902,228200.0,
77,12-04-2007,24.437,24.968,24.437,24.558,257600.0,
78,13-04-2007,24.27,24.549,24.123,24.226,233100.0,
79,16-04-2007,23.107,24.284,23.0,23.318,336200.0,
80,17-04-2007,23.516,23.516,22.447,23.129,319100.0,
81,18-04-2007,24.437,24.537,23.484,23.484,262100.0,
82,19-04-2007,23.801,24.57,23.501,23.908,199300.0,
83,20-04-2007,23.822,23.926,23.285,23.63,213300.0,
84,23-04-2007,22.897,24.183,22.897,23.017,392800.0,DIVIDEND
85,24-04-2007,22.882,23.113,22.472,22.775,349700.0,
86,25-04-2007,23.3,23.52,22.559,22.753,387400.0,
87,02-05-2007,23.279,23.737,23.205,23.205,179700.0,
88,03-05-2007,23.307,23.52,23.097,23.285,99600.0,
89,04-05-2007,23.258,23.366,22.672,23.226,115000.0,
90,07-05-2007,24.015,24.026,23.489,23.489,281900.0,
91,08-05-2007,24.075,24.558,24.022,24.022,341300.0,
92,09-05-2007,23.926,24.564,23.601,23.926,284900.0,
93,10-05-2007,23.926,24.183,23.601,23.926,156900.0,
94,11-05-2007,24.483,24.483,23.897,23.897,387600.0,
95,14-05-2007,25.978,26.606,21.871,24.296,601800.0,
96,15-05-2007,25.511,26.629,25.091,25.655,462600.0,
97,16-05-2007,25.354,25.57,25.171,25.311,342500.0,
98,17-05-2007,25.967,25.967,25.01,25.284,484300.0,
99,18-05-2007,25.865,26.397,25.651,25.651,395600.0,
100,21-05-2007,25.897,26.451,25.801,25.952,341600.0,
101,22-05-2007,25.763,26.079,25.622,25.839,513400.0,
102,23-05-2007,25.354,25.94,25.139,25.645,619900.0,
103,24-05-2007,25.694,25.892,25.461,25.617,291000.0,DIVIDEND
104,25-05-2007,25.617,25.763,25.479,25.592,215900.0,
105,28-05-2007,25.048,25.689,25.048,25.402,195300.0,
106,29-05-2007,24.689,25.333,24.35,24.617,282100.0,
107,30-05-2007,24.462,24.592,23.974,24.189,374500.0,
108,31-05-2007,25.064,25.064,24.301,24.301,231500.0,
109,01-06-2007,24.902,25.479,24.902,24.902,262000.0,
110,04-06-2007,24.774,25.333,24.689,24.85,178700.0,
111,05-06-2007,24.334,24.764,23.617,24.289,265000.0,
112,06-06-2007,24.376,24.601,24.119,24.289,220600.0,
113,07-06-2007,24.334,24.689,24.318,24.343,193100.0,
