,transDate,close,high,low,open,volume,event,date
0,1475686800000,14.303,14.303,14.303,14.303,205890.0,,2016-10-05 17:00:00
1,1475773200000,15.296,15.296,15.296,15.296,14250.0,,2016-10-06 17:00:00
2,1475859600000,16.329,16.329,16.329,16.329,30910.0,,2016-10-07 17:00:00
3,1476118800000,17.442,17.442,17.442,17.442,450360.0,,2016-10-10 17:00:00
4,1476205200000,18.635,18.635,18.635,18.635,799790.0,,2016-10-11 17:00:00
5,1476291600000,19.905,19.905,19.905,19.905,1130610.0,,2016-10-12 17:00:00
6,1476378000000,21.296,21.296,21.256,21.296,3145880.0,,2016-10-13 17:00:00
7,1476464400000,22.767,22.767,22.25,22.647,2242380.0,,2016-10-14 17:00:00
8,1476723600000,24.355,24.355,24.157,24.316,1428260.0,,2016-10-17 17:00:00
9,1476810000000,26.024,26.024,25.984,26.024,1439460.0,,2016-10-18 17:00:00
10,1476896400000,24.236,27.773,24.236,27.773,1389260.0,,2016-10-19 17:00:00
11,1476982800000,22.567,22.567,22.567,22.567,805310.0,,2016-10-20 17:00:00
12,1477069200000,23.044,23.481,21.018,21.018,3892820.0,,2016-10-21 17:00:00
13,1477328400000,23.56,23.72,23.084,23.123,1239320.0,,2016-10-24 17:00:00
14,1477414800000,22.607,24.316,22.17,23.64,1387380.0,,2016-10-25 17:00:00
15,1477501200000,22.647,22.647,21.097,21.455,2192960.0,,2016-10-26 17:00:00
16,1477587600000,23.68,23.72,22.767,22.767,1137290.0,,2016-10-27 17:00:00
17,1477674000000,23.999,24.157,22.328,22.328,1771130.0,,2016-10-28 17:00:00
18,1477933200000,22.488,23.72,22.328,23.72,557560.0,,2016-10-31 17:00:00
19,1478019600000,22.488,22.887,20.938,21.215,941280.0,,2016-11-01 17:00:00
20,1478106000000,20.938,22.527,20.938,22.527,733570.0,,2016-11-02 17:00:00
21,1478192400000,19.508,20.185,19.508,19.508,280160.0,,2016-11-03 17:00:00
22,1478278800000,18.833,19.03,18.157,18.157,1020320.0,,2016-11-04 17:00:00
23,1478538000000,17.522,19.072,17.522,18.276,179850.0,,2016-11-07 17:00:00
24,1478624400000,18.713,18.713,16.329,16.329,1175430.0,,2016-11-08 17:00:00
25,1478710800000,18.952,19.508,17.879,18.794,1376620.0,,2016-11-09 17:00:00
26,1478797200000,18.992,20.262,18.992,19.03,617110.0,,2016-11-10 17:00:00
27,1478883600000,17.681,18.992,17.681,17.879,610960.0,,2016-11-11 17:00:00
28,1479142800000,17.362,17.561,16.686,17.482,910960.0,,2016-11-14 17:00:00
29,1479229200000,17.72,17.76,17.404,17.404,717210.0,,2016-11-15 17:00:00
30,1479315600000,17.959,18.237,17.8,17.8,1183670.0,,2016-11-16 17:00:00
31,1479402000000,17.72,17.959,17.482,17.482,775880.0,,2016-11-17 17:00:00
32,1479488400000,18.515,18.635,17.8,17.8,1545900.0,,2016-11-18 17:00:00
33,1479747600000,18.554,19.707,18.554,18.673,265960.0,,2016-11-21 17:00:00
34,1479834000000,18.635,18.952,18.554,18.554,1039110.0,,2016-11-22 17:00:00
35,1479920400000,17.641,18.913,17.362,18.635,352320.0,,2016-11-23 17:00:00
36,1480006800000,16.846,17.84,16.686,17.641,282950.0,,2016-11-24 17:00:00
37,1480093200000,16.291,17.005,15.733,16.846,260410.0,,2016-11-25 17:00:00
38,1480352400000,15.337,16.369,15.177,16.329,164100.0,,2016-11-28 17:00:00
39,1480438800000,16.409,16.409,14.344,14.383,377890.0,,2016-11-29 17:00:00
40,1480525200000,16.488,17.482,16.21,16.528,410010.0,,2016-11-30 17:00:00
41,1480611600000,15.655,16.488,15.496,16.488,152600.0,,2016-12-01 17:00:00
42,1480698000000,15.256,15.655,14.859,14.859,338550.0,,2016-12-02 17:00:00
43,1480957200000,16.3,16.3,15.733,15.733,403940.0,DIVIDEND,2016-12-05 17:00:00
44,1481043600000,16.346,16.957,16.3,16.433,447500.0,,2016-12-06 17:00:00
45,1481130000000,16.694,16.739,15.821,15.821,457640.0,,2016-12-07 17:00:00
46,1481216400000,17.306,17.306,16.694,17.045,541740.0,,2016-12-08 17:00:00
