,transDate,close,high,low,open,volume,event
0,19-04-2018,25.328,27.318,24.821,27.318,7295110,
1,20-04-2018,25.367,25.601,24.899,25.601,1970610,
2,23-04-2018,24.04,25.445,23.65,25.367,918490,
3,24-04-2018,24.04,24.196,22.401,23.65,1084620,
4,26-04-2018,23.182,24.118,23.026,23.962,618040,
5,27-04-2018,23.572,23.572,22.908,23.377,783680,
6,02-05-2018,23.26,24.118,23.182,24.118,468940,
7,03-05-2018,23.26,23.26,22.635,23.26,407660,
8,04-05-2018,23.26,23.767,23.026,23.767,267600,
9,07-05-2018,23.416,23.416,22.791,23.338,269800,
10,08-05-2018,23.494,24.196,23.26,24.196,556210,
11,09-05-2018,23.416,23.494,23.104,23.494,368930,
12,10-05-2018,23.026,23.416,22.635,23.416,184990,
13,11-05-2018,23.26,23.26,22.323,23.026,725410,
14,14-05-2018,23.026,23.26,22.479,23.26,252920,
15,15-05-2018,23.26,23.299,22.479,23.026,468650,
16,16-05-2018,23.026,23.299,22.791,23.26,525340,
17,17-05-2018,23.026,23.26,22.869,23.104,385710,
18,18-05-2018,23.182,23.26,22.752,22.948,465950,
19,21-05-2018,23.065,23.221,22.987,23.221,339500,
20,22-05-2018,22.869,23.221,22.323,23.065,414600,
21,23-05-2018,22.948,22.987,22.557,22.869,506080,
22,24-05-2018,22.869,22.987,22.713,22.908,366890,
23,25-05-2018,22.635,22.948,22.596,22.869,307990,
24,28-05-2018,21.152,22.557,21.152,22.479,197040,
25,29-05-2018,22.479,22.518,21.465,21.465,590410,
26,30-05-2018,22.401,22.596,22.167,22.44,171480,
27,31-05-2018,21.855,22.362,21.855,22.323,287350,
28,01-06-2018,21.855,22.323,21.855,22.323,100550,
29,04-06-2018,23.026,23.26,21.816,21.933,387700,
30,05-06-2018,22.948,23.104,22.557,23.104,459200,
31,06-06-2018,22.557,22.869,22.479,22.791,847910,
32,07-06-2018,22.557,22.635,22.401,22.635,675570,
33,08-06-2018,22.362,22.635,22.245,22.557,1162520,
34,11-06-2018,22.245,22.557,22.011,22.557,38710,
35,12-06-2018,22.011,22.245,21.699,22.245,42180,
36,13-06-2018,22.011,22.089,21.855,22.011,111190,
37,14-06-2018,21.855,22.011,21.66,22.011,22990,
38,15-06-2018,21.699,21.972,21.66,21.972,26260,
39,18-06-2018,21.074,21.699,21.074,21.699,44490,
40,19-06-2018,21.152,21.386,19.63,20.762,648860,
41,20-06-2018,21.386,21.465,21.152,21.152,648730,
42,21-06-2018,21.386,21.777,21.074,21.543,43660,
43,22-06-2018,21.465,21.465,21.308,21.308,115320,
