,transDate,close,high,low,open,volume,event,date
0,1246381200000,25.732,25.732,25.732,25.732,294070,,2009-06-30 17:00:00
1,1246467600000,25.941,27.015,25.516,27.015,6248390,,2009-07-01 17:00:00
2,1246554000000,24.874,25.732,24.659,25.516,1515670,,2009-07-02 17:00:00
3,1246640400000,24.016,24.442,24.016,24.232,899720,,2009-07-03 17:00:00
4,1246899600000,25.084,25.084,24.016,24.016,1571740,,2009-07-06 17:00:00
5,1246986000000,24.232,24.874,24.232,24.659,1115420,,2009-07-07 17:00:00
6,1247072400000,23.8,24.016,23.375,23.584,763030,,2009-07-08 17:00:00
7,1247158800000,23.158,24.016,22.942,23.375,982430,,2009-07-09 17:00:00
8,1247245200000,22.084,22.942,22.084,22.726,1973450,,2009-07-10 17:00:00
9,1247504400000,21.011,22.084,21.011,21.443,812260,,2009-07-13 17:00:00
10,1247590800000,20.499,21.102,20.369,21.102,847840,,2009-07-14 17:00:00
11,1247677200000,21.011,21.357,20.584,20.584,807250,,2009-07-15 17:00:00
12,1247763600000,21.357,21.443,21.186,21.443,638990,,2009-07-16 17:00:00
13,1247850000000,21.056,21.311,20.923,21.227,311000,,2009-07-17 17:00:00
14,1248109200000,20.067,20.284,20.027,20.199,869220,,2009-07-20 17:00:00
15,1248195600000,20.112,20.454,20.067,20.243,483900,,2009-07-21 17:00:00
16,1248282000000,20.369,20.414,20.243,20.369,411780,,2009-07-22 17:00:00
17,1248368400000,21.357,21.357,20.152,20.152,929090,,2009-07-23 17:00:00
18,1248454800000,22.3,22.3,22.3,22.3,624760,,2009-07-24 17:00:00
19,1248714000000,23.375,23.375,22.516,23.375,1535460,,2009-07-27 17:00:00
20,1248800400000,22.726,24.016,22.516,23.375,1192800,,2009-07-28 17:00:00
21,1248886800000,22.516,23.158,22.084,22.942,924570,,2009-07-29 17:00:00
22,1248973200000,22.084,22.516,21.658,22.3,606660,,2009-07-30 17:00:00
23,1249059600000,23.158,23.158,22.726,22.942,1125450,,2009-07-31 17:00:00
24,1249318800000,24.232,24.232,23.584,24.232,2707260,,2009-08-03 17:00:00
25,1249405200000,25.084,25.299,24.442,25.299,1869220,,2009-08-04 17:00:00
26,1249491600000,24.874,25.299,24.442,24.874,1654270,,2009-08-05 17:00:00
27,1249578000000,24.442,25.299,24.232,24.874,1656340,,2009-08-06 17:00:00
28,1249664400000,24.232,24.659,24.232,24.232,1017420,,2009-08-07 17:00:00
29,1249923600000,24.659,24.874,24.232,24.442,689300,,2009-08-10 17:00:00
30,1250010000000,24.442,24.874,24.232,24.442,1207840,,2009-08-11 17:00:00
31,1250096400000,24.232,24.659,24.232,24.659,996150,,2009-08-12 17:00:00
32,1250182800000,24.442,24.659,24.232,24.659,896790,,2009-08-13 17:00:00
33,1250269200000,24.442,24.659,24.232,24.232,709790,,2009-08-14 17:00:00
34,1250528400000,24.016,24.442,24.016,24.232,622790,,2009-08-17 17:00:00
35,1250614800000,23.8,24.016,23.584,23.584,927850,,2009-08-18 17:00:00
36,1250701200000,23.8,24.232,23.584,24.232,719390,,2009-08-19 17:00:00
37,1250787600000,23.8,24.016,23.584,24.016,578130,,2009-08-20 17:00:00
38,1250874000000,24.016,24.874,24.016,24.016,1444220,,2009-08-21 17:00:00
39,1251133200000,24.232,24.442,24.016,24.442,634370,,2009-08-24 17:00:00
40,1251219600000,23.8,24.232,23.8,24.232,577480,,2009-08-25 17:00:00
41,1251306000000,24.016,24.232,23.8,24.016,516120,,2009-08-26 17:00:00
42,1251392400000,24.016,24.016,23.8,24.016,538870,,2009-08-27 17:00:00
43,1251478800000,24.232,24.232,24.016,24.232,639140,,2009-08-28 17:00:00
44,1251738000000,24.659,24.659,24.232,24.659,874340,,2009-08-31 17:00:00
45,1251824400000,24.442,24.659,24.232,24.232,847070,,2009-09-01 17:00:00
46,1251997200000,24.016,24.232,23.375,24.016,1078760,,2009-09-03 17:00:00
47,1252083600000,23.375,24.016,23.375,24.016,1015060,,2009-09-04 17:00:00
