,transDate,close,high,low,open,volume,event,date
0,1526576400000,87.348,87.348,87.348,87.348,18000,,2018-05-17 17:00:00
1,1526662800000,87.348,87.348,87.348,87.348,0,,2018-05-18 17:00:00
2,1526922000000,87.348,87.348,87.348,87.348,0,,2018-05-21 17:00:00
3,1527008400000,93.434,93.434,93.434,93.434,20,,2018-05-22 17:00:00
4,1527094800000,87.19,90.51,86.952,90.51,4839580,,2018-05-23 17:00:00
5,1527181200000,90.51,90.747,87.031,87.585,1937240,,2018-05-24 17:00:00
6,1527267600000,92.881,94.778,90.51,90.747,1749720,,2018-05-25 17:00:00
7,1527526800000,92.486,93.276,87.743,87.743,2944740,,2018-05-28 17:00:00
8,1527613200000,91.695,92.644,89.403,92.486,884320,,2018-05-29 17:00:00
9,1527699600000,92.486,92.486,89.324,91.695,2448260,,2018-05-30 17:00:00
10,1527786000000,90.984,92.881,90.984,92.486,1178690,,2018-05-31 17:00:00
11,1527872400000,92.09,92.881,90.51,90.984,814870,,2018-06-01 17:00:00
12,1528131600000,93.197,93.197,91.3,91.695,1762630,,2018-06-04 17:00:00
13,1528218000000,93.276,94.067,92.486,93.197,1229890,,2018-06-05 17:00:00
14,1528304400000,94.857,95.569,92.486,92.881,712230,,2018-06-06 17:00:00
15,1528390800000,94.857,96.438,88.217,96.438,1167210,,2018-06-07 17:00:00
16,1528477200000,94.857,95.569,92.881,94.857,462940,,2018-06-08 17:00:00
17,1528736400000,94.857,95.49,94.067,95.49,425790,,2018-06-11 17:00:00
18,1528822800000,93.276,94.857,92.486,94.857,816310,,2018-06-12 17:00:00
19,1528909200000,93.276,93.592,92.96,93.276,289590,,2018-06-13 17:00:00
20,1528995600000,92.486,93.671,91.932,93.276,624230,,2018-06-14 17:00:00
21,1529082000000,92.09,93.039,92.09,93.039,213150,,2018-06-15 17:00:00
22,1529341200000,92.09,93.276,91.695,92.09,626280,,2018-06-18 17:00:00
23,1529427600000,90.905,92.09,90.668,92.09,770730,,2018-06-19 17:00:00
24,1529514000000,90.905,91.695,84.66,84.66,613980,,2018-06-20 17:00:00
25,1529600400000,90.905,90.984,90.114,90.905,117280,,2018-06-21 17:00:00
26,1529686800000,90.272,90.905,90.114,90.905,83230,,2018-06-22 17:00:00
27,1529946000000,91.3,91.616,90.272,90.272,214260,,2018-06-25 17:00:00
28,1530032400000,90.905,91.3,90.193,91.3,112440,,2018-06-26 17:00:00
29,1530118800000,86.952,90.193,86.952,88.929,305740,,2018-06-27 17:00:00
30,1530205200000,86.952,89.324,85.371,86.952,185920,,2018-06-28 17:00:00
31,1530291600000,88.85,89.324,85.767,89.324,321730,,2018-06-29 17:00:00
32,1530550800000,87.98,88.929,86.952,88.929,456190,,2018-07-02 17:00:00
33,1530637200000,81.893,87.98,81.893,87.98,165430,,2018-07-03 17:00:00
34,1530723600000,87.585,87.585,80.708,80.708,1358170,,2018-07-04 17:00:00
