,transDate,close,high,low,open,volume,event
0,19-09-2007,5.498,5.498,5.498,5.498,307840,
1,20-09-2007,5.761,5.761,5.719,5.761,794790,
2,21-09-2007,6.026,6.026,5.937,6.026,1224660,
3,24-09-2007,6.291,6.291,6.291,6.291,551130,
4,25-09-2007,6.597,6.597,6.508,6.597,962110,
5,26-09-2007,6.906,6.906,6.774,6.906,781900,
6,27-09-2007,6.597,6.906,6.597,6.817,562590,
7,28-09-2007,6.906,6.906,6.729,6.774,833570,
8,01-10-2007,7.212,7.212,7.168,7.212,781020,
9,02-10-2007,7.565,7.565,7.389,7.565,887990,
10,03-10-2007,7.917,7.917,7.872,7.917,1027610,
11,04-10-2007,8.314,8.314,8.314,8.314,1206640,
12,05-10-2007,8.487,8.707,8.314,8.707,1116040,
13,08-10-2007,8.487,8.664,8.314,8.443,949940,
14,09-10-2007,8.093,8.358,8.093,8.314,527100,
15,10-10-2007,8.093,8.27,8.049,8.226,599460,
16,11-10-2007,7.872,8.049,7.872,8.049,362850,
17,12-10-2007,7.917,7.917,7.783,7.828,527800,
18,15-10-2007,8.137,8.137,7.917,7.917,326950,
19,16-10-2007,7.96,8.137,7.96,8.137,236970,
20,17-10-2007,7.828,7.917,7.828,7.872,272570,
21,18-10-2007,7.698,8.004,7.698,7.742,398500,
22,19-10-2007,8.049,8.049,7.828,7.872,525830,
23,22-10-2007,7.917,7.917,7.828,7.917,280000,
24,23-10-2007,7.698,7.828,7.698,7.742,192730,
25,24-10-2007,7.783,7.917,7.698,7.698,182750,
26,25-10-2007,7.654,7.828,7.654,7.783,163650,
27,26-10-2007,7.521,7.61,7.521,7.61,212630,
28,29-10-2007,7.168,7.345,7.168,7.168,457260,
29,30-10-2007,7.212,7.301,7.168,7.168,146250,
30,31-10-2007,7.124,7.256,7.124,7.212,140770,
31,01-11-2007,7.083,7.212,6.95,7.168,195380,
32,02-11-2007,6.906,7.039,6.906,7.039,197100,
33,05-11-2007,7.212,7.212,7.212,7.212,66650,
34,06-11-2007,7.565,7.565,7.565,7.565,70540,
35,07-11-2007,7.301,7.478,7.301,7.301,444180,
36,08-11-2007,7.124,7.256,7.124,7.256,170020,
37,09-11-2007,7.389,7.389,7.124,7.124,316190,
38,12-11-2007,7.168,7.301,7.168,7.256,96340,
39,13-11-2007,6.817,7.083,6.817,7.083,167790,
40,14-11-2007,6.995,7.124,6.995,7.039,296610,
41,15-11-2007,7.039,7.039,6.95,6.995,138080,
42,16-11-2007,6.995,7.039,6.95,7.039,93360,
43,19-11-2007,6.995,7.039,6.995,7.039,103860,
44,20-11-2007,6.906,6.95,6.861,6.906,73830,
45,21-11-2007,6.817,6.817,6.685,6.774,193670,
46,22-11-2007,6.817,6.95,6.817,6.906,60070,
47,23-11-2007,7.124,7.124,7.124,7.124,122430,
48,26-11-2007,7.478,7.478,7.256,7.478,594620,
49,27-11-2007,7.433,7.478,7.301,7.478,359580,
50,28-11-2007,7.256,7.389,7.256,7.345,237300,
51,29-11-2007,7.039,7.345,7.039,7.301,319240,
52,30-11-2007,7.039,7.083,6.995,7.039,485160,
53,03-12-2007,7.039,7.124,6.906,6.906,181120,
54,04-12-2007,7.039,7.083,7.039,7.083,241890,
55,05-12-2007,6.906,7.039,6.906,6.995,263870,
56,06-12-2007,6.906,6.95,6.861,6.906,164670,
57,07-12-2007,6.906,6.995,6.861,6.906,402370,
58,10-12-2007,6.817,6.95,6.817,6.906,182810,
59,11-12-2007,6.729,6.774,6.64,6.729,297280,
60,12-12-2007,6.861,6.95,6.774,6.774,127990,
61,13-12-2007,6.817,6.906,6.817,6.906,303550,
62,14-12-2007,6.861,6.861,6.774,6.774,185510,
63,17-12-2007,6.817,6.817,6.774,6.774,157580,
64,18-12-2007,6.861,6.861,6.774,6.774,154370,
65,19-12-2007,6.995,6.995,6.906,6.906,167140,
66,20-12-2007,6.906,7.039,6.861,6.861,191390,
67,21-12-2007,6.906,6.906,6.861,6.861,220330,
68,24-12-2007,6.906,6.95,6.861,6.861,155160,
69,25-12-2007,6.817,6.906,6.817,6.817,166750,
70,26-12-2007,6.861,6.861,6.774,6.774,141200,
71,27-12-2007,6.817,6.861,6.817,6.817,146490,
72,28-12-2007,6.817,6.817,6.774,6.774,220180,
73,02-01-2008,6.906,6.906,6.817,6.817,156160,
74,03-01-2008,6.774,6.861,6.774,6.774,111990,
75,04-01-2008,6.685,6.729,6.685,6.685,66670,
76,07-01-2008,6.597,6.685,6.508,6.508,117490,
77,08-01-2008,6.64,6.774,6.597,6.597,109010,
78,09-01-2008,6.553,6.685,6.553,6.553,56360,
79,10-01-2008,6.291,6.42,6.291,6.291,291740,
80,11-01-2008,6.379,6.42,6.335,6.335,78900,
81,14-01-2008,6.379,6.597,6.379,6.379,215790,
82,15-01-2008,6.114,6.202,6.069,6.069,199290,
83,16-01-2008,6.379,6.379,6.291,6.291,171870,
84,17-01-2008,6.379,6.685,6.202,6.202,248700,
85,18-01-2008,6.464,6.508,6.291,6.291,187430,
86,21-01-2008,6.291,6.379,6.291,6.291,189070,
87,22-01-2008,6.152,6.246,6.12,6.12,165780,
88,23-01-2008,5.897,6.088,5.897,6.088,227280,
89,24-01-2008,5.897,6.057,5.897,5.897,125020,
90,25-01-2008,5.99,5.99,5.897,5.897,84860,
91,28-01-2008,5.99,5.99,5.928,5.99,106560,
92,29-01-2008,6.088,6.088,5.928,5.928,188520,
93,30-01-2008,6.375,6.375,6.375,6.375,67320,
94,31-01-2008,6.565,6.565,6.183,6.183,181330,
95,01-02-2008,6.884,6.884,6.565,6.628,158800,
96,12-02-2008,6.694,6.757,6.628,6.757,109200,
97,13-02-2008,6.628,6.694,6.502,6.565,133470,
98,14-02-2008,6.694,6.821,6.628,6.628,64140,
99,15-02-2008,6.628,6.694,6.628,6.628,98660,
100,18-02-2008,6.439,6.439,6.34,6.34,106770,
101,19-02-2008,6.439,6.502,6.246,6.246,84920,
102,20-02-2008,6.375,6.502,6.34,6.375,186550,
103,21-02-2008,6.057,6.057,6.057,6.057,307420,
104,22-02-2008,5.864,5.864,5.769,5.833,90510,
105,25-02-2008,6.152,6.152,6.152,6.152,55810,
106,26-02-2008,6.12,6.246,6.022,6.183,144900,
107,27-02-2008,6.12,6.309,5.99,6.022,63040,
108,28-02-2008,6.215,6.215,6.12,6.183,68010,
109,29-02-2008,6.12,6.183,6.12,6.12,137890,
110,03-03-2008,5.833,6.057,5.833,6.057,120440,
111,04-03-2008,5.546,5.833,5.546,5.546,208800,
112,05-03-2008,5.419,5.546,5.29,5.29,270640,
113,06-03-2008,5.671,5.671,5.671,5.671,11150,
114,07-03-2008,5.928,5.928,5.928,5.928,113590,
115,10-03-2008,6.12,6.215,5.99,6.215,326010,
116,11-03-2008,5.959,5.99,5.897,5.928,100450,
117,12-03-2008,5.959,6.183,5.864,5.864,39920,
118,13-03-2008,5.99,6.183,5.928,6.183,46390,
119,14-03-2008,6.022,6.022,5.928,5.928,82740,
120,17-03-2008,5.897,5.99,5.864,5.864,128040,
121,18-03-2008,5.64,5.802,5.609,5.609,134940,
122,19-03-2008,5.64,5.802,5.609,5.64,45390,
123,20-03-2008,5.671,5.738,5.64,5.738,87310,
124,21-03-2008,5.609,5.671,5.546,5.671,52050,
125,24-03-2008,5.354,5.388,5.354,5.388,154630,
126,25-03-2008,5.1,5.131,5.1,5.1,178050,
127,26-03-2008,5.354,5.354,5.354,5.354,47960,
128,27-03-2008,5.388,5.388,5.388,5.388,51090,
129,28-03-2008,5.419,5.419,5.419,5.419,2070,
130,31-03-2008,5.45,5.45,5.45,5.45,3020,
131,01-04-2008,5.483,5.483,5.483,5.483,530,
132,02-04-2008,5.514,5.514,5.514,5.514,2360,
133,03-04-2008,5.546,5.546,5.546,5.546,33500,
134,04-04-2008,5.578,5.578,5.578,5.578,52460,
135,07-04-2008,5.671,5.671,5.671,5.671,2670,
136,08-04-2008,5.769,5.769,5.769,5.769,193450,
137,09-04-2008,5.864,5.864,5.864,5.864,22410,
138,10-04-2008,5.959,5.959,5.769,5.959,262980,
139,11-04-2008,5.897,5.897,5.864,5.864,164600,
140,16-04-2008,5.802,5.833,5.802,5.802,136390,
141,17-04-2008,5.897,5.897,5.703,5.703,154750,
142,18-04-2008,5.802,5.99,5.802,5.99,117310,
143,21-04-2008,5.864,5.864,5.738,5.802,82260,
144,22-04-2008,5.864,5.864,5.769,5.769,20670,
145,23-04-2008,5.769,5.769,5.769,5.769,68250,
146,24-04-2008,5.671,5.703,5.671,5.671,97210,
147,25-04-2008,5.769,5.769,5.609,5.609,31170,
148,28-04-2008,5.864,5.864,5.833,5.833,67610,
149,29-04-2008,5.959,5.959,5.864,5.959,142440,
150,05-05-2008,5.864,5.99,5.864,5.959,32320,
151,06-05-2008,5.769,5.769,5.769,5.769,4640,
152,07-05-2008,5.864,5.864,5.671,5.671,92580,
153,08-05-2008,5.864,5.864,5.769,5.769,87260,
154,09-05-2008,5.769,5.769,5.769,5.769,1320,
155,12-05-2008,5.671,5.671,5.671,5.671,660,
156,13-05-2008,5.578,5.578,5.578,5.578,60,
157,14-05-2008,5.483,5.483,5.483,5.483,230,
158,15-05-2008,5.388,5.419,5.388,5.419,4420,
159,16-05-2008,5.29,5.29,5.29,5.29,28510,
160,19-05-2008,5.196,5.196,5.196,5.196,84520,
161,20-05-2008,5.1,5.1,5.1,5.1,4270,
162,21-05-2008,5.002,5.002,5.002,5.002,470,
163,22-05-2008,4.908,4.908,4.908,4.908,90660,
