,transDate,close,high,low,open,volume,event,date
0,964803600000,100.0,100.0,100.0,100.0,4200.0,,2000-07-28 17:00:00
1,965062800000,101.55,101.55,101.55,101.55,10300.0,,2000-07-31 17:00:00
2,965235600000,103.38,103.38,103.38,103.38,300.0,,2000-08-02 17:00:00
3,965408400000,105.2,105.2,105.2,105.2,3800.0,,2000-08-04 17:00:00
4,965667600000,106.92,106.92,106.92,106.92,13200.0,,2000-08-07 17:00:00
5,965840400000,108.64,108.64,108.64,108.64,15930.0,,2000-08-09 17:00:00
6,966013200000,110.36,110.36,110.36,110.36,13600.0,,2000-08-11 17:00:00
7,966272400000,112.08,112.08,112.08,112.08,11700.0,,2000-08-14 17:00:00
8,966445200000,113.8,113.8,113.8,113.8,23000.0,,2000-08-16 17:00:00
9,966618000000,115.52,115.52,115.52,115.52,10400.0,,2000-08-18 17:00:00
10,966877200000,117.24,117.24,117.24,117.24,35500.0,,2000-08-21 17:00:00
11,967050000000,118.96,118.96,118.96,118.96,111400.0,,2000-08-23 17:00:00
12,967222800000,118.84,118.84,118.84,118.84,95220.0,,2000-08-25 17:00:00
13,967482000000,117.0,117.0,117.0,117.0,97920.0,,2000-08-28 17:00:00
14,967654800000,115.15,115.15,115.15,115.15,126510.0,,2000-08-30 17:00:00
15,967827600000,113.37,113.37,113.37,113.37,96600.0,,2000-09-01 17:00:00
16,968259600000,112.51,112.51,112.51,112.51,60900.0,,2000-09-06 17:00:00
17,968432400000,112.39,112.39,112.39,112.39,49500.0,,2000-09-08 17:00:00
18,968691600000,114.11,114.11,114.11,114.11,31300.0,,2000-09-11 17:00:00
19,968864400000,116.08,116.08,116.08,116.08,18400.0,,2000-09-13 17:00:00
20,969037200000,118.04,118.04,118.04,118.04,45900.0,,2000-09-15 17:00:00
21,969296400000,118.19,118.19,118.19,118.19,64600.0,,2000-09-18 17:00:00
22,969469200000,118.21,118.21,118.21,118.21,41600.0,,2000-09-20 17:00:00
23,969642000000,118.76,118.76,118.76,118.76,66900.0,,2000-09-22 17:00:00
24,969901200000,118.98,118.98,118.98,118.98,56600.0,,2000-09-25 17:00:00
25,970074000000,119.69,119.69,119.69,119.69,56610.0,,2000-09-27 17:00:00
26,970246800000,120.71,120.71,120.71,120.71,52800.0,,2000-09-29 17:00:00
27,970506000000,120.92,120.92,120.92,120.92,48600.0,,2000-10-02 17:00:00
